ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,-0.10291947845969
CBC_1002,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.06075399145271
CBC_1003,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.928910800669405
CBC_1005,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.41813839773019
CBC_1006,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.18597302099689
CBC_1007,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.19726523943937
CBC_1010,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.227922928271402
CBC_1011,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.393953449007799
CBC_1013,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.332023419552094
CBC_1014,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.06165671981981
CBC_1015,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.28861416072035
CBC_1016,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.0807532858803208
CBC_1017,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,-0.771181383717072
CBC_1018,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.144179776396
CBC_1019,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.91231591543911
CBC_1020,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.46327488540772
CBC_1021,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.47037113041756
CBC_1022,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.530518143026099
CBC_1024,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.54668133037818
CBC_1026,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,1.10508271168609
CBC_1027,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,3.06266876243737
CBC_1028,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.113676937338322
CBC_1029,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.0156805307286374
CBC_1030,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,-0.359690511229591
CBC_1031,MSTACT_uniform,TACT_association_53_-23_33,AV,right,postcentral gyrus,15,0.823379572597649
