ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,3.5957586480675
CBC_1002,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,3.67091822629917
CBC_1003,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.647109695136452
CBC_1005,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,1.37828261184838
CBC_1006,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,-0.813530170900173
CBC_1007,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.83801942412929
CBC_1010,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,1.98081168874529
CBC_1011,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.293869707399106
CBC_1013,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,1.72150763817046
CBC_1014,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,1.85844194581045
CBC_1015,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,2.8847083671872
CBC_1016,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,2.29149255855918
CBC_1017,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,3.75918599443562
CBC_1018,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,4.27118103921161
CBC_1019,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,2.83291464586411
CBC_1020,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.143403606572514
CBC_1021,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.347073233031335
CBC_1022,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,1.12716685066591
CBC_1024,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,-0.299573872540228
CBC_1026,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,1.06510339526028
CBC_1027,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.863463854728309
CBC_1028,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,1.17181887460042
CBC_1029,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.795087418012056
CBC_1030,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,2.31706400062487
CBC_1031,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.932467378429422
CBC_1033,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,2.78950888461233
CBC_1034,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.049332028901552
CBC_1035,MSTACT_uniform,MS_uniform_-12_-18_8,AV,left,thalamus,1,0.838315482883155
