ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,2.08303316780894
CBC_1002,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,1.9794536548807
CBC_1003,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,0.838815023348119
CBC_1005,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,1.39459962929066
CBC_1006,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,1.18233128418823
CBC_1007,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,1.63244091983157
CBC_1010,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,3.23915559991488
CBC_1011,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,0.101860687599948
CBC_1013,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,3.1976734392192
CBC_1014,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,2.23573311340742
CBC_1015,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,0.999377315978055
CBC_1016,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,2.80962309289462
CBC_1017,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,1.09343678318379
CBC_1018,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,2.07353318472879
CBC_1019,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,3.33478777223035
CBC_1020,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,0.964420523812407
CBC_1021,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,0.794792665489349
CBC_1022,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,0.889967756898532
CBC_1024,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,1.52316119040647
CBC_1026,MSTACT_uniform,MS_uniform_-25_-59_51,AV,left,superior parietal lobe,2,-1.01238246067032
