ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.05603468847668
CBC_1002,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,2.39641331656463
CBC_1003,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.21716006885188
CBC_1005,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.119881780297076
CBC_1006,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-1.01029888734539
CBC_1007,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,2.55514986983996
CBC_1010,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,3.15762181614125
CBC_1011,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.122735792017065
CBC_1013,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.52841106121819
CBC_1014,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.361516186442561
CBC_1015,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.198117123302356
CBC_1016,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,3.16314182790366
CBC_1017,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,4.05465588454749
CBC_1018,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,2.9898937319169
CBC_1019,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,4.57591276142515
CBC_1020,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.84699258407135
CBC_1021,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.465458212958955
CBC_1022,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.960949837226354
CBC_1024,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.545226090225333
CBC_1026,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.436430889373419
CBC_1027,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,2.84424862371486
CBC_1028,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.22075350199672
CBC_1029,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,2.26817160231837
CBC_1030,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.538721651551638
CBC_1031,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.0420052583840769
CBC_1033,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.92358285669161
CBC_1034,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.620216193276143
CBC_1035,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.321420871434797
CBC_1036,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,2.39542643625265
CBC_1037,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.30877932676198
CBC_1038,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.794145527994865
CBC_1040,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,2.61776319326836
CBC_1041,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.981757445782635
CBC_1042,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,2.96202894626814
CBC_1044,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.496866536127028
CBC_1045,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.11060312698637
CBC_1048,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,3.04156923129009
CBC_1051,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,3.25088253338202
CBC_1054,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.237047004421697
CBC_1058,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,2.21997467506797
CBC_1059,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.64874349417786
CBC_1064,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.972961048987649
CBC_1071,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.046870410051335
CBC_1072,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.0371643273642106
CBC_1075,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.155426132768304
CBC_1076,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.530258423994289
CBC_1087,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.14910139669606
CBC_1090,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.62145576850743
CBC_1093,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.551557428137989
CBC_1102,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.857553544508432
CBC_1108,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.500242613833824
CBC_1109,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.540052163307597
CBC_1110,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.0253828618846532
CBC_1111,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.0904259178569899
CBC_1112,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.72617983023254
CBC_1114,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.169123150329897
CBC_1115,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.89622895816126
CBC_1117,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.0791432112278934
CBC_1119,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,3.83979917402149
CBC_1122,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.363374347250355
CBC_1127,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.53598573597047
CBC_1129,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.06595154636214
CBC_1136,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.92147130911684
CBC_1138,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,0.567280101640795
CBC_1139,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,-0.104544536165079
CBC_1143,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.07568937331163
CBC_1146,MSTACT_uniform,MS_uniform_-35_21_3,AV,left,anterior insula,3,1.55137818533632
CBC_1001,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,1.55013270553881
CBC_1002,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,2.44256941241734
CBC_1003,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,-0.435756204465649
CBC_1005,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.863737837437571
CBC_1006,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,1.44994194546828
CBC_1007,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.598706567765182
CBC_1010,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,2.54538697996687
CBC_1011,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,1.26495753678667
CBC_1013,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,1.17859393379074
CBC_1014,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,1.19359394973935
CBC_1015,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,-0.0997619127552023
CBC_1016,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,3.29621920637844
CBC_1017,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.0864241107938267
CBC_1018,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.939026991277858
CBC_1019,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,3.18311487641922
CBC_1020,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,1.80154086367917
CBC_1021,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,1.99003822497709
CBC_1022,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,3.06496533867334
CBC_1024,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.717658394106195
CBC_1026,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.145532163274624
CBC_1027,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.73484507721544
CBC_1028,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,-0.125805901138719
CBC_1029,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,3.16628387096451
CBC_1030,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,-0.61568421089934
CBC_1031,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,-0.412744890623451
CBC_1033,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,-0.116987071326581
CBC_1034,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,-0.344452972401255
CBC_1035,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,-0.200903409999456
CBC_1036,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.655363789030436
CBC_1037,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.150230092146727
CBC_1038,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.329859707237573
CBC_1040,MSTACT_uniform,MS_uniform_-35_21_3,TV,left,anterior insula,3,0.927091641219647
