ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,4.90361737099756
CBC_1002,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,3.58141417975345
CBC_1003,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,1.84844331729669
CBC_1005,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,3.7748073925245
CBC_1006,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,-0.869915865135121
CBC_1007,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,4.27534890518063
CBC_1010,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,1.65400486881775
CBC_1011,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,-0.113577334790142
CBC_1013,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,1.5511983428684
CBC_1014,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,1.58389100352606
CBC_1015,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,1.06552014590603
CBC_1016,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,5.7435617789702
CBC_1017,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,6.04659296852303
CBC_1018,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,2.97632133480273
CBC_1019,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,6.28204727264407
CBC_1020,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,2.32333987447155
CBC_1021,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,0.839065904826001
CBC_1022,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,1.35491928344153
CBC_1024,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,1.08585108672985
CBC_1026,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,-0.182554270306574
CBC_1027,MSTACT_uniform,MS_uniform_-45_8_28,AV,left,precentral gyrus,5,6.56100230741031
