ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.763733145270803
CBC_1002,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.0829304996188734
CBC_1003,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.264905788591996
CBC_1005,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,2.90799732273307
CBC_1006,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.61758199656738
CBC_1007,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.01203722645849
CBC_1010,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.994773262834901
CBC_1011,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.279509443660085
CBC_1013,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.26294554760897
CBC_1014,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,2.24437138484273
CBC_1015,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.574554269178671
CBC_1016,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.302490846373759
CBC_1017,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.30388249224737
CBC_1018,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.120145645282
CBC_1019,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,6.73262899094711
CBC_1020,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.66196371152145
CBC_1021,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.767209827822827
CBC_1022,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.282996790669898
CBC_1024,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.526234553837324
CBC_1026,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.776295869587953
CBC_1027,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,2.43654982957398
CBC_1028,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.70353537179214
CBC_1029,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.804934866301394
CBC_1030,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.580926327506333
CBC_1031,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.269245955579918
CBC_1033,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.19969478518406
CBC_1034,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.538130882833427
CBC_1035,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.387923681621142
CBC_1036,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.43426685576897
CBC_1037,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-1.097502949119
CBC_1038,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.167666098455061
CBC_1040,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.27220728596736
CBC_1041,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.962576263890296
CBC_1042,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.328258584649088
CBC_1044,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.11532259081046
CBC_1045,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.738727926032076
CBC_1048,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.712361373758519
CBC_1051,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.832996653059387
CBC_1054,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.0613906456191918
CBC_1058,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.272905131948241
CBC_1059,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.545113859930428
CBC_1064,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,2.61901082002746
CBC_1071,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.07228981917632
CBC_1072,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.918858252865157
CBC_1075,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.454251301701153
CBC_1076,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.187754077348071
CBC_1087,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.0522678177645106
CBC_1090,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.671580661329651
CBC_1093,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.107409597120052
CBC_1102,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.140549533157682
CBC_1108,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.252172502587839
CBC_1109,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.322636626077146
CBC_1110,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,1.03509627418759
CBC_1111,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.680542143775945
CBC_1112,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-1.02462221073908
CBC_1114,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.0359815776368645
CBC_1115,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-1.00243903441482
CBC_1117,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.573691802494106
CBC_1119,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.318875136774819
CBC_1122,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.754338110069384
CBC_1127,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.763560930208019
CBC_1129,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.889775801261418
CBC_1136,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.717466995124233
CBC_1138,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.373780315574485
CBC_1139,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,-0.441516950200273
CBC_1143,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.331677713455024
CBC_1146,MSTACT_uniform,MS_uniform_-46_-69_-1,AV,left,inferior occipital cortex,6,0.876514572608708
CBC_1001,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.0408030986699321
CBC_1002,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.340214667092457
CBC_1003,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.324966881661772
CBC_1005,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.02409393065433
CBC_1006,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,2.14104617699945
CBC_1007,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.63489501696771
CBC_1010,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.799907627889866
CBC_1011,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.327438211804909
CBC_1013,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.785428671082636
CBC_1014,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.60005566293446
CBC_1015,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,2.13855542702746
CBC_1016,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.14103420724388
CBC_1017,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.0685720086315312
CBC_1018,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.47498217571171
CBC_1019,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,4.30465153181644
CBC_1020,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,2.04243975775729
CBC_1021,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.19673722592568
CBC_1022,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.349992850091908
CBC_1024,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.538489914700203
CBC_1026,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.12883818364725
CBC_1027,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.33566531853832
CBC_1028,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.764168061864905
CBC_1029,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.19399578889362
CBC_1030,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.307722776099653
CBC_1031,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.454545891928134
CBC_1033,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.640034047624692
CBC_1034,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.20322690031912
CBC_1035,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.579770371425733
CBC_1036,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.54687770529427
CBC_1037,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.350175082914899
CBC_1038,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.0177869100899986
CBC_1040,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.0989927563174273
CBC_1041,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.841205692946935
CBC_1042,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.306485564276562
CBC_1044,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.512465461166675
CBC_1045,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.687410057458023
CBC_1048,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.443448451845557
CBC_1051,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.941931430617213
CBC_1054,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.775133158013466
CBC_1058,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.103890504416615
CBC_1059,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.974674603907053
CBC_1064,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.21209324011399
CBC_1071,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.597595112967497
CBC_1072,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.00266628628436
CBC_1075,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.251673865711067
CBC_1076,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.000875063466067222
CBC_1087,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.065966719887677
CBC_1090,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.902718683436554
CBC_1093,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,0.777261381942906
CBC_1102,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,1.26411966372767
CBC_1108,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.0174432758709315
CBC_1109,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.184870413210827
CBC_1110,MSTACT_uniform,MS_uniform_-46_-69_-1,TV,left,inferior occipital cortex,6,-0.387142919378819
