ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.2662742175858
CBC_1002,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,6.87879569786392
CBC_1003,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.08417559157388
CBC_1005,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.75216708509316
CBC_1006,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.02084893258248
CBC_1007,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,6.4235419972068
CBC_1010,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,4.77045307248421
CBC_1011,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.37180049745566
CBC_1013,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.54362919687041
CBC_1014,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.95169413886075
CBC_1015,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,6.90493589878042
CBC_1016,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,8.549171950413
CBC_1017,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.79576999515675
CBC_1018,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,7.35776818960656
CBC_1019,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,8.22939557799433
CBC_1020,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.76098530806799
CBC_1021,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,7.18391946275369
CBC_1022,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.46378387592647
CBC_1024,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,8.534371873451
CBC_1026,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,7.86885709701995
CBC_1027,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,7.91202235824712
CBC_1028,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,4.02310336485101
CBC_1029,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,6.61218532422384
CBC_1030,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.68845475162989
CBC_1031,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.22263659172365
CBC_1033,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,6.27934231196553
CBC_1034,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.02810104233642
CBC_1035,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,4.37906438601673
CBC_1036,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.88373912489874
CBC_1037,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.29005210711271
CBC_1038,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.49594967681661
CBC_1040,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,4.69939366006745
CBC_1041,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.23699916441811
CBC_1042,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.14886976798087
CBC_1044,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.13287778241783
CBC_1045,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.91467513727517
CBC_1048,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.6374713987407
CBC_1051,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,9.52260086224737
CBC_1054,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,1.69780387507896
CBC_1058,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.58629996776998
CBC_1059,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.81017762468561
CBC_1064,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,7.2321636731623
CBC_1071,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,1.36095142534021
CBC_1072,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,1.84831986809371
CBC_1075,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.19114595171509
CBC_1076,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,0.336918294006206
CBC_1087,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,8.15784201255794
CBC_1090,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,4.52368619916917
CBC_1093,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.52852931841623
CBC_1102,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,1.73206599021386
CBC_1108,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,3.33499260131041
CBC_1109,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,1.68172875181886
CBC_1110,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.17734822561631
CBC_1111,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,4.91560481587249
CBC_1112,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.41193003102753
CBC_1114,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,2.5693941361262
CBC_1115,MSTACT_uniform,MS_uniform_-51_-27_11,AV,left,planum temporale,7,5.80640746131862
