ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.915109366708669
CBC_1002,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,2.38584461512873
CBC_1003,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.497097401040166
CBC_1005,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.579570762411524
CBC_1006,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-1.60181660084936
CBC_1007,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.83121986509978
CBC_1010,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,2.56387621279671
CBC_1011,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.555673090094078
CBC_1013,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.176867884495877
CBC_1014,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.656638440825221
CBC_1015,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,3.23698852315736
CBC_1016,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.08686060821147
CBC_1017,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,3.69578521055357
CBC_1018,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.75198021224437
CBC_1019,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,3.59408947765437
CBC_1020,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,2.34953694456755
CBC_1021,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.183810893448101
CBC_1022,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.546645616375729
CBC_1024,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.62211274625946
CBC_1026,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.892128168947664
CBC_1027,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,4.63233873269704
CBC_1028,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.93775859321311
CBC_1029,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,2.90875713867027
CBC_1030,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.103838606127617
CBC_1031,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.878897750611502
CBC_1033,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,2.70230167215352
CBC_1034,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.354329729246336
CBC_1035,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.224298860189677
CBC_1036,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.33660646209252
CBC_1037,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.741086200691542
CBC_1038,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.417199654325374
CBC_1040,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.9375949978719
CBC_1041,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.69441568891716
CBC_1042,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.82346752751422
CBC_1044,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.997835366420469
CBC_1045,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.839645309388173
CBC_1048,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.88457156283931
CBC_1051,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.79974057156707
CBC_1054,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.519727055204179
CBC_1058,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,2.3872567337041
CBC_1059,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.05271037275779
CBC_1064,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.66024409062875
CBC_1071,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.552357507591669
CBC_1072,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.245040986719941
CBC_1075,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.119559039808515
CBC_1076,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-1.07257380509289
CBC_1087,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.78218391927971
CBC_1090,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.525412351138292
CBC_1093,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.170599869378156
CBC_1102,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.02121354445124
CBC_1108,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.381412891309552
CBC_1109,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.989082063430999
CBC_1110,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.259545444539824
CBC_1111,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.307207422970679
CBC_1112,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.37772978529163
CBC_1114,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.06565935752486
CBC_1115,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.80764227258742
CBC_1117,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.740527433434337
CBC_1119,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,3.49933532601327
CBC_1122,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.52006779595204
CBC_1127,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.39365679963648
CBC_1129,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.114530097120754
CBC_1136,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,2.05074180533946
CBC_1138,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.493026064534471
CBC_1139,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,-0.0586478853367536
CBC_1143,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,0.173133277819452
CBC_1146,MSTACT_uniform,MS_uniform_36_23_-0,AV,right,anterior insula,9,1.94583367727343
CBC_1001,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,2.45973834898916
CBC_1002,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,2.8164845100404
CBC_1003,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-0.213804730375852
CBC_1005,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.335229830195089
CBC_1006,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-0.977248783314773
CBC_1007,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.607809623835048
CBC_1010,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.79826048435433
CBC_1011,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.957141685178289
CBC_1013,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.76260204326263
CBC_1014,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.851489952395494
CBC_1015,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.25183908869311
CBC_1016,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.96867984054886
CBC_1017,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.51389177823927
CBC_1018,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.98914012892167
CBC_1019,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,3.99923522118701
CBC_1020,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.461340760822352
CBC_1021,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.51562152178901
CBC_1022,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,2.41027771945402
CBC_1024,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.91614322549436
CBC_1026,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-0.917136906843775
CBC_1027,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,3.26279406366297
CBC_1028,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.08371188460832
CBC_1029,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,2.20176769797035
CBC_1030,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-1.11934829026915
CBC_1031,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-0.58719518844967
CBC_1033,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.222560940913616
CBC_1034,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-0.538234052434109
CBC_1035,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-0.567030599088581
CBC_1036,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.700547356329542
CBC_1037,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.306720243835136
CBC_1038,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.17549121862847
CBC_1040,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.2903182419291
CBC_1041,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.0830489370906058
CBC_1042,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.38436569174339
CBC_1044,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.04435496758324
CBC_1045,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.351886092854363
CBC_1048,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.896153280707827
CBC_1051,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.42699148852286
CBC_1054,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-0.537611200211138
CBC_1058,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.54562598135855
CBC_1059,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.559064876332641
CBC_1064,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,1.18245186732285
CBC_1071,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.501900524128624
CBC_1072,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-0.780056007702481
CBC_1075,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,-0.769773850102527
CBC_1076,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.182203005374442
CBC_1087,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.178823700758837
CBC_1090,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.962122778880701
CBC_1093,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.220801424062897
CBC_1102,MSTACT_uniform,MS_uniform_36_23_-0,TV,right,anterior insula,9,0.970352349029174
