ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.109875269608791
CBC_1002,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.781084904732726
CBC_1003,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.125537631939769
CBC_1005,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.710983442609321
CBC_1006,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,2.61472033999303
CBC_1007,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,1.57944896918649
CBC_1010,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.236688924760691
CBC_1011,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.341250763077383
CBC_1013,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.22695626803227
CBC_1014,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.770971391859614
CBC_1015,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.609254159443592
CBC_1016,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.130132669022944
CBC_1017,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-2.33219237787046
CBC_1018,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.57007671349575
CBC_1019,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,1.15423596348846
CBC_1020,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,1.13663803786536
CBC_1021,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.203553749843969
CBC_1022,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.0898671454298273
CBC_1024,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.780584368858455
CBC_1026,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.703948303943338
CBC_1027,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.376113050326623
CBC_1028,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.142249794136344
CBC_1029,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,1.29224602712084
CBC_1030,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.181942170136381
CBC_1031,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.0860963765598889
CBC_1033,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,1.11615356009437
CBC_1034,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.787145567715564
CBC_1035,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.280180240386735
CBC_1036,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.308885597606773
CBC_1037,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.843047799154184
CBC_1038,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,1.09547571201632
CBC_1040,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.431081813656311
CBC_1041,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,2.16764603770501
CBC_1042,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.247590835201647
CBC_1044,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.136718072600964
CBC_1045,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.0169829857041893
CBC_1048,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.293626935911031
CBC_1051,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.813837519689353
CBC_1054,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-1.135824377718
CBC_1058,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,1.16938373319537
CBC_1059,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.289309065796987
CBC_1064,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.78794569957854
CBC_1071,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-1.21270456248459
CBC_1072,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.0823722571915612
CBC_1075,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.420220801663215
CBC_1076,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.281946707859769
CBC_1087,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.999613704244577
CBC_1090,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.235930762146061
CBC_1093,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.353126442680539
CBC_1102,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.891444978361223
CBC_1108,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.952628983782625
CBC_1109,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.013140649043024
CBC_1110,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.106322661211467
CBC_1111,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.320374032761227
CBC_1112,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.476009077956175
CBC_1114,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,1.05113611336381
CBC_1115,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.635149654336158
CBC_1117,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.0548889339809245
CBC_1119,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-1.02580069309649
CBC_1122,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.763756513266546
CBC_1127,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.649728085250946
CBC_1129,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.607303297069001
CBC_1136,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.547500848378801
CBC_1138,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.0853381538863993
CBC_1139,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.417329187563491
CBC_1143,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,-0.755653265983474
CBC_1146,PE_uniform,PE_uniform_-12_8_-5_roi.mat,AV,left,ventral striatum,1,0.778875364933185
CBC_1001,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.485296078100713
CBC_1002,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.962791797369434
CBC_1003,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-1.26152646792726
CBC_1005,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.9051738888776
CBC_1006,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.12312818227992
CBC_1007,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.36851162442489
CBC_1010,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.0150054975811934
CBC_1011,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.0500984076601787
CBC_1013,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.272725026327085
CBC_1014,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-1.43225353345377
CBC_1015,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-1.13308675784409
CBC_1016,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.264708207311736
CBC_1017,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.655986750363489
CBC_1018,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.30028304566558
CBC_1019,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.903703226385951
CBC_1020,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.0241674630659409
CBC_1021,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.494323011042969
CBC_1022,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.0762437831709493
CBC_1024,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.18114694849726
CBC_1026,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.200966862784806
CBC_1027,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.136598639543884
CBC_1028,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.731973435080524
CBC_1029,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.881247334375657
CBC_1030,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.448437365140194
CBC_1031,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.574331157311292
CBC_1033,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.0412055725286482
CBC_1034,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.03875670907823
CBC_1035,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-1.028876906357
CBC_1036,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.46848567902375
CBC_1037,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.020378201767286
CBC_1038,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.920504836616095
CBC_1040,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.398827004186537
CBC_1041,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.05026258169806
CBC_1042,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.429825268235278
CBC_1044,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.885375595737714
CBC_1045,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.387870059102999
CBC_1048,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.309275405531554
CBC_1051,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.0343273907489239
CBC_1054,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.490560793694238
CBC_1058,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.905808139670639
CBC_1059,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.615523345894502
CBC_1064,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.781908440800441
CBC_1071,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.187302517303507
CBC_1072,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.441327981532341
CBC_1075,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.32556632114235
CBC_1076,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.431502478707277
CBC_1087,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.526591900062371
CBC_1090,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.708034576664708
CBC_1093,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.272596217904553
CBC_1102,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.55353399986292
CBC_1108,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.477540777636118
CBC_1109,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.338077073503795
CBC_1110,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.0858308950857292
CBC_1111,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.735796737287977
CBC_1112,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.732383644546764
CBC_1114,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.0956816274209212
CBC_1115,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,1.56982146465109
CBC_1117,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.677942090366287
CBC_1119,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,0.776825068127697
CBC_1122,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.145318907637175
CBC_1127,PE_uniform,PE_uniform_-12_8_-5_roi.mat,TV,left,ventral striatum,1,-0.391798803485795
