ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-2.39503990904062
CBC_1002,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-2.49337869860546
CBC_1003,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.0889595111579679
CBC_1005,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.290738233821443
CBC_1006,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-1.69102555773815
CBC_1007,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-1.04141026745645
CBC_1010,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.99447028540957
CBC_1011,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-1.04623493286237
CBC_1013,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.866423823409663
CBC_1014,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,1.35221940279881
CBC_1015,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-1.5016433450193
CBC_1016,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.659578885082731
CBC_1017,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-4.24516725154778
CBC_1018,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.729535444964243
CBC_1019,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-2.78563205069573
CBC_1020,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-1.57374176347622
CBC_1021,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.322488517512582
CBC_1022,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,0.39867405413728
CBC_1024,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-1.05007850841973
CBC_1026,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.75274942733008
CBC_1027,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-2.43415367645651
CBC_1028,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,0.0716786505774791
CBC_1029,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.453961490445243
CBC_1030,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,0.0789674861998093
CBC_1031,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.757826751458577
CBC_1033,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-1.5308552991264
CBC_1034,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.482366658210219
CBC_1035,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,0.386791599445528
CBC_1036,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,0.340349983096562
CBC_1037,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.0543550172049603
CBC_1038,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.281940863951509
CBC_1040,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-1.28512134442501
CBC_1041,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.369215924952763
CBC_1042,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.218325982612959
CBC_1044,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.665521398780231
CBC_1045,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,0.295556675621681
CBC_1048,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.737547023264417
CBC_1051,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.575007996117994
CBC_1054,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-2.47381346515693
CBC_1058,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.961944559574821
CBC_1059,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-2.13669369020296
CBC_1064,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-3.4592295588725
CBC_1071,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.416956920344116
CBC_1072,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-1.01198450773246
CBC_1075,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.111199976317538
CBC_1076,PE_uniform,PE_uniform_-33_20_-2_roi.mat,AV,left,anterior insula,2,-0.924903002728304
