ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.187536232072442
CBC_1002,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.265468971451087
CBC_1003,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.0162746787596829
CBC_1005,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,2.06292464984965
CBC_1006,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.82068541248497
CBC_1007,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,2.16754646728517
CBC_1010,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.295145958860727
CBC_1011,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.26362483233166
CBC_1013,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.74775798364628
CBC_1014,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.958959409662712
CBC_1015,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-4.05912027147534
CBC_1016,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.55303182707775
CBC_1017,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-5.45413577476799
CBC_1018,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.0807188251796022
CBC_1019,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.114674771197268
CBC_1020,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.43934667728738
CBC_1021,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.60936335840025
CBC_1022,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.09062988708608
CBC_1024,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.41506122724253
CBC_1026,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.2657348875659
CBC_1027,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-2.43916578011274
CBC_1028,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.162452467714388
CBC_1029,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.251564969783992
CBC_1030,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.10666097036433
CBC_1031,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.985715101291448
CBC_1033,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.18705412653001
CBC_1034,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,1.06073744797882
CBC_1035,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.240997153462082
CBC_1036,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.218006747450962
CBC_1037,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.838541753451726
CBC_1038,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.763061722736628
CBC_1040,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.715777549257405
CBC_1041,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.607502769325198
CBC_1042,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.861405465018232
CBC_1044,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.255331097454592
CBC_1045,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.73119532159091
CBC_1048,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.15123986969271
CBC_1051,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.216998779702969
CBC_1054,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.624231031754342
CBC_1058,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.219153703426646
CBC_1059,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-2.39798593509654
CBC_1064,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.16469506757618
CBC_1071,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.414752695000866
CBC_1072,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.851565644985034
CBC_1075,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.783008331566731
CBC_1076,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.383669116971234
CBC_1087,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,1.71976431976479
CBC_1090,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.32950810153303
CBC_1093,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.609352503430233
CBC_1102,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.147883562163354
CBC_1108,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.550599183473095
CBC_1109,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.0311819935043961
CBC_1110,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.389288037159954
CBC_1111,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.108749237011638
CBC_1112,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.162163556398559
CBC_1114,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.939694968157825
CBC_1115,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.34243776327513
CBC_1117,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.0772407630946272
CBC_1119,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.45506004575537
CBC_1122,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.200336918805928
CBC_1127,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.731997319662739
CBC_1129,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.0645782744483745
CBC_1136,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.322583971084207
CBC_1138,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-1.1745332212394
CBC_1139,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.55138141517777
CBC_1143,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,-0.307451808241568
CBC_1146,PE_uniform,PE_uniform_-45_6_29_roi.mat,AV,left,precentral gyrus,3,0.104866530303916
CBC_1001,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-0.93496768216878
CBC_1002,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,0.0563211068314606
CBC_1003,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-2.13246474800023
CBC_1005,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,1.08835747043777
CBC_1006,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,0.347489974155599
CBC_1007,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,0.537591496471036
CBC_1010,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-0.60448953919587
CBC_1011,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-0.503202856592669
CBC_1013,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-0.502123372618399
CBC_1014,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-2.6630869655595
CBC_1015,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-1.68878287518558
CBC_1016,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,0.405691291547658
CBC_1017,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-0.813442509417414
CBC_1018,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,1.08009561665828
CBC_1019,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,1.79858508915787
CBC_1020,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-0.221372748558511
CBC_1021,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,0.913531192685895
CBC_1022,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-0.0389844106137508
CBC_1024,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,0.34385935603175
CBC_1026,PE_uniform,PE_uniform_-45_6_29_roi.mat,TV,left,precentral gyrus,3,-0.403050695664024
