ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.438343303865247
CBC_1002,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,-0.649843795808645
CBC_1003,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,-0.0891544197321835
CBC_1005,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.256891685368412
CBC_1006,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,1.39612734544823
CBC_1007,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.992170739051312
CBC_1010,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.142546445583166
CBC_1011,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,-0.375167304628283
CBC_1013,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.339180936093833
CBC_1014,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,-0.629473505704957
CBC_1015,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.0820888959175931
CBC_1016,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,-0.0214767034277916
CBC_1017,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,-2.98633251954367
CBC_1018,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,-0.00752756788408171
CBC_1019,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.746683358444389
CBC_1020,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,1.16877313354232
CBC_1021,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.648909627325524
CBC_1022,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,-0.109365143564048
CBC_1024,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.489286267507817
CBC_1026,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.413180387095203
CBC_1027,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.112353780233983
CBC_1028,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.0445132448816426
CBC_1029,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.747904038303405
CBC_1030,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,-0.0879094376861151
CBC_1031,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.400081706212665
CBC_1033,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,1.45864164531153
CBC_1034,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.940666315026892
CBC_1035,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.434291866530949
CBC_1036,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.189791889578283
CBC_1037,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.699312369415278
CBC_1038,PE_uniform,PE_uniform_14_9_-4_roi.mat,AV,right,ventral striatum,4,0.57169851993103
