ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.858791563739725
CBC_1002,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.84980245128333
CBC_1003,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.0984384302901354
CBC_1005,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,1.60977339969503
CBC_1006,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.0821315019061667
CBC_1007,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.910267427284269
CBC_1010,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.591638696176028
CBC_1011,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.283142123795133
CBC_1013,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.79938776608764
CBC_1014,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.0371623189132005
CBC_1015,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-2.83898988654421
CBC_1016,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-2.38056139944686
CBC_1017,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-7.78481444553686
CBC_1018,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.557009316740812
CBC_1019,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-3.62356415233297
CBC_1020,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.374720278789683
CBC_1021,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-2.38703179775128
CBC_1022,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.151130628922479
CBC_1024,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.975119258634992
CBC_1026,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.24845716451914
CBC_1027,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-3.34504397708063
CBC_1028,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.973701655652128
CBC_1029,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.841130502966065
CBC_1030,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.00548299989905
CBC_1031,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.83051330621526
CBC_1033,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.70629441894968
CBC_1034,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.156954817387729
CBC_1035,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.274122291132379
CBC_1036,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.38919284717798
CBC_1037,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.253099607094492
CBC_1038,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.239248750940371
CBC_1040,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.27601741414143
CBC_1041,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.19169627760822
CBC_1042,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.605559511871099
CBC_1044,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.915687266090907
CBC_1045,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.23173142083848
CBC_1048,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.613897704836158
CBC_1051,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.229344298438614
CBC_1054,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.4363959662606
CBC_1058,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.74621489734283
CBC_1059,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-2.78425038616638
CBC_1064,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-2.1975561813331
CBC_1071,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.74282184253494
CBC_1072,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,1.01436329144847
CBC_1075,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.2266272394494
CBC_1076,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-0.62812492517568
CBC_1087,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,1.00089839787406
CBC_1090,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.51099066764304
CBC_1093,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,-1.18846926763621
CBC_1102,PE_uniform,PE_uniform_2_20_46_roi.mat,AV,bilater,supplementary motor cortex,5,0.72791072901902
