ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-2.15617925437805
CBC_1002,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-2.22782562297563
CBC_1003,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-0.392473333025958
CBC_1005,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,0.07365687505808
CBC_1006,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,0.198793647021538
CBC_1007,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-2.23327249304285
CBC_1010,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-1.10732573754843
CBC_1011,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-0.566977557691701
CBC_1013,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-0.980486743848505
CBC_1014,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,0.660040761261592
CBC_1015,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-3.48959947699559
CBC_1016,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-3.09547080788111
CBC_1017,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-4.57493960485948
CBC_1018,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-0.425220960341543
CBC_1019,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-4.16760916290684
CBC_1020,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-1.04519781942253
CBC_1021,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-0.864156964786859
CBC_1022,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-0.0342226836220188
CBC_1024,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-1.10352793530812
CBC_1026,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-1.59705257364955
CBC_1027,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-2.98151493638029
CBC_1028,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-0.522409190118808
CBC_1029,PE_uniform,PE_uniform_35_21_-3_roi.mat,AV,right,anterior insula,6,-1.18774728758709
