ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-1.40377957114115
CBC_1002,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.551302614413634
CBC_1003,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,0.996882386147302
CBC_1005,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,0.997458526615192
CBC_1006,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,1.67625590569261
CBC_1007,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.182173532584818
CBC_1010,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.857402677383771
CBC_1011,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,1.14159318783368
CBC_1013,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-1.29499017754409
CBC_1014,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,0.184924211798671
CBC_1015,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-1.82682619455238
CBC_1016,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-2.85788563710547
CBC_1017,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-5.28343288578125
CBC_1018,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.212534324822525
CBC_1019,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.926548459498963
CBC_1020,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.607380114101618
CBC_1021,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-1.88315194862443
CBC_1022,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-1.29742957883261
CBC_1024,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.977846108394322
CBC_1026,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-1.32232635406198
CBC_1027,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-2.41401256813146
CBC_1028,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.246976055753471
CBC_1029,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.572872681674253
CBC_1030,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-1.46429341475266
CBC_1031,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-4.13191885059872
CBC_1033,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-2.4215142025267
CBC_1034,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,0.681798493543539
CBC_1035,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,0.153558189416023
CBC_1036,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.0969470344224033
CBC_1037,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,1.11973260112908
CBC_1038,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,0.521253107513899
CBC_1040,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,0.172048316373187
CBC_1041,PE_uniform,PE_uniform_45_8_32_roi.mat,AV,right,precentral gyrus,7,-0.399492007916305
