ID,mask,task,hemisphere,beta
CBC_1001,PE_uniform,AV,wholeBrain,-0.880988889274647
CBC_1002,PE_uniform,AV,wholeBrain,-1.60358962282734
CBC_1003,PE_uniform,AV,wholeBrain,-0.157931106824383
CBC_1005,PE_uniform,AV,wholeBrain,-0.511020177647956
CBC_1006,PE_uniform,AV,wholeBrain,-0.357968013699505
CBC_1007,PE_uniform,AV,wholeBrain,-0.683927369017717
CBC_1010,PE_uniform,AV,wholeBrain,-0.396863520092052
CBC_1011,PE_uniform,AV,wholeBrain,-0.354054637023994
CBC_1013,PE_uniform,AV,wholeBrain,-0.205432439059982
CBC_1014,PE_uniform,AV,wholeBrain,0.109772315965923
CBC_1015,PE_uniform,AV,wholeBrain,0.268407261229093
CBC_1016,PE_uniform,AV,wholeBrain,-0.57263980705755
CBC_1017,PE_uniform,AV,wholeBrain,-1.6008830022691
CBC_1018,PE_uniform,AV,wholeBrain,-0.617737070415146
CBC_1019,PE_uniform,AV,wholeBrain,-1.23830183885983
CBC_1020,PE_uniform,AV,wholeBrain,-1.0363570701648
CBC_1021,PE_uniform,AV,wholeBrain,0.00675694780165444
CBC_1022,PE_uniform,AV,wholeBrain,0.128670398879724
CBC_1024,PE_uniform,AV,wholeBrain,0.221756705948567
CBC_1026,PE_uniform,AV,wholeBrain,-0.377818333070971
CBC_1027,PE_uniform,AV,wholeBrain,-1.8489940193748
CBC_1028,PE_uniform,AV,wholeBrain,-0.131397989754476
CBC_1029,PE_uniform,AV,wholeBrain,-0.306947023553738
CBC_1030,PE_uniform,AV,wholeBrain,-0.307628532607975
CBC_1031,PE_uniform,AV,wholeBrain,0.160044063580516
CBC_1033,PE_uniform,AV,wholeBrain,-0.608709568708232
CBC_1034,PE_uniform,AV,wholeBrain,0.17257714260561
CBC_1035,PE_uniform,AV,wholeBrain,0.594680327276142
CBC_1036,PE_uniform,AV,wholeBrain,0.401016082676459
CBC_1037,PE_uniform,AV,wholeBrain,-0.114274615667185
CBC_1038,PE_uniform,AV,wholeBrain,-0.160416451087988
CBC_1040,PE_uniform,AV,wholeBrain,-0.396557388374538
CBC_1041,PE_uniform,AV,wholeBrain,-0.0135506097249472
CBC_1042,PE_uniform,AV,wholeBrain,0.111769462731449
CBC_1044,PE_uniform,AV,wholeBrain,-0.339279913536925
CBC_1045,PE_uniform,AV,wholeBrain,0.0274881406958907
CBC_1048,PE_uniform,AV,wholeBrain,-0.370696893035376
CBC_1051,PE_uniform,AV,wholeBrain,0.0211409532334257
CBC_1054,PE_uniform,AV,wholeBrain,-1.47390778714281
CBC_1058,PE_uniform,AV,wholeBrain,0.00595686470229081
CBC_1059,PE_uniform,AV,wholeBrain,-1.1766797282127
CBC_1064,PE_uniform,AV,wholeBrain,-1.34063483062454
CBC_1071,PE_uniform,AV,wholeBrain,-0.275382916099185
CBC_1072,PE_uniform,AV,wholeBrain,-0.537959567691579
CBC_1075,PE_uniform,AV,wholeBrain,0.0255301034102784
CBC_1076,PE_uniform,AV,wholeBrain,-0.391580868290047
CBC_1087,PE_uniform,AV,wholeBrain,0.0360621297192653
