ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,tripletUnsorted,matchingPair,nonMatchingPair,triplet,simpleSurprise,nonMatchPairSurprise
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,1,3,1,z,0,1,1,aud,B,27,1,3B,1B,0,1,z,2.5182563999997,0,1,1,1,1B,3B,B31,B1,B3,B13,2.77258872223978,1.38629436111989
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,2,2,3,b,1,0,2,aud,C,63,1,2C,3C,1,0,z,2.24184400000013,0,1,0,0,3C,2C,C23,C2,C3,C23,2.83321334405622,1.6094379124341
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,3,2,3,z,0,1,3,aud,D,63,1,2D,3D,0,1,b,2.57463349999989,1,0,0,0,2D,3D,D23,D3,D2,D32,2.89037175789616,1.79175946922805
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,4,1,0,b,1,0,1,aud,B,63,0,1B,0B,0,1,b,2.42206690000012,1,0,1,0,1B,0B,B10,B1,B0,B10,2.94443897916644,1.94591014905531
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,5,3,0,z,0,1,0,aud,A,9,1,3A,0A,0,1,z,3.39004290000003,0,1,1,1,0A,3A,A30,A0,A3,A03,2.99573227355399,2.07944154167984
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,6,2,3,z,0,1,3,aud,D,63,1,2D,3D,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN,,,D23,D3,D2,D32,2.35137525716348,1.50407739677627
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,7,2,0,b,1,0,2,aud,C,27,1,2C,0C,1,0,b,3.77247699999998,1,0,1,1,2C,0C,C20,C2,C0,C20,3.09104245335832,2.30258509299405
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,8,1,0,z,0,1,0,aud,A,63,1,1A,0A,0,1,z,2.78982200000019,0,1,1,1,0A,1A,A10,A0,A1,A01,3.13549421592915,2.39789527279837
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,9,0,1,z,0,1,1,aud,B,63,1,0B,1B,0,1,z,2.07255699999996,0,1,1,1,1B,0B,B01,B1,B0,B10,2.484906649788,1.79175946922805
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,10,3,1,b,1,0,3,aud,D,27,0,3D,1D,0,1,b,2.58499330000041,1,0,1,0,3D,1D,D31,D3,D1,D31,3.2188758248682,2.56494935746154
