ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
121,1,1,B,1,0,a,63,1,1,1B,0B,1,0,1,0,B10,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.63015131500604,0,0,1,0B,1B,0.5,0.5,0.5,0.5,0,0,-0.5,-0.281302134482275,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,0.118613935426755,0.498896683754881,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,2,D,3,2,a,63,1,1,3D,2D,1,0,1,0,D32,2.83321334405622,0.5,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.61115131500604,1,1,0,3D,2D,0.5,0.5,0.5,0.5,1,1,0.5,0.281302134482275,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,0.052080479753696,0.499973468840289,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,3,B,3,1,l,27,1,1,3B,1B,0,1,0,1,B31,2.89037175789616,0.5,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.781302134482275,1.21615131500604,1,1,0,3B,1B,0.5,0.5,0.5,0.5,0,0,-0.5,-0.281302134482275,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,0.103676605384464,0.49713548174316,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,4,C,2,3,a,63,1,1,2C,3C,1,0,1,0,C23,2.94443897916644,0.5,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.781302134482275,6.66815131500604,0,0,1,3C,2C,0.5,0.5,0.5,0.5,0,0,-0.5,-0.281302134482275,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,0.0272321222002502,0.501869230114869,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,5,C,0,2,l,27,1,1,0C,2C,0,1,0,1,C02,2.99573227355399,0.5,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.5,0.781302134482275,2.84715131500604,1,1,0,0C,2C,0.5,0.5,0.5,0.5,0,0,-0.5,-0.281302134482275,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,0.0906876806329653,0.500189601761875,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,6,A,0,3,a,9,1,1,0A,3A,1,0,1,0,A03,3.04452243772342,0.5,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.5,0.218697865517725,0.5,0.5,0.5,0.781302134482275,3.12915131500604,1,1,0,0A,3A,0.5,0.5,0.5,0.5,1,1,0.5,0.281302134482275,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,0.0829854027108443,0.499192810557279,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,7,C,2,3,a,63,1,1,2C,3C,1,0,1,0,C23,2.39789527279837,0.781302134482275,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.5,0.218697865517725,0.5,0.5,0.5,0.781302134482275,0.860151315006038,1,1,0,2C,3C,0.5,0.218697865517725,0.781302134482275,0.218697865517725,1,1,0.5,0.281302134482275,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,1.46127583910059,0.999999996769599,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,8,A,1,0,l,63,1,1,1A,0A,0,1,0,1,A10,3.13549421592915,0.781302134482275,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.781302134482275,0.218697865517725,0.5,0.5,0.5,0.781302134482275,0.779151315006038,0,0,1,0A,1A,0.781302134482275,0.5,0.781302134482275,0.218697865517725,1,1,0.218697865517725,0.123040352753707,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,2.56190688036126,0.99999999677332,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,9,D,2,3,l,63,1,1,2D,3D,0,1,0,1,D23,3.17805383034795,0.904342487235982,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.781302134482275,0.218697865517725,0.5,0.5,0.5,0.781302134482275,0.825151315006038,0,0,1,3D,2D,0.781302134482275,0.5,0.781302134482275,0.218697865517725,1,1,0.218697865517725,0.123040352753707,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,1.90492924264483,0.999999996779586,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,10,C,3,2,l,63,1,1,3C,2C,0,1,0,1,C32,3.2188758248682,0.904342487235982,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.781302134482275,0.218697865517725,0.5,0.5,0.5,0.904342487235982,0.500151315006038,0,0,1,2C,3C,0.781302134482275,0.218697865517725,0.92734082744951,0.07265917255049,1,1,0.218697865517725,0.123040352753707,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,2.0498981420582,0.999999999999875,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
