trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,50.064989499998774,None,t,66.9144739000003,50.064989499998774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
,,,,,,,,,,None,116.9992628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
0,0,0,0,,,,,,,,,,0,3,1,z,27,1,2.372527466,2.210349838,None,117.19922640000004,None,119.38241297999957,119.38241297999957,119.39928107999913,None,[],['z'],[1.1361041999989538],121.38668329999928,None,z,3.136104199998954,1,1,1.0,None,123.78154729999915,None,123.78154729999915,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
1,0,1,0,,,,,,,,,,2,2,3,b,63,1,1.556335756,1.732943574,None,125.7826342999997,None,127.49917868000011,127.49917868000011,127.51529797999865,None,[],['b'],[0.41326809999918623],129.4936093999986,None,b,2.4132680999991862,1,1,1.0,None,131.05763039999874,None,131.05763039999874,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
2,0,2,0,,,,,,,,,,3,2,3,z,63,1,1.610581685,1.75396268,None,133.06636049999906,None,134.7994833799985,134.7994833799985,134.8162137799991,None,[],['z'],[1.2894384000010177],136.8042736999996,None,z,3.2894384000010177,1,1,1.0,None,138.43147709999903,None,138.43147709999903,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
3,0,3,0,,,,,,,,,,0,1,0,b,63,0,1.899747326,2.7801224,None,140.43231169999854,None,143.18296477999866,143.18296477999866,143.1996189799993,None,[],['z'],[0.6316580999991857],145.18585829999938,None,z,2.6316580999991857,0,1,0.75,None,147.09087459999864,None,147.09087459999864,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
4,0,4,0,,,,,,,,,,1,3,0,z,9,1,3.278108735,0.789129603,None,149.09967089999918,None,149.86641217999932,149.86641217999932,149.883001279999,None,[],['z'],[0.5530812999986665],151.8701106999997,None,z,2.5530812999986665,1,1,0.8,None,155.15705759999946,None,155.15705759999946,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
5,0,5,0,,,,,,,,,,3,2,3,z,63,1,1.90573091,2.962224669,None,157.16646189999847,None,160.0997839800002,160.0997839800002,160.11647947999882,None,[],['b'],[0.46786449999854085],162.12411819999943,None,b,2.467864499998541,0,0,0.6666666666666666,None,164.03241069999967,None,164.03241069999967,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
6,0,6,0,,,,,,,,,,2,2,0,b,27,1,1.543156518,0.977134615,None,166.03331660000003,None,166.98312717999943,166.98312717999943,166.9996943799997,None,[],['z'],[0.4683612000007997],168.98653769999873,None,z,2.4683612000007997,0,0,0.5714285714285714,None,170.53585159999966,None,170.53585159999966,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
7,0,7,0,,,,,,,,,,1,1,0,z,63,1,2.242058058,0.971483559,None,172.54960129999927,None,173.49954947999868,173.49954947999868,173.5161152799992,None,[],['z'],[0.4764266000001953],175.50041959999908,None,z,2.4764266000001953,1,1,0.625,None,177.74712099999851,None,177.74712099999851,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
8,0,8,0,,,,,,,,,,0,0,1,z,63,1,3.956662465,1.293060736,None,179.74966239999958,None,181.01640847999988,181.01640847999988,181.03314077999858,None,[],['z'],[0.6104175000000396],183.01853449999908,None,z,2.6104175000000396,1,1,0.6666666666666666,None,186.97667459999866,None,186.97667459999866,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
9,0,9,0,,,,,,,,,,3,3,1,b,27,1,2.917714675,1.554037824,None,188.9832065999999,None,190.51612337999904,190.51612337999904,190.53276987999925,None,[],['b'],[1.3310106999997515],192.51926279999861,None,b,3.3310106999997515,1,1,0.7,None,195.44233059999897,None,195.44233059999897,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
10,0,10,0,,,,,,,,,,2,2,3,b,63,1,2.117809983,1.910349838,None,197.44970319999993,None,199.332903479999,199.332903479999,199.34960177999892,None,[],['z'],[0.633401999999478],201.33453299999928,None,z,2.633401999999478,0,0,0.6363636363636364,None,203.45577179999964,None,203.45577179999964,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
11,0,11,0,,,,,,,,,,0,0,1,z,63,1,2.67601813,3.276660373,None,205.46686729999965,None,208.71637207999993,208.71637207999993,208.73304307999933,None,[],['b'],[0.9852253999997629],210.71990899999946,None,b,2.985225399999763,0,0,0.5833333333333334,None,213.4107043999993,None,213.4107043999993,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
12,0,12,0,,,,,,,,,,1,1,0,z,63,1,1.874984683,3.321420384,None,215.41621289999966,None,218.71640727999875,218.71640727999875,218.7330646800001,None,[],['b'],[1.2898730999986583],220.72035849999884,None,b,3.2898730999986583,0,0,0.5384615384615384,None,222.60912889999963,None,222.60912889999963,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
13,0,13,0,,,,,,,,,,2,2,1,b,9,1,3.622505815,1.24796184,None,224.61631399999897,None,225.8497712799999,225.8497712799999,225.8665332799992,None,[],['b'],[0.7301870999999664],227.85120949999873,None,b,2.7301870999999664,1,1,0.5714285714285714,None,231.48387609999918,None,231.48387609999918,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
14,0,14,0,,,,,,,,,,1,0,1,b,63,1,4.334629553,2.407383959,None,233.4831868000001,None,235.86688807999963,235.86688807999963,235.88338447999922,None,[],['b'],[0.473801199999798],237.8704736999989,None,b,2.473801199999798,1,1,0.6,None,242.2207013999996,None,242.2207013999996,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
15,0,15,0,,,,,,,,,,3,1,3,z,27,1,4.21669271,3.388090306,None,244.23345659999904,None,247.59973627999898,247.59973627999898,247.61662867999985,None,[],['z'],[0.3102878999998211],249.60477549999996,None,z,2.310287899999821,1,1,0.625,None,253.81147599999895,None,253.81147599999895,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
16,0,16,0,,,,,,,,,,0,1,0,b,63,1,1.758742576,1.883772966,None,255.81662969999888,None,257.6837579799994,257.6837579799994,257.69975557999896,None,[],['z'],[0.5927392999983567],259.6875607000002,None,z,2.5927392999983567,0,0,0.5882352941176471,None,261.4378394999985,None,261.4378394999985,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
17,0,17,0,,,,,,,,,,2,3,2,z,63,0,1.109698721,1.483424551,None,263.4498184999993,None,264.9167843799987,264.9167843799987,264.93337178,None,[],['b'],[0.6174756000000343],266.9175968999989,None,b,2.6174756000000343,0,1,0.5555555555555556,None,268.0295133999989,None,268.0295133999989,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
18,0,18,0,,,,,,,,,,1,0,2,b,27,1,2.518459073,2.071213329,None,270.03357549999964,None,272.08335007999995,272.08335007999995,272.10002238000015,None,[],['b'],[1.0219425999985106],274.101903499999,None,b,3.0219425999985106,1,1,0.5789473684210527,None,276.62053549999837,None,276.62053549999837,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
19,0,19,0,,,,,,,,,,3,2,3,z,63,1,1.3262934849999999,2.234398566,None,278.63327169999866,None,280.8499405799994,280.8499405799994,280.8666386799996,None,[],['z'],[0.4491127000001143],282.8530955999995,None,z,2.4491127000001143,1,1,0.6,None,284.18707019999965,None,284.18707019999965,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
20,0,20,0,,,,,,,,,,0,1,3,b,27,1,4.309752164,2.502774076,None,286.20019649999995,None,288.68324417999975,288.68324417999975,288.69991067999945,None,[],['b'],[1.6324246999993193],290.68482140000015,None,b,3.6324246999993193,1,1,0.6190476190476191,None,295.00978399999985,None,295.00978399999985,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
21,0,21,0,,,,,,,,,,2,2,3,b,63,1,4.196249082,2.757001452,None,297.0169507999999,None,299.75068307999936,299.75068307999936,299.76671197999895,None,[],['z'],[1.6084443999989162],301.7526820999992,None,z,3.608444399998916,0,0,0.5909090909090909,None,305.9483033999986,None,305.9483033999986,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
22,0,22,0,,,,,,,,,,1,1,0,z,63,0,3.478547126,1.448890429,None,307.95016659999965,None,309.3838378799992,309.3838378799992,309.39985457999865,None,[],['b'],[0.3717500000002474],311.3851498999993,None,b,2.3717500000002474,0,1,0.5652173913043478,None,314.8778996000001,None,314.8778996000001,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
23,0,23,0,,,,,,,,,,0,1,2,b,9,1,1.6718976049999998,3.264468617,None,316.88333779999994,None,320.1335874799988,320.1335874799988,320.15011217999927,None,[],['z'],[1.4974990000009711],322.13674639999954,None,z,3.497499000000971,0,0,0.5416666666666666,None,323.8135996000001,None,323.8135996000001,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
24,0,24,0,,,,,,,,,,2,3,2,z,63,1,2.397501916,1.086048241,None,325.8172537999999,None,326.88356307999857,326.88356307999857,326.90012857999864,None,[],['b'],[0.641723999999158],328.88628919999974,None,b,2.641723999999158,0,0,0.52,None,331.2938921999994,None,331.2938921999994,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
25,0,25,0,,,,,,,,,,3,3,2,b,63,1,1.887650177,2.349749758,None,333.3003157999992,None,335.6343227799989,335.6343227799989,335.6501107799995,None,[],['b'],[0.9007593999995152],337.63671169999907,None,b,2.900759399999515,1,1,0.5384615384615384,None,339.5274445999985,None,339.5274445999985,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
26,0,26,0,,,,,,,,,,0,1,0,b,63,1,3.501824497,2.648704933,None,341.53367069999877,None,344.1670977799986,344.1670977799986,344.1836369799985,None,[],['z'],[0.12158330000056594],346.1706051000001,None,z,2.121583300000566,0,0,0.5185185185185185,None,349.6756157999989,None,349.6756157999989,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
27,0,27,0,,,,,,,,,,1,2,0,z,27,1,1.595506577,3.274187802,None,351.6837719999985,None,354.9336343799987,354.9336343799987,354.95029497999894,None,[],['b'],[0.8032235999999102],356.93880290000016,None,b,2.80322359999991,0,0,0.5,None,358.5265688999989,None,358.5265688999989,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
28,0,28,0,,,,,,,,,,3,3,1,b,27,1,2.742099981,1.08099246,None,360.54287849999855,None,361.61702817999867,361.61702817999867,361.63354247999996,None,[],['b'],[1.462699599998814],363.6202274999996,None,b,3.462699599998814,1,1,0.5172413793103449,None,366.3660087999997,None,366.3660087999997,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
29,0,29,0,,,,,,,,,,1,0,1,b,63,1,3.869831913,2.297139377,None,368.3672680999989,None,370.65025848000005,370.65025848000005,370.66780687999926,None,[],['z'],[1.2380742999994254],372.65509289999864,None,z,3.2380742999994254,0,0,0.5,None,376.53730409999844,None,376.53730409999844,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
30,0,30,0,,,,,,,,,,2,0,2,z,27,1,2.0845750460000003,2.128027194,None,378.5499611999985,None,380.6501637799993,380.6501637799993,380.6666549799993,None,[],['b'],[0.5759674000000814],382.6482103999988,None,b,2.5759674000000814,0,0,0.4838709677419355,None,384.73351269999876,None,384.73351269999876,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
31,0,31,0,,,,,,,,,,3,3,2,b,63,1,2.232488062,1.411911144,None,386.7334772999984,None,388.13335777999964,388.13335777999964,388.15005518,None,[],['z'],[1.629276600000594],390.1312339999986,None,z,3.629276600000594,0,0,0.46875,None,392.36400709999907,None,392.36400709999907,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
