trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,428.1230364000003,None,t,71.90535500000078,428.1230364000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
,,,,,,,,,,None,500.0549874999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
0,0,0,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,2.917714675,1.915207301,None,500.2547617,None,502.3700231999992,None,502.3700231999992,None,502.3710868399994,None,None,502.3700231999992,None,['b'],[0.25464279999869177],504.17135190000045,None,b,2.2546427999986918,0,0,0.0,507.0975722000003,None,None,507.0975722000003,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.208904638,1.84422311,None,509.10479080000005,None,510.9805577999996,None,510.9805577999996,None,510.98801209999965,None,['z'],510.9805577999996,None,None,,512.9534764,None,z,1.5698697999996511,0,0,0.0,515.1617215000006,None,None,515.1617215000006,None,[1.5698697999996511],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
2,0,2,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,1.109698721,1.378098418,None,517.1714666999997,None,518.6236661999992,None,518.6236661999992,None,518.6213225199999,None,None,518.6236661999992,None,['z'],[0.18656360000022687],520.5380915000005,None,z,2.186563600000227,1,1,0.3333333333333333,521.6359527000004,None,None,521.6359527000004,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
3,0,3,0,,,,,,,,,,3,2.0,1.0,z,9.0,1.0,1.556335756,1.411911144,None,523.6380052000004,None,525.0788785000004,None,525.0788785000004,None,525.0880457399999,None,None,525.0788785000004,None,['b'],[0.2875433000008343],527.054874899999,None,b,2.2875433000008343,0,0,0.25,528.6020680999991,None,None,528.6020680999991,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
4,0,4,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,2.242058058,2.495793893,None,530.6046133999989,None,533.1262501000001,None,533.1262501000001,None,533.1380725399995,None,None,533.1262501000001,None,['z'],[0.41652909999902477],535.1046640999994,None,z,2.4165290999990248,0,0,0.2,537.3482834000006,None,None,537.3482834000006,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
5,0,5,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.196249082,1.086048241,None,539.3381375999998,None,540.4951017999992,None,540.4951017999992,None,540.504984619999,None,None,540.4951017999992,None,['b'],[0.19427229999928386],542.4216001000004,None,b,2.194272299999284,1,1,0.3333333333333333,546.6068094999991,None,None,546.6068094999991,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
6,0,6,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,1.887650177,2.757001452,None,548.6214639999998,None,551.379832999999,None,551.379832999999,None,551.3877631799996,None,['z'],551.379832999999,None,None,,553.3908795000007,None,z,1.5838088000018615,1,1,0.42857142857142855,555.2943708999992,None,None,555.2943708999992,None,[1.5838088000018615],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
7,0,7,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.818459073,1.293060736,None,557.3047874000004,None,558.6099818999992,None,558.6099818999992,None,558.6214705399998,None,['b'],558.6099818999992,None,None,,560.6071900000006,None,b,1.6556863999994675,0,0,0.375,563.4281996999998,None,None,563.4281996999998,None,[1.6556863999994675],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
8,0,8,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,4.309752164,2.234398566,None,565.4385246999991,None,567.6920009000005,None,567.6920009000005,None,567.6885375800002,None,None,567.6920009000005,None,['b'],[1.5090450999996392],569.6714539000004,None,b,3.509045099999639,1,1,0.4444444444444444,573.9758373999994,None,None,573.9758373999994,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
9,0,9,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,1.610581685,1.910349838,None,575.9881425999993,None,577.9090885999994,None,577.9090885999994,None,577.9049866800005,None,['z'],577.9090885999994,None,None,,579.9029840000003,None,z,1.1531180000001768,1,1,0.5,581.5112991999995,None,None,581.5112991999995,None,[1.1531180000001768],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
