trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,274.612821499999,None,t,63.84701530000166,274.612821499999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
,,,,,,,,,,None,338.4811432000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
0,0,0,0,,,,,,,,,,0,0,1,b,63,1,2.117809983,2.349749758,None,338.6814293000007,None,341.01427035999984,341.01427035999984,341.0309263599996,None,[],['z'],[0.034047900000587106],343.02377739999974,None,z,2.034047900000587,0,0,0.0,None,345.14084100000036,None,345.14084100000036,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
1,0,1,0,,,,,,,,,,2,2,3,z,63,1,3.478547126,0.977134615,None,347.14748449999934,None,348.09839026000043,348.09839026000043,348.1143189599992,None,[],['b'],[0.4215524999999616],350.1016199000005,None,b,2.4215524999999616,0,0,0.0,None,353.57856100000026,None,353.57856100000026,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
2,0,2,0,,,,,,,,,,1,0,2,z,27,1,1.6718976049999998,2.648704933,None,355.5811883999995,None,358.21446476000017,358.21446476000017,358.2310360599989,None,[],['z'],[0.5868654000005336],360.21762689999923,None,z,2.5868654000005336,1,1,0.3333333333333333,None,361.89300600000024,None,361.89300600000024,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
3,0,3,0,,,,,,,,,,0,0,1,b,63,1,2.232488062,1.448890429,None,363.89767459999894,None,365.3311919600004,365.3311919600004,365.34787335999897,None,[],['z'],[0.515209600001981],367.33378169999924,None,z,2.515209600001981,0,0,0.25,None,369.5745948999993,None,369.5745948999993,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
4,0,4,0,,,,,,,,,,3,1,3,b,27,1,4.196249082,1.75396268,None,371.5811293000006,None,373.31428835999975,373.31428835999975,373.3311712599992,None,[],['z'],[0.33534440000039467],375.3178576999999,None,z,2.3353444000003947,0,0,0.2,None,379.5171570000002,None,379.5171570000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
5,0,5,0,,,,,,,,,,1,3,2,z,63,1,2.917714675,2.071213329,None,381.53121660000033,None,383.58120755999914,383.58120755999914,383.5978582600004,None,[],['z'],[0.5517396000013832],385.5854068999997,None,z,2.5517396000013832,1,1,0.3333333333333333,None,388.51630250000017,None,388.51630250000017,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
6,0,6,0,,,,,,,,,,2,3,2,b,63,1,1.90573091,2.297139377,None,390.5311614000002,None,392.8143035599991,392.8143035599991,392.8308616599992,None,[],['b'],[0.324300400001448],394.81772079999973,None,b,2.324300400001448,1,1,0.42857142857142855,None,396.7274588,None,396.7274588,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
7,0,7,0,,,,,,,,,,3,0,1,z,63,1,2.397501916,1.142638656,None,398.73125040000014,None,399.84762816,399.84762816,399.86429996000004,None,[],['z'],[1.3468842000002041],401.85125340000013,None,z,3.346884200000204,1,1,0.5,None,404.25080779999917,None,404.25080779999917,None,,,,,,,,,,,,,,,,,,,,,CBC_1007,006,1,3,2,4,0.95,2023-06-21_16h50.43.207,MSI_TV_v3,2022.1.1,59.777901186250055,
