trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,29.659392900000057,None,t,50.57956420000028,29.659392900000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
,,,,,,,,,,None,80.26604750000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
0,0,0,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.71372710086949,1.25920145784721,None,80.46567430000005,None,81.90331470000001,None,81.90331470000001,None,81.89904208000043,None,None,81.90331470000001,None,None,83.71564149999995,None,[],[],0,3,0.0,87.47823359999984,None,None,87.47823359999984,None,,,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
1,0,1,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.76873691643126,3.33124983260532,None,89.23266689999991,None,92.62879669999984,None,92.62879669999984,None,92.63259806000023,None,None,92.62879669999984,None,['z'],94.56614609999997,None,z,2.099637299999813,0,0,0.0,98.31793849999985,None,None,98.31793849999985,None,[0.09963729999981297],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
2,0,2,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.2759877950103027,1.90743690794447,None,100.13274030000002,None,102.08383589999994,None,102.08383589999994,None,102.0832461,None,None,102.08383589999994,None,['b'],104.03320190000022,None,b,2.613365899999735,0,0,0.0,106.30851960000018,None,None,106.30851960000018,None,[0.6133658999997351],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
3,0,3,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,3.02234236141277,3.40155979865722,None,108.11592070000006,None,111.51847450000014,None,111.51847450000014,None,111.5159983200002,None,None,111.51847450000014,None,['z'],113.51601340000025,None,z,2.359708999999839,0,0,0.0,116.53247580000016,None,None,116.53247580000016,None,[0.35970899999983885],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
4,0,4,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,3.2062024266105302,3.1963008326951,None,118.33286279999993,None,121.53284250000024,None,121.53284250000024,None,121.53207092000011,None,None,121.53284250000024,None,['b'],123.51629000000003,None,b,2.3168425999997453,1,1,0.2,126.7041365,None,None,126.7041365,None,[0.3168425999997453],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
5,0,5,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.526044641065533,1.1243895841892,None,128.51625250000006,None,129.65395679999983,None,129.65395679999983,None,129.6661404399999,None,None,129.65395679999983,None,['z'],131.63195309999992,None,z,2.932885599999736,1,1,0.3333333333333333,134.14683680000007,None,None,134.14683680000007,None,[0.9328855999997359],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
6,0,6,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.77723667052879,2.78346932462847,None,135.94980339999984,None,138.75116549999984,None,138.75116549999984,None,138.7497234800002,None,None,138.75116549999984,None,['b'],140.7331061,None,b,2.805981399999837,1,1,0.42857142857142855,145.48985040000025,None,None,145.48985040000025,None,[0.8059813999998369],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
7,0,7,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,4.7533305109883095,2.40378712856304,None,147.29929979999997,None,149.7383159000001,None,149.7383159000001,None,149.74884680000014,None,None,149.7383159000001,None,['z'],151.68318709999994,None,z,2.3533948999997847,1,1,0.5,156.43223190000026,None,None,156.43223190000026,None,[0.3533948999997847],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
