trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,29.28420030000052,None,t,55.25302659999943,29.28420030000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
,,,,,,,,,,None,84.55963740000152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
0,0,0,0,,,,,,,,,,2,0,1,b,63,1,2.2759877950103027,1.53243550275999,None,84.75969650000116,None,86.36461739999868,None,86.36461739999868,None,86.37649382000018,None,['b'],[1.6651466000002983],86.36461739999868,None,None,88.29540719999932,None,b,1.6651466000002983,1,1,1.0,90.58266740000181,None,None,90.58266740000181,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
1,0,1,0,,,,,,,,,,0,2,3,z,63,1,4.77723667052879,3.1424449555106,None,92.37676080000165,None,95.53205869999874,None,95.53205869999874,None,95.52640768000128,None,None,,95.53205869999874,None,['b'],97.50980720000007,None,b,2.149898100000428,0,0,0.5,102.26950040000156,None,None,102.26950040000156,None,[0.1498981000004278],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
2,0,2,0,,,,,,,,,,3,0,2,z,27,1,2.342239579230602,1.53122835510861,None,104.07646820000082,None,105.63095579999936,None,105.63095579999936,None,105.64304844000071,None,None,,105.63095579999936,None,['z'],107.60957860000053,None,z,2.358136499999091,1,1,0.6666666666666666,109.93420139999944,None,None,109.93420139999944,None,[0.35813649999909103],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
3,0,3,0,,,,,,,,,,2,0,1,b,63,1,3.76873691643126,1.90743690794447,None,111.74318770000173,None,113.64409990000058,None,113.64409990000058,None,113.64223112000036,None,['b'],[1.920938399998704],113.64409990000058,None,None,115.64142120000179,None,b,1.920938399998704,1,1,0.75,119.41790110000147,None,None,119.41790110000147,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
4,0,4,0,,,,,,,,,,1,1,3,b,27,1,2.592312596923728,2.96653053743745,None,121.22632389999853,None,124.21602859999985,None,124.21602859999985,None,124.22640963999947,None,None,,124.21602859999985,None,['b'],126.19324259999848,None,b,2.584890900001483,1,1,0.8,128.77961770000184,None,None,128.77961770000184,None,[0.5848909000014828],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
5,0,5,0,,,,,,,,,,3,3,2,z,63,1,2.678526077912375,2.40378712856304,None,130.5932455000002,None,133.01529540000047,None,133.01529540000047,None,133.02646934000222,None,None,,133.01529540000047,None,['b'],134.9932617000013,None,b,2.442076299998007,0,0,0.6666666666666666,137.66486259999874,None,None,137.66486259999874,None,[0.442076299998007],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
6,0,6,0,,,,,,,,,,0,3,2,b,63,1,3.3728785608729996,2.10421507306074,None,139.47600370000146,None,141.59739439999976,None,141.59739439999976,None,141.59321758000078,None,None,,141.59739439999976,None,['b'],143.57651709999845,None,b,2.4291682000002766,1,1,0.7142857142857143,146.9380831999988,None,None,146.9380831999988,None,[0.42916820000027656],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
7,0,7,0,,,,,,,,,,1,0,1,z,63,1,4.01714354611405,3.33124983260532,None,148.74313249999977,None,152.0792991999988,None,152.0792991999988,None,152.09241628000018,None,None,,152.0792991999988,None,['z'],154.06025690000024,None,z,2.9438981999992393,1,1,0.75,158.05804010000065,None,None,158.05804010000065,None,[0.9438981999992393],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
8,0,8,0,,,,,,,,,,2,2,0,z,27,1,3.6438386551209,2.6299100644723,None,159.8594693999985,None,162.4776176000014,None,162.4776176000014,None,162.4764876199988,None,None,,162.4776176000014,None,['b'],164.47643600000083,None,b,2.4505967999975837,0,0,0.6666666666666666,168.10132710000107,None,None,168.10132710000107,None,[0.45059679999758373],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
9,0,9,0,,,,,,,,,,0,3,0,b,9,1,3.26539063535182,2.22427187882546,None,169.90906249999898,None,172.14740330000132,None,172.14740330000132,None,172.14329768000243,None,None,,172.14740330000132,None,['b'],174.12668589999885,None,b,2.5278642999983276,1,1,0.7,177.37467610000022,None,None,177.37467610000022,None,[0.5278642999983276],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
10,0,10,0,,,,,,,,,,3,2,3,b,63,1,4.53337421950507,1.1243895841892,None,179.17680689999906,None,180.2948546000007,None,180.2948546000007,None,180.2926016199999,None,None,,180.2948546000007,None,['b'],182.27692640000168,None,b,3.0067444999986037,1,1,0.7272727272727273,186.7926640000005,None,None,186.7926640000005,None,[1.0067444999986037],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
11,0,11,0,,,,,,,,,,1,0,1,z,63,1,3.73326136168326,2.78346932462847,None,188.59329060000164,None,191.39830839999922,None,191.39830839999922,None,191.41013093999936,None,['z'],[1.7092680999994627],191.39830839999922,None,None,193.39747310000166,None,z,1.7092680999994627,1,1,0.75,197.13187150000158,None,None,197.13187150000158,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
12,0,12,0,,,,,,,,,,0,2,3,z,63,1,3.2062024266105302,0.917519910446003,None,198.9433878000018,None,199.88173430000097,None,199.88173430000097,None,199.89334493999922,None,None,,199.88173430000097,None,['z'],201.86039860000164,None,z,2.0161394999995537,1,1,0.7692307692307693,205.0606215000007,None,None,205.0606215000007,None,[0.016139499999553664],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
13,0,13,0,,,,,,,,,,3,2,3,b,63,1,3.35133458220192,1.78643585472448,None,206.86070570000084,None,208.6421776999996,None,208.6421776999996,None,208.6423388200019,None,['b'],[1.8656648999967729],208.6421776999996,None,None,210.64626789999966,None,b,1.8656648999967729,1,1,0.7857142857142857,214.0004642999993,None,None,214.0004642999993,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
14,0,14,0,,,,,,,,,,1,3,1,z,27,1,4.72585056748869,1.60731937853708,None,215.8101166000015,None,217.43046490000052,None,217.43046490000052,None,217.4269096800017,None,['z'],[0.7674742999988666],217.43046490000052,None,None,219.42734239999845,None,z,0.7674742999988666,1,1,0.8,224.16732319999937,None,None,224.16732319999937,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
15,0,15,0,,,,,,,,,,2,0,3,b,9,1,2.91303524001082,1.38289892513751,None,225.97690460000013,None,227.38171330000114,None,227.38171330000114,None,227.3937704400014,None,None,,227.38171330000114,None,['b'],229.36037170000054,None,b,2.8263135999986844,1,1,0.8125,232.26352889999907,None,None,232.26352889999907,None,[0.8263135999986844],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
