trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,60.41951879999988,None,t,54.5691440999999,60.41951879999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
,,,,,,,,,,None,115.00761799999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
0,0,0,0,,,,,,,,,,3,3,1,z,27,1,2.342239579230602,0.77703640172831,None,115.20756519999986,None,116.15023330000008,None,116.15023330000008,None,116.15699227999976,None,None,116.15023330000008,None,['z'],[0.01955879999991339],117.97362900000007,None,z,2.0195587999999134,1,1,1.0,120.32060339999998,None,None,120.32060339999998,None,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
1,0,1,0,,,,,,,,,,0,2,3,b,63,1,2.693348633324513,1.53122835510861,None,122.12449709999987,None,123.77224920000003,None,123.77224920000003,None,123.77405393999983,None,None,123.77224920000003,None,['b'],[0.2991967000000386],125.65772399999992,None,b,2.2991967000000386,1,1,1.0,128.3363569999999,None,None,128.3363569999999,None,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
2,0,2,0,,,,,,,,,,1,2,3,z,63,1,4.46924002178158,0.917519910446003,None,130.1411109999999,None,131.1031814999999,None,131.1031814999999,None,131.10759050000001,None,None,131.1031814999999,None,['z'],[0.8814813000001323],133.0576251,None,z,2.8814813000001323,1,1,1.0,137.51103280000007,None,None,137.51103280000007,None,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
3,0,3,0,,,,,,,,,,3,1,0,b,63,1,2.82320408183943,1.94858485820231,None,139.32496620000006,None,141.3289046,None,141.3289046,None,141.3408839599998,None,['b'],141.3289046,None,None,,143.2938870999999,None,b,1.4182415999998739,1,1,1.0,146.13202009999986,None,None,146.13202009999986,None,[1.4182415999998739],,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
4,0,4,0,,,,,,,,,,2,3,0,z,9,1,3.02234236141277,1.34668860557497,None,147.94092929999988,None,149.33144760000005,None,149.33144760000005,None,149.34093229999985,None,['z'],149.33144760000005,None,None,,151.29678539999986,None,z,1.91637639999999,1,1,1.0,154.31451479999987,None,None,154.31451479999987,None,[1.91637639999999],,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
5,0,5,0,,,,,,,,,,1,2,3,z,63,1,2.91303524001082,1.27538462653558,None,156.1240527,None,157.40813400000002,None,157.40813400000002,None,157.4077382799999,None,None,157.40813400000002,None,['b'],[0.3261934000001929],159.39124100000004,None,b,2.326193400000193,0,0,0.8333333333333334,162.28259439999988,None,None,162.28259439999988,None,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
6,0,6,0,,,,,,,,,,0,2,0,b,27,1,4.53337421950507,1.12425433982333,None,164.09123,None,165.23035989999994,None,165.23035989999994,None,165.24104123999987,None,None,165.23035989999994,None,['b'],[0.5721045999998751],167.20765970000002,None,b,2.572104599999875,1,1,0.8571428571428571,171.73058079999987,None,None,171.73058079999987,None,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
7,0,7,0,,,,,,,,,,2,1,0,z,63,1,2.2759877950103027,0.761758675042088,None,173.54123979999986,None,174.3111437,None,174.3111437,None,174.30766647999988,None,None,174.3111437,None,['z'],[0.24483099999997648],176.29107129999989,None,z,2.2448309999999765,1,1,0.875,178.55069890000004,None,None,178.55069890000004,None,,,,,,,,,,,,,,,,,,,CBC_1017,003,3,3,5,16,0.95,2023-06-25_10h04.01.692,MSI_AV_v3,2022.1.1,59.74632903613553,
