trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_4.rt;allKeys.rt;response_5.keys;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_5.rt;keys_3.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
;;;;29.9165883;None;t;49.1618981;29.9165883;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
;;;;;;;;;;None;79.1098934;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
0;0;0;0;;;;;;;;;;3;0;1;b;63;1;3.733261362;3.401559799;None;79.3096054;None;82.69299998;82.69299998;82.70968258;z;['z'];1.9776379;[1.9776378999995359];None;84.7382155;None;z;1.9776379;0;0;0;None;88.4814528;None;88.4814528;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
1;0;1;0;;;;;;;;;;2;2;3;z;63;1;3.683710799;3.331249833;None;90.2760707;None;93.59264778;93.59264778;93.60930298;None;[];;;['z'];95.5932792;None;z;2.3704644;1;1;0.5;None;99.2766988;None;99.2766988;None;[0.3704643999990367];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
2;0;2;0;;;;;;;;;;1;0;2;z;27;1;2.639174735;1.965687352;None;101.0763009;None;103.0260955;103.0260955;103.04277;None;[];;;['b'];105.0286485;None;b;2.7995421;0;0;0.333333333;None;107.6803223;None;107.6803223;None;[0.7995420999995986];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
3;0;3;0;;;;;;;;;;3;0;1;b;63;1;2.275987795;1.363090781;None;109.493035;None;110.8431621;110.8431621;110.8597351;None;[];;;['z'];112.8460859;None;z;2.4092744;0;0;0.25;None;115.1235984;None;115.1235984;None;[0.4092743999990489];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
4;0;4;0;;;;;;;;;;0;1;3;b;27;1;4.124852712;1.607319379;None;116.9265541;None;118.5096774;118.5096774;118.5264447;b;['b'];1.8230413;[1.8230412999982946];None;120.5512837;None;b;1.8230413;1;1;0.4;None;124.6709302;None;124.6709302;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
5;0;5;0;;;;;;;;;;1;3;2;z;63;1;2.678526078;0.777036402;None;126.4763214;None;127.2261799;127.2261799;127.2428863;None;[];;;['z'];129.2294089;None;z;2.070941;1;1;0.5;None;131.9112215;None;131.9112215;None;[0.07094099999994796];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
6;0;6;0;;;;;;;;;;2;3;2;b;63;0;3.372878561;3.069924563;None;133.7265784;None;136.7764713;136.7764713;136.7932003;None;[];;;['b'];138.8271546;None;b;2.282703;1;0;0.571428571;None;142.2031708;None;142.2031708;None;[0.2827029999989463];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
7;0;7;0;;;;;;;;;;0;0;1;z;63;1;4.610046692;2.403787129;None;144.0095285;None;146.3923138;146.3923138;146.4086135;None;[];;;['b'];148.3864133;None;b;3.191994;0;0;0.5;None;152.9910566;None;152.9910566;None;[1.1919940000007045];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
