trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,23.28965149999931,None,t,70.08452939999916,23.28965149999931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
,,,,,,,,,,None,93.39407449999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
0,0,0,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,3.6438386551209,1.52290599571961,None,93.59413760000098,None,95.19834470000205,None,95.19834470000205,None,95.20905257999912,None,['z'],[1.226030299996637],95.19834470000205,None,None,97.1127407999993,None,z,1.226030299996637,0,0,0.0,100.7811612000005,None,None,100.7811612000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
1,0,1,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,4.72585056748869,0.77703640172831,None,102.5762343000024,None,103.37637510000059,None,103.37637510000059,None,103.37705214000088,None,['z'],[1.2305797999979404],103.37637510000059,None,None,105.34573330000057,None,z,1.2305797999979404,1,1,0.5,110.0819021999996,None,None,110.0819021999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
2,0,2,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,4.190022164497369,1.25817747924478,None,111.89444770000046,None,113.18249320000177,None,113.18249320000177,None,113.19316894999974,None,None,,113.18249320000177,None,['z'],115.12788200000068,None,z,2.4579883000005793,0,0,0.3333333333333333,119.30054670000027,None,None,119.30054670000027,None,[0.45798830000057933],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
3,0,3,0,,,,,,,,,,2,1.0,2.0,b,9.0,1.0,4.53337421950507,3.4543169006169,None,121.11124729999938,None,124.58474280000155,None,124.58474280000155,None,124.59413494000255,None,['b'],[1.8008019999979297],124.58474280000155,None,None,126.57713760000115,None,b,1.8008019999979297,1,1,0.5,131.1101183000028,None,None,131.1101183000028,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
4,0,4,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,2.342239579230602,1.95130344756745,None,132.9112771,None,134.88466909999988,None,134.88466909999988,None,134.89445674000015,None,None,,134.88466909999988,None,['z'],136.86131680000108,None,z,2.454849599995214,1,1,0.6,139.19568730000174,None,None,139.19568730000174,None,[0.4548495999952138],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
5,0,5,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,3.31929419319838,2.78346932462847,None,141.0105180999999,None,143.81341750000138,None,143.81341750000138,None,143.81010433000083,None,None,,143.81341750000138,None,['b'],145.77783830000044,None,b,2.2766644000003,0,0,0.5,149.08483379999961,None,None,149.08483379999961,None,[0.2766644000002998],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
6,0,6,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.792365600763554,1.96568735158996,None,150.89456150000115,None,152.88444810000146,None,152.88444810000146,None,152.8942684399997,None,None,,152.88444810000146,None,['b'],154.8610714000024,None,b,2.5389387999966857,1,1,0.5714285714285714,157.6433388000005,None,None,157.6433388000005,None,[0.5389387999966857],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
7,0,7,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.7134565917469198,1.64421109900286,None,159.44423520000055,None,161.09918000000107,None,161.09918000000107,None,161.1110159400021,None,['z'],[1.6910968999982288],161.09918000000107,None,None,163.09375849999924,None,z,1.6910968999982288,0,0,0.5,165.81690570000137,None,None,165.81690570000137,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
8,0,8,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,4.7533305109883095,2.6299100644723,None,167.62763320000158,None,170.28209160000188,None,170.28209160000188,None,170.2778144300024,None,None,,170.28209160000188,None,['z'],172.26120169999922,None,z,3.746493799997552,1,1,0.5555555555555556,176.9989338000014,None,None,176.9989338000014,None,[1.7464937999975518],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
9,0,9,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.526044641065533,1.12425433982333,None,178.81115499999942,None,179.9489805000012,None,179.9489805000012,None,179.9608349400012,None,['z'],[1.9176169999955164],179.9489805000012,None,None,181.931595500002,None,z,1.9176169999955164,0,0,0.5,184.4446699,None,None,184.4446699,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
10,0,10,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,3.71372710086949,0.952147612306987,None,186.24380240000028,None,187.19347460000063,None,187.19347460000063,None,187.19343662000244,None,None,,187.19347460000063,None,['z'],189.17819220000092,None,z,2.1003086999990046,1,1,0.5454545454545454,192.87473880000107,None,None,192.87473880000107,None,[0.1003086999990046],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
11,0,11,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.496959177995529,1.60731937853708,None,194.67698590000145,None,196.29899330000262,None,196.29899330000262,None,196.2946989299995,None,None,,196.29899330000262,None,['z'],198.27814880000005,None,z,2.3183121000001847,1,1,0.5833333333333334,200.75531300000148,None,None,200.75531300000148,None,[0.31831210000018473],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
12,0,12,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.666404967794728,2.10421507306074,None,202.56049239999993,None,204.68189850000272,None,204.68189850000272,None,204.67777933000215,None,['z'],[1.135314200000721],204.68189850000272,None,None,206.6687837999998,None,z,1.135314200000721,0,0,0.5384615384615384,209.32478059999994,None,None,209.32478059999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
13,0,13,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,4.77723667052879,0.761758675042088,None,211.1280351000023,None,211.9005885000006,None,211.9005885000006,None,211.91009643000106,None,['b'],[1.795212699998956],211.9005885000006,None,['b'],213.89776070000153,None,b,1.795212699998956,0,0,0.5,218.68410290000247,None,None,218.68410290000247,None,[2.7124125999980606],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
14,0,14,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,3.35133458220192,1.90743690794447,None,220.49399320000157,None,222.41519440000047,None,222.41519440000047,None,222.42749314000028,None,['z'],[1.5915332999975362],222.41519440000047,None,None,224.4132798999999,None,z,1.5915332999975362,1,1,0.5333333333333333,227.76805779999995,None,None,227.76805779999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
15,0,15,0,,,,,,,,,,2,3.0,1.0,z,27.0,1.0,2.82320408183943,2.96653053743745,None,229.57788810000056,None,232.56770830000096,None,232.56770830000096,None,232.5782551400014,None,None,,232.56770830000096,None,['z'],234.54439090000233,None,z,2.325470799998584,1,1,0.5625,237.35323190000054,None,None,237.35323190000054,None,[0.32547079999858397],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
16,0,16,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.40017271499661,2.49839527409216,None,239.16151060000266,None,241.68505070000174,None,241.68505070000174,None,241.6943860399995,None,['b'],[1.562407199995505],241.68505070000174,None,None,243.66351120000036,None,b,1.562407199995505,1,1,0.5882352941176471,248.05241880000176,None,None,248.05241880000176,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
17,0,17,0,,,,,,,,,,3,3.0,2.0,b,63.0,0.0,3.2062024266105302,1.53243550275999,None,249.86134440000023,None,251.39571500000238,None,251.39571500000238,None,251.39357181999947,None,['b'],[1.3491347999988648],251.39571500000238,None,None,253.3975840000021,None,b,1.3491347999988648,1,0,0.6111111111111112,256.61863150000136,None,None,256.61863150000136,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
18,0,18,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,2.433630701072358,1.18065738546375,None,258.4278508999996,None,259.6295170000012,None,259.6295170000012,None,259.62774423000116,None,None,,259.6295170000012,None,['z'],261.61015260000204,None,z,3.0976634999969974,1,1,0.631578947368421,264.0323371000013,None,None,264.0323371000013,None,[1.0976634999969974],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
19,0,19,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,2.2759877950103027,1.78643585472448,None,265.84487340000123,None,267.6516580999996,None,267.6516580999996,None,267.66107324000114,None,['b'],[1.485603599998285],267.6516580999996,None,None,269.64764429999923,None,b,1.485603599998285,1,1,0.65,271.9268695999999,None,None,271.9268695999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
20,0,20,0,,,,,,,,,,3,3.0,0.0,b,9.0,1.0,4.46924002178158,0.917519910446003,None,273.72810910000044,None,274.6652372000026,None,274.6652372000026,None,274.6609795300024,None,['b'],[1.4769127999970806],274.6652372000026,None,None,276.64823080000133,None,b,1.4769127999970806,1,1,0.6666666666666666,281.1184032000019,None,None,281.1184032000019,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
21,0,21,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,3.3728785608729996,3.24569326556923,None,282.9281281000003,None,286.18138920000274,None,286.18138920000274,None,286.17802652999995,None,['z'],[1.3074069999966014],286.18138920000274,None,None,288.1791288000022,None,z,1.3074069999966014,1,1,0.6818181818181818,291.5509435999993,None,None,291.5509435999993,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
22,0,22,0,,,,,,,,,,2,1.0,3.0,b,27.0,1.0,2.693348633324513,1.27538462653558,None,293.3612831999999,None,294.63116360000276,None,294.63116360000276,None,294.6435752300018,None,None,,294.63116360000276,None,['z'],296.6114957000027,None,z,2.2560341999997036,0,0,0.6521739130434783,299.2928864000023,None,None,299.2928864000023,None,[0.25603419999970356],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
23,0,23,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.82531807167306,3.40155979865722,None,301.09516820000135,None,304.5162479000028,None,304.5162479000028,None,304.52792674000085,None,['b'],[0.882735799998045],304.5162479000028,None,None,306.51102710000123,None,b,0.882735799998045,1,1,0.6666666666666666,311.3306048000013,None,None,311.3306048000013,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
24,0,24,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.592312596923728,1.34668860557497,None,313.1448818000026,None,314.51851490000263,None,314.51851490000263,None,314.52796424000263,None,None,,314.51851490000263,None,['z'],316.49487000000227,None,z,2.318331799997395,0,0,0.64,319.0793021000027,None,None,319.0793021000027,None,[0.31833179999739514],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
25,0,25,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,4.01714354611405,3.06992456303453,None,320.89523420000114,None,323.9840351999992,None,323.9840351999992,None,323.99475524000155,None,['z'],[1.1052939999972295],323.9840351999992,None,None,325.98014820000026,None,z,1.1052939999972295,1,1,0.6538461538461539,330.00027460000274,None,None,330.00027460000274,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
26,0,26,0,,,,,,,,,,0,3.0,0.0,z,9.0,1.0,4.77034425507967,1.36309078069689,None,331.8115367999999,None,333.18097789999956,None,333.18097789999956,None,333.17720042000144,None,['z'],[1.4348976999972365],333.18097789999956,None,None,335.1737979000027,None,z,1.4348976999972365,1,1,0.6666666666666666,339.9492276000019,None,None,339.9492276000019,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
27,0,27,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.76873691643126,3.1424449555106,None,341.76154450000104,None,344.9175271999993,None,344.9175271999993,None,344.92818594000056,None,None,,344.9175271999993,None,['z'],346.8952730000019,None,z,2.7671247999969637,0,0,0.6428571428571429,350.65670690000115,None,None,350.65670690000115,None,[0.7671247999969637],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
28,0,28,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,2.294664843639333,1.1243895841892,None,352.46156560000236,None,353.58194730000105,None,353.58194730000105,None,353.59416023000045,None,['z'],[0.9272586999977648],353.58194730000105,None,None,355.5954672000007,None,z,0.9272586999977648,1,1,0.6551724137931034,357.9025909000011,None,None,357.9025909000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
29,0,29,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.678526077912375,2.09887870490381,None,359.7121240000015,None,361.8321254000002,None,361.8321254000002,None,361.8281024300009,None,['b'],[1.0845740000004298],361.8321254000002,None,None,363.8132289000023,None,b,1.0845740000004298,1,1,0.6666666666666666,366.49414310000066,None,None,366.49414310000066,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
30,0,30,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,3.26539063535182,3.1963008326951,None,368.29537490000075,None,371.49864060000255,None,371.49864060000255,None,371.5110751300013,None,['z'],[1.2984557999989192],371.49864060000255,None,None,373.51079740000205,None,z,1.2984557999989192,1,1,0.6774193548387096,376.7779674000012,None,None,376.7779674000012,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
31,0,31,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,4.61004669244928,1.25920145784721,None,378.5784108000007,None,379.8525019000008,None,379.8525019000008,None,379.86154944000083,None,None,,379.8525019000008,None,['z'],381.82741480000186,None,z,2.306866599999921,1,1,0.6875,386.4242161000002,None,None,386.4242161000002,None,[0.30686659999992116],,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
32,0,32,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,3.7500315165247198,1.21250262048173,None,388.2286974000017,None,389.4464341000021,None,389.4464341000021,None,389.4444345200012,None,['b'],[0.8345720999968762],389.4464341000021,None,None,391.46052939999936,None,b,0.8345720999968762,1,1,0.696969696969697,395.2177561000026,None,None,395.2177561000026,None,,,,,,,,,,,,,,,,,,,,,,CBC_1027,3,6,2,4,2,0.95,2023-07-21_17h56.54.977,MSI_AV_v3,2022.1.1,60.01158223623611,
