trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,21.857205899999826,None,t,69.26276839999991,21.857205899999826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
,,,,,,,,,,None,91.14818340000056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
0,0,0,0,,,,,,,,,,3,0,1,z,63,1,4.77034425507967,2.22427187882546,None,91.34708619999947,None,93.72003469999981,None,93.72003469999981,None,93.73218718000061,None,None,93.72003469999981,None,['b'],[0.539840199999162],95.56514809999862,None,b,2.539840199999162,0,0,0.0,100.345429099998,None,None,100.345429099998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
1,0,1,0,,,,,,,,,,2,2,3,z,63,1,2.82320408183943,2.10421507306074,None,102.14806359999784,None,104.28448959999878,None,104.28448959999878,None,104.29759975000161,None,None,104.28448959999878,None,['z'],[0.6273971000009624],106.24834610000107,None,z,2.6273971000009624,1,1,0.5,109.05607120000059,None,None,109.05607120000059,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
2,0,2,0,,,,,,,,,,3,1,3,b,27,1,4.190022164497369,1.27538462653558,None,110.86554840000099,None,112.15169270000115,None,112.15169270000115,None,112.14828776999893,None,['z'],112.15169270000115,None,None,,114.14642309999908,None,z,1.9212738999995054,0,0,0.3333333333333333,118.337313,None,None,118.337313,None,[1.9212738999995054],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
3,0,3,0,,,,,,,,,,1,3,2,z,63,1,4.7533305109883095,1.36309078069689,None,120.14807709999877,None,121.58945419999873,None,121.58945419999873,None,121.58202153999954,None,['z'],121.58945419999873,None,None,,123.53147579999859,None,z,1.8412391999991087,1,1,0.5,128.2882381999989,None,None,128.2882381999989,None,[1.8412391999991087],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
4,0,4,0,,,,,,,,,,1,2,0,b,27,1,3.6438386551209,3.4543169006169,None,130.09801249999873,None,133.5688463999977,None,133.5688463999977,None,133.5652679699986,None,['b'],133.5688463999977,None,None,,135.56506609999997,None,b,1.3957941999979084,1,1,0.6,139.22205899999972,None,None,139.22205899999972,None,[1.3957941999979084],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
5,0,5,0,,,,,,,,,,0,3,0,z,9,1,4.46924002178158,0.979776149765883,None,141.03155960000004,None,142.04418530000112,None,142.04418530000112,None,142.04891574999965,None,None,142.04418530000112,None,['z'],[0.7428806999996596],143.99842290000015,None,z,2.7428806999996596,1,1,0.6666666666666666,148.45295550000083,None,None,148.45295550000083,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
6,0,6,0,,,,,,,,,,1,3,2,z,63,1,2.629554641171433,1.78643585472448,None,150.26511359999859,None,152.0727994000008,None,152.0727994000008,None,152.08169566000143,None,['z'],152.0727994000008,None,None,,154.0674300999999,None,z,1.361251700000139,1,1,0.7142857142857143,156.70483319999767,None,None,156.70483319999767,None,[1.361251700000139],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
7,0,7,0,,,,,,,,,,0,0,1,b,63,1,2.517541937862754,1.38289892513751,None,158.51529780000055,None,159.92176649999965,None,159.92176649999965,None,159.9322775599998,None,None,159.92176649999965,None,['b'],[0.09805450000203564],161.89877609999894,None,b,2.0980545000020356,1,1,0.75,164.4091277999978,None,None,164.4091277999978,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
