trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,244.26449520000097,None,t,69.669931299999,244.26449520000097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
,,,,,,,,,,None,313.96210690000044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
0,0,0,0,,,,,,,,,,2,0,1,b,63,1,2.592312596923728,0.979776149765883,None,314.1622201000009,None,315.29935710000063,None,315.29935710000063,None,315.2960185999988,None,None,315.29935710000063,None,['z'],[0.50189169999976],317.14544150000074,None,z,2.50189169999976,0,0,0.0,319.74427020000076,None,None,319.74427020000076,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
1,0,1,0,,,,,,,,,,1,2,3,z,63,1,3.02234236141277,2.96653053743745,None,321.5451587999996,None,324.5806604999998,None,324.5806604999998,None,324.57930869999984,None,['b'],324.5806604999998,None,None,,326.5154999000006,None,b,1.775051299999177,0,0,0.0,329.53660690000106,None,None,329.53660690000106,None,[1.775051299999177],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
2,0,2,0,,,,,,,,,,3,0,2,z,27,1,2.433630701072358,1.90743690794447,None,331.3459211999998,None,333.2797260999996,None,333.2797260999996,None,333.27943180000005,None,['z'],333.2797260999996,None,None,,335.26190510000015,None,z,1.9076184999994439,1,1,0.3333333333333333,337.70231799999965,None,None,337.70231799999965,None,[1.9076184999994439],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
3,0,3,0,,,,,,,,,,2,0,1,b,63,1,3.26539063535182,2.40378712856304,None,339.5113293000013,None,341.9145879000007,None,341.9145879000007,None,341.9116114000001,None,None,341.9145879000007,None,"['b', 'z']","[0.2121809000000212, 0.7786068000004889]",343.91209060000074,None,b,2.212180900000021,1,1,0.5,347.1672696000005,None,None,347.1672696000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
4,0,4,0,,,,,,,,,,0,1,3,b,27,1,2.693348633324513,0.974903167432984,None,348.9789724000002,None,349.98197059999984,None,349.98197059999984,None,349.97907829999934,None,None,349.98197059999984,None,"['z', 'z', 'z']","[1.5662788999998156, 2.2443049999983486, 2.647181599999385]",351.94518590000007,None,z,3.5662788999998156,0,0,0.4,354.6222720000005,None,None,354.6222720000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
5,0,5,0,,,,,,,,,,3,3,2,z,63,1,3.76873691643126,3.24569326556923,None,356.429132700001,None,359.68181619999996,None,359.68181619999996,None,359.6944695,None,None,359.68181619999996,None,['z'],[0.11944999999832362],361.6622918000012,None,z,2.1194499999983236,1,1,0.5,365.4302383000013,None,None,365.4302383000013,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
6,0,6,0,,,,,,,,,,1,3,2,b,63,1,2.7134565917469198,1.64421109900286,None,367.22825120000016,None,368.9037569000011,None,368.9037569000011,None,368.9123064,None,None,368.9037569000011,None,['b'],[0.8190619999986666],370.87892570000076,None,b,2.8190619999986666,1,1,0.5714285714285714,373.5862680000009,None,None,373.5862680000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
7,0,7,0,,,,,,,,,,0,0,1,z,63,1,4.7533305109883095,2.10421507306074,None,375.3958254999998,None,377.5081299000012,None,377.5081299000012,None,377.5126297999994,None,None,377.5081299000012,None,"['b', 'z', 'z']","[0.2702036999999109, 1.8793261999999231, 2.712617600000158]",379.4957938000007,None,b,2.270203699999911,0,0,0.5,384.23390560000007,None,None,384.23390560000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
