trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,324.26286830000026,None,t,66.45097950000127,324.26286830000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
,,,,,,,,,,None,390.74506649999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
0,0,0,0,,,,,,,,,,0,3,1,z,27,1,4.77034425507967,1.95130344756745,None,390.94549069999994,None,392.8782953599992,392.8782953599992,392.8948375599983,b,['b'],1.1468566000003193,[1.1468566000003193],None,394.9237338999992,None,b,1.1468566000003193,0,0,0.0,None,399.7311450999987,None,399.7311450999987,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
1,0,1,0,,,,,,,,,,2,2,3,b,63,1,4.77723667052879,3.33124983260532,None,401.5115475999992,None,404.8282465599994,404.8282465599994,404.8448105600008,None,[],,,['b'],406.83395369999926,None,b,2.6462294999982987,1,1,0.5,None,411.60474039999826,None,411.60474039999826,None,[0.6462294999982987],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
2,0,2,0,,,,,,,,,,3,2,3,z,63,1,2.342239579230602,1.43470440954152,None,413.4115825999979,None,414.8279211599991,414.8279211599991,414.8445319600003,None,[],,,['b'],416.83205290000114,None,b,3.749905900000158,0,0,0.3333333333333333,None,419.17333080000026,"['z', 'z']",419.17333080000026,None,[1.749905900000158],"[0.8531973000026483, 1.5869851000024937]",,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
3,0,3,0,,,,,,,,,,0,1,0,b,63,1,2.91303524001082,3.1424449555106,None,420.9783677999985,None,424.1116821600015,424.1116821600015,424.12833676000156,None,[],,,['z'],426.1176885999994,None,z,2.641258400002698,0,0,0.25,None,429.0247382999987,None,429.0247382999987,None,[0.6412584000026982],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
4,0,4,0,,,,,,,,,,1,3,0,z,9,1,4.12485271162806,1.18065738546375,None,430.82845019999877,None,431.9951081599982,431.9951081599982,432.011583559998,None,[],,,['z'],434.00044870000056,None,z,2.5571006999998644,1,1,0.4,None,438.1117177999986,None,438.1117177999986,None,[0.5571006999998644],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
5,0,5,0,,,,,,,,,,3,2,3,z,63,1,4.11514536789087,0.974903167432984,None,439.91139869999824,None,440.86177835999916,440.86177835999916,440.878309059998,None,[],,,['b'],442.8678914000011,None,b,3.658196100001078,0,0,0.3333333333333333,None,446.9782383999991,None,446.9782383999991,None,[1.6581961000010779],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
6,0,6,0,,,,,,,,,,2,2,0,b,27,1,3.26539063535182,1.64421109900286,None,448.77816280000116,None,450.4115937600007,450.4115937600007,450.42844315999974,None,[],,,['z'],452.41830180000034,None,z,2.7278562000028614,0,0,0.2857142857142857,None,455.68104459999813,"['b', 'b']",455.68104459999813,None,[0.7278562000028614],"[0.29767370000263327, 1.4940290000013192]",,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
7,0,7,0,,,,,,,,,,1,1,0,z,63,1,2.433630701072358,1.21250262048173,None,457.4951942999978,None,458.6951183600002,458.6951183600002,458.711652660001,None,[],,,['b'],460.7015724999983,None,b,2.566710499999317,0,0,0.25,None,463.13137939999797,None,463.13137939999797,None,[0.5667104999993171],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
