trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,489.1722367000002,None,t,82.66248040000028,489.1722367000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
,,,,,,,,,,None,571.8525117000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
0,0,0,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,4.77034425507967,2.40378712856304,None,572.0526320999998,None,574.4360572300004,574.4360572300004,574.452089130001,None,[],['r'],[0.40363710000019637],576.4424873000007,None,r,2.4036371000001964,0,0,0.0,None,581.2109269000011,None,581.2109269000011,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
1,0,1,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,4.53337421950507,1.12425433982333,None,583.0193127000002,None,584.1192075299998,584.1192075299998,584.1361008300003,None,[],['b'],[0.8156252999997378],586.1283918000008,None,b,2.8156252999997378,1,1,0.5,None,590.6585637999997,None,590.6585637999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
2,0,2,0,,,,,,,,,,1,1.0,0.0,r,63.0,1.0,2.629554641171433,3.1424449555106,None,592.4690342000013,None,595.5855981300003,595.5855981300003,595.6018975300005,None,[],['b'],[0.9850476999999955],597.5892672000009,None,b,2.9850476999999955,0,0,0.3333333333333333,None,600.229559200001,None,600.229559200001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
3,0,3,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.496959177995529,0.979776149765883,None,602.0359386,None,603.0026688299997,603.0026688299997,603.0192553300014,None,[],['r'],[1.0184057999995275],605.0070248000011,None,r,3.0184057999995275,0,0,0.25,None,607.5002634000011,None,607.5002634000011,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
4,0,4,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,4.12485271162806,1.21250262048173,None,609.3028756000003,None,610.5024155300009,610.5024155300009,610.51912543,None,[],['r'],[0.4333758000011585],612.5085921999998,None,r,2.4333758000011585,0,0,0.2,None,616.6270686999997,None,616.6270686999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
5,0,5,0,,,,,,,,,,2,2.0,3.0,r,63.0,1.0,3.31929419319838,2.96653053743745,None,618.4353097000003,None,621.3860160300003,621.3860160300003,621.402622230001,None,[],['b'],[0.6018206999997346],623.3900633000012,None,b,2.6018206999997346,0,0,0.16666666666666666,None,626.6937240000007,None,626.6937240000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
6,0,6,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,4.40017271499661,3.4543169006169,None,628.5021957999998,None,631.935753930001,631.935753930001,631.9524412300009,None,[],['b'],[0.9712232999991102],633.9411758000006,None,b,2.97122329999911,1,1,0.2857142857142857,None,638.3321033000011,None,638.3321033000011,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
7,0,7,0,,,,,,,,,,0,3.0,1.0,r,27.0,1.0,3.76873691643126,2.15533949826702,None,640.1360530000002,None,642.2691620300004,642.2691620300004,642.2857629300008,None,[],['r'],[1.8314245999990817],644.268417700001,None,r,3.8314245999990817,1,1,0.375,None,648.0417599000011,None,648.0417599000011,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
