trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,352.1023577999995,None,t,74.27686469999935,352.1023577999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
,,,,,,,,,,None,426.40081949999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
0,0,0,0,,,,,,,,,,2,1,0,r,63,1,2.629554641171433,1.43470440954152,None,426.60066039999947,None,428.22359359999973,None,428.22359359999973,None,428.2318023200001,None,['r'],[1.3862975000001825],428.22359359999973,None,None,430.03614819999984,None,r,1.3862975000001825,1,1,1.0,432.65644989999964,None,None,432.65644989999964,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
1,0,1,0,,,,,,,,,,3,3,2,b,63,1,3.26539063535182,3.1963008326951,None,434.4505541999997,None,437.6899612999996,None,437.6899612999996,None,437.6987310499999,None,None,,437.6899612999996,None,None,439.6338224000001,None,[],[],0,3,0.5,442.9082467999997,None,None,442.9082467999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
2,0,2,0,,,,,,,,,,0,2,0,b,27,1,4.52047235037039,2.78346932462847,None,444.68391410000004,None,447.50353559999985,None,447.50353559999985,None,447.4999097200003,None,None,,447.50353559999985,None,['b'],449.4670679000001,None,b,2.40168790000007,1,1,0.6666666666666666,453.98388499999965,None,None,453.98388499999965,None,[0.40168790000006993],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
3,0,3,0,,,,,,,,,,2,1,0,r,63,1,2.496959177995529,1.21250262048173,None,455.79960609999944,None,457.0243782999996,None,457.0243782999996,None,457.0337693199995,None,['b'],[1.633770800000093],457.0243782999996,None,None,459.0150072999995,None,b,1.633770800000093,0,0,0.5,461.5240702000001,None,None,461.5240702000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
4,0,4,0,,,,,,,,,,1,3,1,r,27,1,3.02234236141277,2.10421507306074,None,463.3325493000002,None,465.47314899999947,None,465.47314899999947,None,465.4835764500003,None,None,,465.47314899999947,None,['r'],467.43377559999954,None,r,2.2341831000003367,1,1,0.6,470.4469653999995,None,None,470.4469653999995,None,[0.2341831000003367],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
5,0,5,0,,,,,,,,,,0,2,3,b,63,1,3.6438386551209,2.96653053743745,None,472.2501021999997,None,475.2392546000001,None,475.2392546000001,None,475.24978442000025,None,None,,475.2392546000001,None,['r'],477.21699290000015,None,r,2.401376600000731,0,0,0.5,480.85326819999955,None,None,480.85326819999955,None,[0.40137660000073083],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
6,0,6,0,,,,,,,,,,3,2,3,r,63,1,3.7500315165247198,0.80788063606262,None,482.66716629999974,None,483.48858969999947,None,483.48858969999947,None,483.4999774200001,None,None,,483.48858969999947,None,['r'],485.4667234999997,None,r,2.3813323000003948,1,1,0.5714285714285714,489.2053863000001,None,None,489.2053863000001,None,[0.38133230000039475],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
7,0,7,0,,,,,,,,,,1,1,0,b,63,1,3.31929419319838,1.52290599571961,None,491.0168785999995,None,492.55477809999957,None,492.55477809999957,None,492.56643672000024,None,None,,492.55477809999957,None,['b'],494.5336765000002,None,b,3.2803296000001865,1,1,0.625,497.84938069999953,None,None,497.84938069999953,None,[1.2803296000001865],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
