trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,25.380665900000167,None,t,48.949347699999635,25.380665900000167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
,,,,,,,,,,None,74.35362619999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
0,0,0,0,,,,,,,,,,2,1,3,b,27,1,4.11514536789087,0.761758675042088,None,74.55352440000024,None,75.48191320000024,None,75.48191320000024,None,75.48674736000011,None,None,75.48191320000024,None,['b'],[0.10062849999940227],77.30389090000062,None,b,2.1006284999994023,1,1,1.0,81.42225299999973,None,None,81.42225299999973,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
1,0,1,0,,,,,,,,,,1,3,2,z,63,1,2.82320408183943,2.6299100644723,None,83.22000879999996,None,85.91296020000027,None,85.91296020000027,None,85.91968711999998,None,None,85.91296020000027,None,['z'],[0.2179891999994652],87.85365430000002,None,z,2.217989199999465,1,1,1.0,90.67468240000017,None,None,90.67468240000017,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
2,0,2,0,,,,,,,,,,0,3,2,b,63,1,2.91303524001082,1.1243895841892,None,92.48689240000022,None,93.65074480000021,None,93.65074480000021,None,93.65369689999989,None,None,93.65074480000021,None,['z'],[0.4893047999994451],95.60387450000053,None,z,2.489304799999445,0,0,0.6666666666666666,98.51209730000028,None,None,98.51209730000028,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
3,0,3,0,,,,,,,,,,2,0,1,z,63,1,3.2062024266105302,2.78346932462847,None,100.32052399999975,None,103.1475730000002,None,103.1475730000002,None,103.15342070000042,None,None,103.1475730000002,None,['b'],[0.8616218999995908],105.10383590000038,None,b,2.861621899999591,0,0,0.5,108.30548429999999,None,None,108.30548429999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
4,0,4,0,,,,,,,,,,3,0,3,b,9,1,2.433630701072358,1.25817747924478,None,110.12071370000012,None,111.40769660000024,None,111.40769660000024,None,111.40353028000045,None,None,111.40769660000024,None,['b'],[0.3606043999998292],113.37011410000014,None,b,2.360604399999829,1,1,0.6,115.78725480000048,None,None,115.78725480000048,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
5,0,5,0,,,,,,,,,,0,3,2,b,63,1,4.61004669244928,1.95130344756745,None,117.58712389999982,None,119.53986820000046,None,119.53986820000046,None,119.53597873999988,None,None,119.53986820000046,None,['b'],[0.1417764999987412],121.51993130000028,None,b,2.141776499998741,1,1,0.6666666666666666,126.12679010000011,None,None,126.12679010000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
6,0,6,0,,,,,,,,,,1,0,2,z,27,1,3.7500315165247198,3.1424449555106,None,127.93680889999996,None,131.09290909999982,None,131.09290909999982,None,131.10367598000013,None,['z'],131.09290909999982,None,None,,133.08697110000048,None,z,1.4913120999990497,1,1,0.7142857142857143,136.8446058999998,None,None,136.8446058999998,None,[1.4913120999990497],,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
7,0,7,0,,,,,,,,,,3,0,1,b,63,1,2.2759877950103027,1.18065738546375,None,138.6538956000004,None,139.85134910000033,None,139.85134910000033,None,139.85354576000046,None,None,139.85134910000033,None,['z'],[0.442687400000068],141.83686820000003,None,z,2.442687400000068,0,0,0.625,144.09749310000007,None,None,144.09749310000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1142,2,4,2,1,23,0.95,2024-11-06_15h03.57.589,MSI_AV_v3,2022.1.1,60.005568516700635,
