trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,367.1209457,None,t,80.27451060000021,367.1209457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
,,,,,,,,,,None,447.4137209999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
0,0,0,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.68371079902891,0.80788063606262,None,447.6138403,None,448.3973645899998,448.3973645899998,448.41396628999996,None,[],['b'],[0.23561599999993632],450.40258989999984,None,b,2.2356159999999363,0,0,0.0,None,454.13345759999993,None,454.13345759999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.6438386551209,0.979776149765883,None,455.8969240000001,None,456.86409269,456.86409269,456.8805517899998,None,[],['b'],[0.731392500000311],458.86882160000005,None,b,2.731392500000311,1,1,0.5,None,462.5478124000001,None,462.5478124000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
2,0,2,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.53337421950507,1.18065738546375,None,464.33067329999994,None,465.4969904899997,465.4969904899997,465.5135577899998,None,[],['b'],[0.5096838999997999],467.5027345999997,None,b,2.5096838999998,0,0,0.3333333333333333,None,472.02980309999975,None,472.02980309999975,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
3,0,3,0,,,,,,,,,,1,2.0,1.0,z,9.0,1.0,4.46924002178158,0.77703640172831,None,473.83056769999985,None,474.58039658999974,474.58039658999974,474.59693429000004,None,[],['z'],[0.6356172999999217],476.5828246000001,None,z,2.6356172999999217,1,1,0.5,None,481.0517909,None,481.0517909,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
4,0,4,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.61004669244928,1.64421109900286,None,482.86373379999986,None,484.4969818899997,484.4969818899997,484.51354599,None,[],['b'],[0.8940937999996095],486.50170530000014,None,b,2.8940937999996095,1,1,0.6,None,491.1097285000001,None,491.1097285000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
5,0,5,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.12485271162806,3.24569326556923,None,492.91382939999994,None,496.14747599,496.14747599,496.1637360899997,None,[],['z'],[0.014770099999623199],498.15206769999986,None,z,2.014770099999623,0,0,0.5,None,502.2883558999997,None,502.2883558999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
6,0,6,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,2.592312596923728,3.40155979865722,None,504.0973475999999,None,507.4799907899999,507.4799907899999,507.4969824899997,b,['b'],None,,509.52660620000006,None,b,1.9872067999999672,0,0,0.42857142857142855,None,512.1250058,None,512.1250058,None,1.9872067999999672,[1.9872067999999672],,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
7,0,7,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,4.52047235037039,1.95130344756745,None,513.9308467000001,None,515.8643247899997,515.8643247899997,515.8806663899998,None,[],['z'],[0.52609080000002],517.8680958,None,z,2.52609080000002,1,1,0.5,None,522.3924401999998,None,522.3924401999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
