ID;EPIfilename;run;logfile;session;modality;stimType;version
CBC_1001;mr5225_cbc_1001_20230608_114505_3_1_epi_msi_av_44slices_v3.nii;20230608_114505_3_1;CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv;1;av;env;v3
CBC_1001;mr5225_cbc_1001_20230608_120017_5_1_epi_msi_tv_44slices_v3.nii;20230608_120017_5_1;CBC_1001_MSI_TV_v3_Vset1_Tset1_2023-06-08_11h53.34.814.csv;2;tv;vib;v3
CBC_1001;mr5225_cbc_1001_20230608_125148_10_1_epi_msi_av_44slices_v3.nii;20230608_125148_10_1;CBC_1001_MSI_AV_v3_Vset6_Aset1_2023-06-08_12h45.15.645.csv;3;av;env;v3
CBC_1001;mr5225_cbc_1001_20230608_130008_11_1_epi_msi_tv_44slices_v3.nii;20230608_130008_11_1;CBC_1001_MSI_TV_v3_Vset3_Tset2_2023-06-08_12h53.37.433.csv;4;tv;vib;v3
CBC_1002;mr5215_cbc_1002_20230531_162026_3_1_epi_msi_tv_44slices_v3.nii;20230531_162026_3_1;CBC_1002_MSI_TV_v3_Vset1_Tset3_2023-05-31_16h13.57.205.csv;1;tv;vib;v3
CBC_1002;mr5215_cbc_1002_20230531_162831_4_1_epi_msi_av_44slices_v3.nii;20230531_162831_4_1;CBC_1002_MSI_AV_v3_Vset4_Aset2_2023-05-31_16h22.12.197.csv;2;av;env;v3
CBC_1002;mr5215_cbc_1002_20230531_171903_9_1_epi_msi_tv_44slices_v3.nii;20230531_171903_9_1;CBC_1002_MSI_TV_v3_Vset6_Tset1_2023-05-31_17h12.40.954.csv;3;tv;vib;v3
CBC_1002;mr5215_cbc_1002_20230531_172705_10_1_epi_msi_av_44slices_v3.nii;20230531_172705_10_1;CBC_1002_MSI_AV_v3_Vset3_Aset1_2023-05-31_17h20.54.856.csv;4;av;env;v3
CBC_1003;mr5231_cbc_1003_20230614_150255_3_1_epi_msi_av_44slices_v3.nii;20230614_150255_3_1;CBC_1003_MSI_AV_v3_Vset4_Aset3_2023-06-14_14h56.33.053.csv;1;av;env;v3
CBC_1003;mr5231_cbc_1003_20230614_152034_6_1_epi_msi_tv_44slices_v3.nii;20230614_152034_6_1;CBC_1003_MSI_TV_v3_Vset2_Tset1_2023-06-14_15h14.11.996.csv;2;tv;vib;v3
