trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,get_keys_7.rt,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,285.4967527999979,None,285.4967527999979,None,z,1.64071469999908,285.69033109999873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
,,,,,,,,,,,,287.3569692000019,None,t,63.218469400002505,287.3569692000019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
0,0,0,0,,,,,,,,,,,,,,,350.6062090999985,None,350.6062090999985,None,350.6062090999985,None,2,1,1,1,0.5,2.27860294189526,1.53162701008885,351.6107359000016,None,351.6107359000016,None,351.6107359000016,None,353.1559797900001,None,[],355.34434509999846,None,355.34434509999846,None,355.34434509999846,None,z,0.9927306999961729,355.34434509999846,None,None,355.34434509999846,None,z,2.992730699996173,1,1,1.0,357.6891478999969,None,357.6891478999969,None,357.6891478999969,None,None,357.6891478999969,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.0845750455934002,2.49579389304826,359.75072080000245,None,359.75072080000245,None,359.75072080000245,None,362.257071590003,None,[],364.3120282000018,None,364.3120282000018,None,364.3120282000018,None,None,,364.3120282000018,None,['b'],364.3120282000018,None,[],[],0,3,0.5,366.4413123999984,None,366.4413123999984,None,366.4413123999984,None,['b'],366.4413123999984,None,[1.012109600000258],[0.8689745999945444],,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,3.50182449656669,2.10833202116216,368.5127313999983,None,368.5127313999983,None,368.5127313999983,None,370.623803589998,None,[],372.6776813999968,None,372.6776813999968,None,372.6776813999968,None,b,1.132941199997731,372.6776813999968,None,None,372.6776813999968,None,b,3.132941199997731,1,1,0.6666666666666666,376.19951469999796,None,376.19951469999796,None,376.19951469999796,None,None,376.19951469999796,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,4.30975216432768,2.64870493261766,378.3080353999976,None,378.3080353999976,None,378.3080353999976,None,380.95673898999956,None,[],383.0129526000019,None,383.0129526000019,None,383.0129526000019,None,z,0.45535669999662787,383.0129526000019,None,None,383.0129526000019,None,z,2.455356699996628,0,0,0.5,387.35965320000105,None,387.35965320000105,None,387.35965320000105,None,None,387.35965320000105,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,1.758742575863891,2.40738395932908,389.42001499999606,None,389.42001499999606,None,389.42001499999606,None,391.8394184899982,None,[],393.888967699997,None,393.888967699997,None,393.888967699997,None,b,0.5179657999979099,393.888967699997,None,None,393.888967699997,None,b,2.51796579999791,1,0,0.6,395.6901824000015,None,395.6901824000015,None,395.6901824000015,None,None,395.6901824000015,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,1.556335756354144,2.12802719374523,397.782564000001,None,397.782564000001,None,397.782564000001,None,399.92386579000157,None,[],401.978987399998,None,401.978987399998,None,401.978987399998,None,None,,401.978987399998,None,None,401.978987399998,None,[],[],0,3,0.5,403.5722725000014,None,403.5722725000014,None,403.5722725000014,None,['b'],403.5722725000014,None,,[0.1706311000016285],,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.595506577165096,2.07121332922762,405.6725762999995,None,405.6725762999995,None,405.6725762999995,None,407.75718529000295,None,[],409.8062651,None,409.8062651,None,409.8062651,None,z,0.1577980999936699,409.8062651,None,None,409.8062651,None,z,2.15779809999367,1,1,0.5714285714285714,411.4402878999972,None,411.4402878999972,None,411.4402878999972,None,None,411.4402878999972,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.0784833561945097,3.26446861731854,413.5302628999998,None,413.5302628999998,None,413.5302628999998,None,416.8071809900022,None,[],418.8634241999971,None,418.8634241999971,None,418.8634241999971,None,b,0.40315840000403114,418.8634241999971,None,None,418.8634241999971,None,b,2.403158400004031,0,0,0.5,420.9941805999988,None,420.9941805999988,None,420.9941805999988,None,None,420.9941805999988,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
