trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,response2.rt,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,24.85696090000056,None,24.85696090000056,None,z,2.036124899997958,25.057147100000293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
,,,,,,,,,,,,27.125377199998184,None,t,72.12849650000135,27.125377199998184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
0,0,0,0,,,,,,,,,,,,,,,99.27541079999719,None,99.27541079999719,None,99.27541079999719,None,0,2,1,1,0.5,1.905730910449904,2.64870493261766,100.32092120000016,None,100.32092120000016,None,100.32092120000016,None,102.97556036999958,None,[],105.3701559000001,None,105.3701559000001,None,105.3701559000001,None,None,105.3701559000001,None,None,105.3701559000001,None,[],[],0,3,0.0,107.35806840000078,None,107.35806840000078,None,107.35806840000078,None,None,107.35806840000078,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.95666246474662,3.27666037293199,109.4725400999996,None,109.4725400999996,None,109.4725400999996,None,112.75893546999941,z,['z'],114.81665900000007,None,114.81665900000007,None,114.81665900000007,None,None,114.81665900000007,None,None,114.81665900000007,None,z,1.598181500001374,0,0,0.0,118.80393849999746,None,118.80393849999746,None,118.80393849999746,None,None,118.80393849999746,None,1.598181500001374,[1.598181500001374],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,1.8749846827473111,1.08099245958022,120.89109269999972,None,120.89109269999972,None,120.89109269999972,None,121.97544946999915,None,[],124.02457969999887,None,124.02457969999887,None,124.02457969999887,None,z,124.02457969999887,None,None,124.02457969999887,None,z,2.055339099999401,0,1,0.0,125.97517479999806,None,125.97517479999806,None,125.97517479999806,None,None,125.97517479999806,None,,,0.05533909999940079,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.899747326335302,2.5736109380813,128.04773099999875,None,128.04773099999875,None,128.04773099999875,None,130.62536886999806,z,['z'],132.6810865999978,None,132.6810865999978,None,132.6810865999978,None,None,132.6810865999978,None,None,132.6810865999978,None,z,1.5601940999986255,1,1,0.25,134.59556299999895,None,134.59556299999895,None,134.59556299999895,None,None,134.59556299999895,None,1.5601940999986255,[1.5601940999986255],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.94912276105146,1.91520730139263,136.70665299999746,None,136.70665299999746,None,136.70665299999746,None,138.6253892700006,None,[],140.68495079999775,None,140.68495079999775,None,140.68495079999775,None,b,140.68495079999775,None,None,140.68495079999775,None,b,2.4769258000014815,0,0,0.2,143.6757839999991,None,143.6757839999991,None,143.6757839999991,None,None,143.6757839999991,None,,,0.47692580000148155,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.671897605000652,1.37809841776001,145.75833959999727,None,145.75833959999727,None,145.75833959999727,None,147.14145836999887,None,[],149.18847760000062,None,149.18847760000062,None,149.18847760000062,None,z,149.18847760000062,None,None,149.18847760000062,None,z,2.1144553999984055,0,0,0.16666666666666666,150.90661120000004,None,150.90661120000004,None,150.90661120000004,None,None,150.90661120000004,None,,,0.11445539999840548,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.23248806235745,1.75396267962373,152.98769159999938,None,152.98769159999938,None,152.98769159999938,None,154.74134937000053,None,[],156.78944290000072,None,156.78944290000072,None,156.78944290000072,None,b,156.78944290000072,None,None,156.78944290000072,None,b,2.7126192999967316,1,1,0.2857142857142857,159.0596215000005,None,159.0596215000005,None,159.0596215000005,None,None,159.0596215000005,None,,,0.7126192999967316,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.62250581484608,2.78012240036799,161.14482329999737,None,161.14482329999737,None,161.14482329999737,None,163.92585786999916,b,['b'],165.98184889999902,None,165.98184889999902,None,165.98184889999902,None,None,165.98184889999902,None,None,165.98184889999902,None,b,2.0385473999995156,0,0,0.25,169.64606300000014,None,169.64606300000014,None,169.64606300000014,None,None,169.64606300000014,None,2.0385473999995156,[2.0385473999995156],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
