trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,28.419104399999924,None,28.419104399999924,None,z,1.31375879999905,28.616750500001217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
,,,,,,,,,,,,29.94995740000013,None,t,61.89923539999654,29.94995740000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
0,0,0,0,,,,,,,,,,,,,,,91.86667470000248,None,91.86667470000248,None,91.86667470000248,None,2,1,1,1,0.5,4.21669271035117,2.96222466864387,92.88680799999929,None,92.88680799999929,None,92.88680799999929,None,95.84883367000184,b,['b'],1.8260303999995813,[1.8260303999995813],98.02868490000037,None,98.02868490000037,None,98.02868490000037,None,None,98.02868490000037,None,None,98.02868490000037,None,b,1.8260303999995813,1,1,1.0,102.31873500000074,None,102.31873500000074,None,102.31873500000074,None,None,102.31873500000074,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,3.62250581484608,2.23299083390853,104.43325689999983,None,104.43325689999983,None,104.43325689999983,None,106.66679946999902,b,['b'],1.2475226999995357,[1.2475226999995357],108.71857720000116,None,108.71857720000116,None,108.71857720000116,None,None,108.71857720000116,None,None,108.71857720000116,None,b,1.2475226999995357,1,1,1.0,112.38736340000105,None,112.38736340000105,None,112.38736340000105,None,None,112.38736340000105,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,2.94912276105146,1.44889042899439,114.49088699999993,None,114.49088699999993,None,114.49088699999993,None,115.95032276999954,b,['b'],1.036543199999869,[1.036543199999869],118.00644770000144,None,118.00644770000144,None,118.00644770000144,None,None,118.00644770000144,None,None,118.00644770000144,None,b,1.036543199999869,0,0,0.6666666666666666,121.00134560000151,None,121.00134560000151,None,121.00134560000151,None,None,121.00134560000151,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.2199655720291709,1.91520730139263,123.09433880000142,None,123.09433880000142,None,123.09433880000142,None,125.0168506700018,None,[],,,127.07325929999934,None,127.07325929999934,None,127.07325929999934,None,z,127.07325929999934,None,None,127.07325929999934,None,z,2.208760000001348,1,1,0.75,128.336328100002,None,128.336328100002,None,128.336328100002,None,None,128.336328100002,None,0.2087600000013481,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.39750191607,2.50277407648956,130.41710489999969,None,130.41710489999969,None,130.41710489999969,None,132.93337866999974,b,['b'],0.6558147999967332,[0.6558147999967332],134.99017860000095,None,134.99017860000095,None,134.99017860000095,None,None,134.99017860000095,None,None,134.99017860000095,None,b,0.6558147999967332,0,0,0.6,137.43521709999914,None,137.43521709999914,None,137.43521709999914,None,None,137.43521709999914,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.905730910449904,0.977134614530179,139.49330150000242,None,139.49330150000242,None,139.49330150000242,None,140.48383987000017,z,['z'],1.2627466000012646,[1.2627466000012646],142.53974980000203,None,142.53974980000203,None,142.53974980000203,None,None,142.53974980000203,None,None,142.53974980000203,None,z,1.2627466000012646,1,1,0.6666666666666666,144.4562850000002,None,144.4562850000002,None,144.4562850000002,None,None,144.4562850000002,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.6105816849230599,1.88377296598415,146.56901710000238,None,146.56901710000238,None,146.56901710000238,None,148.46710907000198,b,['b'],1.3661224000024959,[1.3661224000024959],150.5243558000002,None,150.5243558000002,None,150.5243558000002,None,None,150.5243558000002,None,None,150.5243558000002,None,b,1.3661224000024959,1,1,0.7142857142857143,152.15560280000136,None,152.15560280000136,None,152.15560280000136,None,None,152.15560280000136,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,2.91771467486041,2.5736109380813,154.2708018000012,None,154.2708018000012,None,154.2708018000012,None,156.85024656999923,None,[],,,158.90980499999932,None,158.90980499999932,None,158.90980499999932,None,b,158.90980499999932,None,None,158.90980499999932,None,b,2.025564999999915,1,0,0.75,161.87101579999944,None,161.87101579999944,None,161.87101579999944,None,None,161.87101579999944,None,0.025564999999915017,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
