trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,47.42164690000209,None,47.42164690000209,None,b,4.045470799999748,47.60521950000111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
,,,,,,,,,,,,51.671790899999905,None,t,63.83934469999804,51.671790899999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
0,0,0,0,,,,,,,,,,,,,,,115.53851930000019,None,115.53851930000019,None,115.53851930000019,None,1,0,0,1,0.15,2.0889201672230797,2.07121332922762,116.56396030000178,None,116.56396030000178,None,116.56396030000178,None,118.63891027000246,None,[],121.0269343,None,121.0269343,None,121.0269343,None,b,0.8622297999972943,121.0269343,None,None,121.0269343,None,b,2.8622297999972943,0,0,0.0,123.18474530000094,None,123.18474530000094,None,123.18474530000094,None,None,123.18474530000094,None,,,,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.6105816849230599,1.88377296598415,125.28646389999994,None,125.28646389999994,None,125.28646389999994,None,127.17219937000228,z,['z'],129.22763390000182,None,129.22763390000182,None,129.22763390000182,None,None,,129.22763390000182,None,None,129.22763390000182,None,z,1.0954103999974905,0,0,0.0,130.87096240000028,None,130.87096240000028,None,130.87096240000028,None,None,130.87096240000028,None,1.0954103999974905,[1.0954103999974905],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.887650177272661,0.977134614530179,132.97654709999915,None,132.97654709999915,None,132.97654709999915,None,133.95525406999985,None,[],136.00819090000005,None,136.00819090000005,None,136.00819090000005,None,z,0.24439069999789353,136.00819090000005,None,None,136.00819090000005,None,z,2.2443906999978935,0,0,0.0,137.93809310000142,None,137.93809310000142,None,137.93809310000142,None,None,137.93809310000142,None,,,,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,4.19624908154748,2.23439856631263,140.02812070000073,None,140.02812070000073,None,140.02812070000073,None,142.27210107000172,None,[],144.326503100001,None,144.326503100001,None,144.326503100001,None,b,0.31136659999901894,144.326503100001,None,None,144.326503100001,None,b,2.311366599999019,0,0,0.0,148.55704400000104,None,148.55704400000104,None,148.55704400000104,None,None,148.55704400000104,None,,,,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0.35,2.94912276105146,1.41191114387976,150.64045980000083,None,150.64045980000083,None,150.64045980000083,None,152.0552512699989,None,[],154.11134759999914,None,154.11134759999914,None,154.11134759999914,None,z,0.366702899998927,154.11134759999914,None,None,154.11134759999914,None,z,2.366702899998927,1,0,0.2,157.106351800001,None,157.106351800001,None,157.106351800001,None,None,157.106351800001,None,,,,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,4.30975216432768,0.789129602716002,159.1928294999998,None,159.1928294999998,None,159.1928294999998,None,159.9887173700019,z,['z'],162.04552089999925,None,162.04552089999925,None,162.04552089999925,None,None,,162.04552089999925,None,None,162.04552089999925,None,z,1.760219199997664,0,0,0.16666666666666666,166.39018790000046,None,166.39018790000046,None,166.39018790000046,None,None,166.39018790000046,None,1.760219199997664,[1.760219199997664],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.04482772403364,3.26446861731854,168.47494410000218,None,168.47494410000218,None,168.47494410000218,None,171.75520797000098,None,[],173.81029720000151,None,173.81029720000151,None,173.81029720000151,None,b,0.2937672999978531,173.81029720000151,None,None,173.81029720000151,None,b,2.293767299997853,1,1,0.2857142857142857,176.9100170999991,None,176.9100170999991,None,176.9100170999991,None,None,176.9100170999991,None,,,,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,2.27860294189526,1.08099245958022,178.97197170000072,None,178.97197170000072,None,178.97197170000072,None,180.0555861700024,z,['z'],182.11202269999922,None,182.11202269999922,None,182.11202269999922,None,None,,182.11202269999922,None,None,182.11202269999922,None,z,0.9657610999965982,1,0,0.375,184.43998900000224,None,184.43998900000224,None,184.43998900000224,None,None,184.43998900000224,None,0.9657610999965982,[0.9657610999965982],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
