trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,32.689936700000544,None,32.689936700000544,None,b,1.1896889999998166,32.88875000000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
,,,,,,,,,,,,34.10692889999973,None,t,58.69941809999909,34.10692889999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
0,0,0,0,,,,,,,,,,,,,,,92.82380269999976,None,92.82380269999976,None,92.82380269999976,None,0,2,1,0,0.5,1.326293484834196,2.07121332922762,93.84738329999982,None,93.84738329999982,None,93.84738329999982,None,95.92379291000051,95.94045850999973,None,[],97.92778910000015,None,97.92778910000015,None,97.92778910000015,None,z,0.7568939999991926,97.92778910000015,None,None,97.92778910000015,None,z,2.7568939999991926,1,0,1.0,99.3170768,None,99.3170768,None,99.3170768,None,None,99.3170768,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.27860294189526,3.27666037293199,101.44590609999977,None,101.44590609999977,None,101.44590609999977,None,104.7239632100005,104.74068270999996,None,[],106.72863010000037,None,106.72863010000037,None,106.72863010000037,None,z,0.6501692999991064,106.72863010000037,None,None,106.72863010000037,None,z,2.6501692999991064,0,0,0.5,109.04407809999975,None,109.04407809999975,None,109.04407809999975,None,None,109.04407809999975,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.23248806235745,1.44889042899439,111.12635580000006,None,111.12635580000006,None,111.12635580000006,None,112.59084661000051,112.60750641000013,None,[],114.59671440000056,None,114.59671440000056,None,114.59671440000056,None,z,1.3311848999992435,114.59671440000056,None,None,114.59671440000056,None,z,3.3311848999992435,0,0,0.3333333333333333,116.87306809999973,None,116.87306809999973,None,116.87306809999973,None,None,116.87306809999973,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,4.1766095715889495,2.23439856631263,118.9418513999999,None,118.9418513999999,None,118.9418513999999,None,121.18980470999995,121.20628500999973,None,[],123.18848460000027,None,123.18848460000027,None,123.18848460000027,None,z,0.3875188000001799,123.18848460000027,None,None,123.18848460000027,None,z,2.38751880000018,1,1,0.5,127.41344519999984,None,127.41344519999984,None,127.41344519999984,None,None,127.41344519999984,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,3.27810873521582,2.7570014520733,129.49920240000029,None,129.49920240000029,None,129.49920240000029,None,132.25757090999977,132.2741285099997,None,[],134.26329280000027,None,134.26329280000027,None,134.26329280000027,None,z,0.6315426999999545,134.26329280000027,None,None,134.26329280000027,None,z,2.6315426999999545,1,0,0.6,137.57602430000043,None,137.57602430000043,None,137.57602430000043,None,None,137.57602430000043,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.35,2.67601812978374,2.68488128149974,139.64520809999976,None,139.64520809999976,None,139.64520809999976,None,142.34059171000044,142.35724031000026,None,[],144.3393299999998,None,144.3393299999998,None,144.3393299999998,None,b,0.5596284999992349,144.3393299999998,None,None,144.3393299999998,None,b,2.559628499999235,1,0,0.6666666666666666,147.03391370000008,None,147.03391370000008,None,147.03391370000008,None,None,147.03391370000008,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.2199655720291709,1.31360018091897,149.14085580000028,None,149.14085580000028,None,149.14085580000028,None,150.45772730999997,150.47399451000055,None,[],152.46271789999992,None,152.46271789999992,None,152.46271789999992,None,z,1.0292669000000387,152.46271789999992,None,None,152.46271789999992,None,z,3.0292669000000387,0,0,0.5714285714285714,153.72400430000016,None,153.72400430000016,None,153.72400430000016,None,None,153.72400430000016,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.595506577165096,3.32142038400957,155.80849880000005,None,155.80849880000005,None,155.80849880000005,None,159.14071251000004,159.15769511000016,None,[],161.14712169999984,None,161.14712169999984,None,161.14712169999984,None,z,0.6518260000002556,161.14712169999984,None,None,161.14712169999984,None,z,2.6518260000002556,1,1,0.625,162.79233750000003,None,162.79233750000003,None,162.79233750000003,None,None,162.79233750000003,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.0845750455934002,2.50277407648956,164.8486965000002,None,164.8486965000002,None,164.8486965000002,None,167.35628121000045,167.37307820999976,None,[],169.3550595000006,None,169.3550595000006,None,169.3550595000006,None,z,0.9193248999999923,169.3550595000006,None,None,169.3550595000006,None,z,2.9193248999999923,1,1,0.6666666666666666,171.4743339000006,None,171.4743339000006,None,171.4743339000006,None,None,171.4743339000006,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.899747326335302,0.971483558655564,173.56510210000033,None,173.56510210000033,None,173.56510210000033,None,174.5410804099998,174.5577454099999,None,[],176.54824929999995,None,176.54824929999995,None,176.54824929999995,None,b,0.4848420999996961,176.54824929999995,None,None,176.54824929999995,None,b,2.484842099999696,1,1,0.7,178.4904636000001,None,178.4904636000001,None,178.4904636000001,None,None,178.4904636000001,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,1.6105816849230599,1.14263865585167,180.57645969999976,None,180.57645969999976,None,180.57645969999976,None,181.72446180999995,181.7410465099998,None,[],183.72979120000036,None,183.72979120000036,None,183.72979120000036,None,z,0.4166010999997525,183.72979120000036,None,None,183.72979120000036,None,z,2.4166010999997525,1,0,0.7272727272727273,185.34526240000014,None,185.34526240000014,None,185.34526240000014,None,None,185.34526240000014,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.2089046382315303,3.26446861731854,187.46224189999975,None,187.46224189999975,None,187.46224189999975,None,190.74094940999984,190.75777471,None,[],192.7405300999999,None,192.7405300999999,None,192.7405300999999,None,z,0.4854769999992641,192.7405300999999,None,None,192.7405300999999,None,z,2.485476999999264,1,1,0.75,194.99513260000003,None,194.99513260000003,None,194.99513260000003,None,None,194.99513260000003,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.15,1.543156518078604,1.08099245958022,197.07380230000035,None,197.07380230000035,None,197.07380230000035,None,198.15666241000017,198.17344570999975,None,[],200.15629489999992,None,200.15629489999992,None,200.15629489999992,None,b,0.9456945000001724,200.15629489999992,None,None,200.15629489999992,None,b,2.9456945000001724,1,0,0.7692307692307693,201.74382490000062,None,201.74382490000062,None,201.74382490000062,None,None,201.74382490000062,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,4.19624908154748,2.23299083390853,203.8361633000004,None,203.8361633000004,None,203.8361633000004,None,206.07418411000035,206.09110531000042,None,[],208.07434120000016,None,208.07434120000016,None,208.07434120000016,None,b,1.474611399999958,208.07434120000016,None,None,208.07434120000016,None,b,3.474611399999958,1,1,0.7857142857142857,212.31064909999986,None,212.31064909999986,None,212.31064909999986,None,None,212.31064909999986,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,4.21669271035117,1.91520730139263,214.3952065000003,None,214.3952065000003,None,214.3952065000003,None,216.32452501000043,216.34136701000043,None,[],218.32422829999996,None,218.32422829999996,None,218.32422829999996,None,z,0.743982899999537,218.32422829999996,None,None,218.32422829999996,None,z,2.743982899999537,0,0,0.7333333333333333,222.58160680000037,None,222.58160680000037,None,222.58160680000037,None,None,222.58160680000037,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,2.3725274662429303,2.3497497577282,224.66870910000034,None,224.66870910000034,None,224.66870910000034,None,227.02419551000057,227.04097491000047,None,[],229.03055659999973,None,229.03055659999973,None,229.03055659999973,None,b,1.1355728999997154,229.03055659999973,None,None,229.03055659999973,None,b,3.1355728999997154,1,1,0.75,231.4144494000002,None,231.4144494000002,None,231.4144494000002,None,None,231.4144494000002,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.671897605000652,1.48342455087402,233.52697790000002,None,233.52697790000002,None,233.52697790000002,None,235.02403851000017,235.0405531100001,None,[],237.02765700000054,None,237.02765700000054,None,237.02765700000054,None,z,1.258919199999582,237.02765700000054,None,None,237.02765700000054,None,z,3.258919199999582,1,1,0.7647058823529411,238.71517289999974,None,238.71517289999974,None,238.71517289999974,None,None,238.71517289999974,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.86983191325091,1.37809841776001,240.83165199999985,None,240.83165199999985,None,240.83165199999985,None,242.22449940999977,242.24127601000018,None,[],244.22487869999986,None,244.22487869999986,None,244.22487869999986,None,z,1.3279990999999427,244.22487869999986,None,None,244.22487869999986,None,z,3.3279990999999427,1,1,0.7777777777777778,248.14121270000032,None,248.14121270000032,None,248.14121270000032,None,None,248.14121270000032,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.0784833561945097,0.977134614530179,250.2245837999999,None,250.2245837999999,None,250.2245837999999,None,251.20800010999992,251.2243378099998,None,[],253.21149680000053,None,253.21149680000053,None,253.21149680000053,None,z,0.35389240000040445,253.21149680000053,None,None,253.21149680000053,None,z,2.3538924000004045,1,1,0.7894736842105263,255.32461669999975,None,255.32461669999975,None,255.32461669999975,None,None,255.32461669999975,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,1.8749846827473111,1.55403782363402,257.40898500000003,None,257.40898500000003,None,257.40898500000003,None,258.9743353099999,258.99154040999986,None,[],260.98009120000006,None,260.98009120000006,None,260.98009120000006,None,z,1.546167399999831,260.98009120000006,None,None,260.98009120000006,None,z,3.546167399999831,1,0,0.8,262.8933721000003,None,262.8933721000003,None,262.8933721000003,None,None,262.8933721000003,None,,,,,,,,,,,,,,,,,,,,CBC_P011,002,set4,set1,1,0.7,2023-03-24_15h03.44.877,TV_prob,2022.1.1,59.97195711280758,
