trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,29.097344600000724,None,29.097344600000724,None,z,0.6147232000002987,29.29707210000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
,,,,,,,,,,,,29.930573400000867,None,t,78.6218820999984,29.930573400000867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
0,0,0,0,,,,,,,,,,,,,,,108.58031420000043,None,108.58031420000043,None,108.58031420000043,None,0,1,1,0,0.5,1.2199655720291709,1.48342455087402,109.58837560000029,None,109.58837560000029,None,109.58837560000029,None,111.08058126000068,111.09731796000014,None,[],113.08674360000077,None,113.08674360000077,None,113.08674360000077,None,z,0.40297219999956724,113.08674360000077,None,None,113.08674360000077,None,z,2.4029721999995672,1,0,1.0,114.37304629999926,None,114.37304629999926,None,114.37304629999926,None,None,114.37304629999926,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.2089046382315303,1.37809841776001,116.4886772000009,None,116.4886772000009,None,116.4886772000009,None,117.87956366000034,117.89717415999948,None,[],119.88323769999988,None,119.88323769999988,None,119.88323769999988,None,None,,119.88323769999988,None,['z'],119.88323769999988,None,[],[],0,3,0.5,122.12933580000026,None,122.12933580000026,None,122.12933580000026,None,None,122.12933580000026,None,[0.4795632999994268],,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,1.899747326335302,2.7570014520733,124.2278664000005,None,124.2278664000005,None,124.2278664000005,None,126.99736855999944,127.0141476599998,None,[],129.00478900000053,None,129.00478900000053,None,129.00478900000053,None,z,0.33797260000028473,129.00478900000053,None,None,129.00478900000053,None,z,2.3379726000002847,0,0,0.3333333333333333,130.9542849999998,None,130.9542849999998,None,130.9542849999998,None,None,130.9542849999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,2.91771467486041,1.55403782363402,133.00809889999982,None,133.00809889999982,None,133.00809889999982,None,134.56384276000026,134.58062965999997,None,[],136.56963499999983,None,136.56963499999983,None,136.56963499999983,None,z,0.5060069999999541,136.56963499999983,None,None,136.56963499999983,None,z,2.506006999999954,1,0,0.5,139.53040449999935,None,139.53040449999935,None,139.53040449999935,None,None,139.53040449999935,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.326293484834196,1.91520730139263,141.62209210000037,None,141.62209210000037,None,141.62209210000037,None,143.5471232600008,143.56351995999975,None,[],145.54403989999992,None,145.54403989999992,None,145.54403989999992,None,z,0.15125389999957406,145.54403989999992,None,None,145.54403989999992,None,z,2.151253899999574,1,1,0.6,146.91948310000043,None,146.91948310000043,None,146.91948310000043,None,None,146.91948310000043,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,2.0784833561945097,0.789129602716002,148.9978867000009,None,148.9978867000009,None,148.9978867000009,None,149.79727306000095,149.8140686599996,None,[],151.8051916000004,None,151.8051916000004,None,151.8051916000004,None,b,0.30708559999948193,151.8051916000004,None,None,151.8051916000004,None,b,2.307085599999482,1,1,0.6666666666666666,153.9284346000004,None,153.9284346000004,None,153.9284346000004,None,None,153.9284346000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.3725274662429303,2.29713937746779,155.98867579999933,None,155.98867579999933,None,155.98867579999933,None,158.29759066000005,158.31375645999978,z,['z'],160.2991122000003,None,160.2991122000003,None,160.2991122000003,None,None,,160.2991122000003,None,None,160.2991122000003,None,z,1.7801909999998315,0,0,0.5714285714285714,162.7165884999995,None,162.7165884999995,None,162.7165884999995,None,None,162.7165884999995,None,,1.7801909999998315,[1.7801909999998315],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.8749846827473111,2.64870493261766,164.79653839999992,None,164.79653839999992,None,164.79653839999992,None,167.4476848600003,167.46435395999978,None,[],169.4519393999999,None,169.4519393999999,None,169.4519393999999,None,b,1.213620799999262,169.4519393999999,None,None,169.4519393999999,None,b,3.213620799999262,0,0,0.5,171.36473939999996,None,171.36473939999996,None,171.36473939999996,None,None,171.36473939999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
