trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,28.405112000000372,None,28.405112000000372,None,b,3.35227009999835,28.59356370000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
,,,,,,,,,,,,31.97694600000068,None,t,41.15656469999885,31.97694600000068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
0,0,0,0,,,,,,,,,,,,,,,73.16026349999993,None,73.16026349999993,None,73.16026349999993,None,1,2,0,1,0.15,4.21669271035117,2.96222466864387,74.16264279999996,None,74.16264279999996,None,74.16264279999996,None,77.12727050000122,77.143892100001,None,[],79.13487900000109,None,79.13487900000109,None,79.13487900000109,None,b,0.5768601999989187,79.13487900000109,None,None,79.13487900000109,None,b,2.5768601999989187,0,0,0.0,83.41828180000084,None,83.41828180000084,None,83.41828180000084,None,None,83.41828180000084,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.3725274662429303,2.68488128149974,85.5315939000011,None,85.5315939000011,None,85.5315939000011,None,88.22713040000072,88.24383260000123,None,[],90.23328690000017,None,90.23328690000017,None,90.23328690000017,None,b,0.7563443999988522,90.23328690000017,None,None,90.23328690000017,None,b,2.756344399998852,1,1,0.5,92.64502810000158,None,92.64502810000158,None,92.64502810000158,None,None,92.64502810000158,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.62250581484608,1.88377296598415,94.72570150000138,None,94.72570150000138,None,94.72570150000138,None,96.61055610000058,96.62723590000151,None,[],98.61678570000004,None,98.61678570000004,None,98.61678570000004,None,None,,98.61678570000004,None,['b'],98.61678570000004,None,[],[],0,3,0.3333333333333333,102.27711660000023,None,102.27711660000023,None,102.27711660000023,None,None,102.27711660000023,None,[0.9605401999997412],,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0.15,1.887650177272661,2.49579389304826,104.35811260000082,None,104.35811260000082,None,104.35811260000082,None,106.86117550000036,106.87707360000077,None,[],108.86378190000141,None,108.86378190000141,None,108.86378190000141,None,z,0.27560169999924256,108.86378190000141,None,None,108.86378190000141,None,z,2.2756016999992426,1,0,0.5,110.79166800000166,None,110.79166800000166,None,110.79166800000166,None,None,110.79166800000166,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.67601812978374,2.3497497577282,112.87598130000151,None,112.87598130000151,None,112.87598130000151,None,115.22745600000071,115.24398090000086,None,[],117.2331989000013,None,117.2331989000013,None,117.2331989000013,None,z,0.5109484999975393,117.2331989000013,None,None,117.2331989000013,None,z,2.5109484999975393,1,1,0.6,119.94502439999997,None,119.94502439999997,None,119.94502439999997,None,None,119.94502439999997,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,3.86983191325091,2.40738395932908,122.02813070000047,None,122.02813070000047,None,122.02813070000047,None,124.4446785000002,124.46072610000029,None,[],126.44995190000009,None,126.44995190000009,None,126.44995190000009,None,b,0.9933942999978171,126.44995190000009,None,None,126.44995190000009,None,b,2.993394299997817,1,0,0.6666666666666666,130.3624015000005,None,130.3624015000005,None,130.3624015000005,None,None,130.3624015000005,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.27860294189526,3.38809030570968,132.45075240000006,None,132.45075240000006,None,132.45075240000006,None,135.8440416000014,135.8614382000016,None,[],137.85187320000114,None,137.85187320000114,None,137.85187320000114,None,b,0.9482181999992463,137.85187320000114,None,None,137.85187320000114,None,b,2.9482181999992463,1,1,0.7142857142857143,140.17843800000082,None,140.17843800000082,None,140.17843800000082,None,None,140.17843800000082,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.35,1.671897605000652,2.50277407648956,142.25839650000125,None,142.25839650000125,None,142.25839650000125,None,144.76083640000087,144.77739950000085,None,[],146.76480570000058,None,146.76480570000058,None,146.76480570000058,None,z,0.5037415999995574,146.76480570000058,None,None,146.76480570000058,None,z,2.5037415999995574,1,0,0.75,148.47960670000066,None,148.47960670000066,None,148.47960670000066,None,None,148.47960670000066,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
