trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,24.426168599999983,None,24.426168599999983,None,b,2.2766831000001275,24.610430099999803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
,,,,,,,,,,,,26.910147499999994,None,t,53.672119400000156,26.910147499999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
0,0,0,0,,,,,,,,,,,,,,,80.61044619999984,None,80.61044619999984,None,80.61044619999984,None,0,1,0,1,0.35,2.27860294189526,3.27666037293199,81.51032189999978,None,81.51032189999978,None,81.51032189999978,None,84.8738566999998,86.87691569999993,84.87587127999987,None,86.87691569999993,None,b,0,3.2048264000000017,84.8738566999998,None,84.8738566999998,None,84.8738566999998,None,None,84.8738566999998,None,0,0,0.0,89.2016309999999,None,89.2016309999999,None,89.2016309999999,None,None,89.2016309999999,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.905730910449904,1.88377296598415,91.17678579999983,None,91.17678579999983,None,91.17678579999983,None,93.11395589999984,95.12595969999984,93.1260870499998,None,95.10931839999989,None,b,1,2.7129365000002963,93.11395589999984,None,93.11395589999984,None,93.11395589999984,None,None,93.11395589999984,None,1,1,0.5,97.0465087,None,97.0465087,None,97.0465087,None,None,97.0465087,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.671897605000652,2.12802719374523,99.04361649999987,None,99.04361649999987,None,99.04361649999987,None,101.2106819999999,103.21041649999984,101.21033498999982,103.21041649999984,103.21041649999984,None,b,1,1.98896260000015,101.2106819999999,None,101.2106819999999,None,101.2106819999999,None,None,101.2106819999999,None,1,1,0.6666666666666666,104.9117205,None,104.9117205,None,104.9117205,None,None,104.9117205,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.543156518078604,1.55403782363402,106.91042719999996,None,106.91042719999996,None,106.91042719999996,None,108.49482649999982,110.50945249999995,108.49341885999985,None,110.49284589999979,None,b,1,2.2101354000001265,108.49482649999982,None,108.49482649999982,None,108.49482649999982,None,None,108.49482649999982,None,1,1,0.75,112.06513089999999,None,112.06513089999999,None,112.06513089999999,None,None,112.06513089999999,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.33462955345931,1.53162701008885,114.06001129999981,None,114.06001129999981,None,114.06001129999981,None,115.59310449999998,117.59375209999985,115.5928137299999,117.59375209999985,117.59375209999985,None,b,1,1.0469704000001911,115.59310449999998,None,115.59310449999998,None,115.59310449999998,None,None,115.59310449999998,None,1,1,0.8,121.94842529999983,None,121.94842529999983,None,121.94842529999983,None,None,121.94842529999983,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,3.62250581484608,1.73294357419019,123.94392169999992,None,123.94392169999992,None,123.94392169999992,None,125.74579819999985,127.76112419999981,125.74398924999991,127.74425779999979,127.74425779999979,None,z,1,1.2402798000002804,125.74579819999985,None,125.74579819999985,None,125.74579819999985,None,None,125.74579819999985,None,1,1,0.8333333333333334,131.39944679999985,None,131.39944679999985,None,131.39944679999985,None,None,131.39944679999985,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.23248806235745,2.40738395932908,133.3935594999998,None,133.3935594999998,None,133.3935594999998,None,135.8132432,137.82736739999996,135.82651645999982,None,137.79427299999998,140.02748099999985,z,1,0.9505880000001525,135.8132432,None,135.8132432,None,135.8132432,None,None,135.8132432,None,1,1,0.8571428571428571,140.08303579999983,None,140.08303579999983,None,140.08303579999983,None,None,140.08303579999983,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0.35,2.0784833561945097,2.23439856631263,142.07729019999988,None,142.07729019999988,None,142.07729019999988,None,144.3295702999999,146.34316219999982,144.32751356,None,146.32653199999982,None,z,1,1.049569600000268,144.3295702999999,None,144.3295702999999,None,144.3295702999999,None,None,144.3295702999999,None,1,0,0.875,148.43401099999983,None,148.43401099999983,None,148.43401099999983,None,None,148.43401099999983,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
