trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.rt,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,response2.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,91.76032080000004,None,91.76032080000004,None,b,4.3389179000000695,91.95164210000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
,,,,,,,,,,,,96.31860449999999,None,t,44.27380720000019,96.31860449999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
0,0,0,0,,,,,,,,,,,,,,,140.61881289999997,None,140.61881289999997,None,140.61881289999997,None,2,0,1,1,0.5,1.905730910449904,2.23439856631263,141.68828630000007,None,141.68828630000007,None,141.68828630000007,None,143.93578241999995,143.95242111999988,None,[],145.94152830000007,None,145.94152830000007,None,145.94152830000007,None,None,145.94152830000007,None,['b'],[1.361254700000245],145.94152830000007,None,[],[],0,3,0.0,147.9422912,None,147.9422912,None,147.9422912,None,None,147.9422912,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.27810873521582,3.32142038400957,150.02353089999997,None,150.02353089999997,None,150.02353089999997,None,153.3522725200001,153.36883932000006,b,['b'],155.35772350000002,None,155.35772350000002,None,155.35772350000002,None,None,155.35772350000002,None,None,,155.35772350000002,None,b,1.869011700000101,1,1,0.5,158.70177119999994,None,158.70177119999994,None,158.70177119999994,None,None,158.70177119999994,None,1.869011700000101,[1.869011700000101],,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,3.50182449656669,2.78012240036799,160.7389968,None,160.7389968,None,160.7389968,None,163.51875021999996,163.53624502000008,None,[],165.52276230000007,None,165.52276230000007,None,165.52276230000007,None,b,165.52276230000007,None,None,,165.52276230000007,None,b,2.7476211000000603,0,0,0.3333333333333333,169.09012140000004,None,169.09012140000004,None,169.09012140000004,None,None,169.09012140000004,None,,,0.7476211000000603,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.671897605000652,0.971483558655564,171.09654739999996,None,171.09654739999996,None,171.09654739999996,None,172.0689439200001,172.08548101999992,None,[],174.07546030000003,None,174.07546030000003,None,174.07546030000003,None,b,174.07546030000003,None,None,,174.07546030000003,None,b,3.198556400000143,0,0,0.25,175.7837457999999,None,175.7837457999999,None,175.7837457999999,None,None,175.7837457999999,None,,,1.1985564000001432,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.39750191607,0.789129602716002,177.7972979000001,None,177.7972979000001,None,177.7972979000001,None,178.58562721999994,178.60221112000005,None,[],180.59806600000002,None,180.59806600000002,None,180.59806600000002,None,z,180.59806600000002,None,None,,180.59806600000002,None,z,2.2515820000000986,1,1,0.4,183.03665999999998,None,183.03665999999998,None,183.03665999999998,None,None,183.03665999999998,None,,,0.25158200000009856,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.91771467486041,2.23299083390853,185.05165579999993,None,185.05165579999993,None,185.05165579999993,None,187.28552072000008,187.30230921999993,None,[],189.29056070000001,None,189.29056070000001,None,189.29056070000001,None,b,189.29056070000001,None,None,,189.29056070000001,None,b,2.9535960000000614,0,0,0.3333333333333333,192.2536083,None,192.2536083,None,192.2536083,None,None,192.2536083,None,,,0.9535960000000614,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.758742575863891,1.53162701008885,194.27108249999992,None,194.27108249999992,None,194.27108249999992,None,195.80272092,195.81932962000002,None,[],197.80849390000003,None,197.80849390000003,None,197.80849390000003,None,z,197.80849390000003,None,None,,197.80849390000003,None,z,2.9443943999999647,0,0,0.2857142857142857,199.60142539999993,None,199.60142539999993,None,199.60142539999993,None,None,199.60142539999993,None,,,0.9443943999999647,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,3.95666246474662,3.38809030570968,201.61972779999996,None,201.61972779999996,None,201.61972779999996,None,205.0189539199999,205.03581702000002,None,[],207.0262123,None,207.0262123,None,207.0262123,None,b,207.0262123,None,None,,207.0262123,None,b,3.2026797000000897,1,0,0.375,211.01234720000002,None,211.01234720000002,None,211.01234720000002,None,None,211.01234720000002,None,,,1.2026797000000897,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.326293484834196,3.27418780206312,213.0394036,None,213.0394036,None,213.0394036,None,216.31854682,216.33473441999996,None,[],218.31713420000005,None,218.31713420000005,None,218.31713420000005,None,b,218.31713420000005,None,None,,218.31713420000005,None,b,2.5682984000000033,1,1,0.4444444444444444,219.6868919000001,None,219.6868919000001,None,219.6868919000001,None,None,219.6868919000001,None,,,0.5682984000000033,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,2.11780998338946,2.49579389304826,221.69726459999993,None,221.69726459999993,None,221.69726459999993,None,224.20239922000002,224.21898001999995,None,[],226.2073430999999,None,226.2073430999999,None,226.2073430999999,None,b,226.2073430999999,None,None,,226.2073430999999,None,b,2.6762347999999747,1,0,0.5,228.3688939000001,None,228.3688939000001,None,228.3688939000001,None,None,228.3688939000001,None,,,0.6762347999999747,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,4.33462955345931,1.31360018091897,230.38306089999992,None,230.38306089999992,None,230.38306089999992,None,231.70254501999995,231.71925552,None,[],233.7060547000001,None,233.7060547000001,None,233.7060547000001,None,z,233.7060547000001,None,None,,233.7060547000001,None,z,2.381641300000183,1,1,0.5454545454545454,238.08691640000006,None,238.08691640000006,None,238.08691640000006,None,None,238.08691640000006,None,,,0.38164130000018304,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,2.67601812978374,2.10833202116216,240.09546849999992,None,240.09546849999992,None,240.09546849999992,None,242.21918422000005,242.23584181999996,None,[],244.21850500000005,None,244.21850500000005,None,244.21850500000005,None,z,244.21850500000005,None,None,,244.21850500000005,None,z,2.376036600000134,1,0,0.5833333333333334,246.9070067,None,246.9070067,None,246.9070067,None,None,246.9070067,None,,,0.37603660000013406,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.3725274662429303,1.41191114387976,248.9165822,None,248.9165822,None,248.9165822,None,250.33581792,250.35262962000007,None,[],252.34021230000008,None,252.34021230000008,None,252.34021230000008,None,z,252.34021230000008,None,None,,252.34021230000008,None,z,2.726116400000137,0,0,0.5384615384615384,254.72273810000002,None,254.72273810000002,None,254.72273810000002,None,None,254.72273810000002,None,,,0.7261164000001372,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,2.0784833561945097,3.27666037293199,256.78190259999997,None,256.78190259999997,None,256.78190259999997,None,260.0691529199999,260.08594051999995,None,[],262.0680216999999,None,262.0680216999999,None,262.0680216999999,None,z,262.0680216999999,None,None,,262.0680216999999,None,z,2.4119479999999385,1,1,0.5714285714285714,264.1859972,None,264.1859972,None,264.1859972,None,None,264.1859972,None,,,0.4119479999999385,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,1.8749846827473111,2.93536812882172,266.1993264,None,266.1993264,None,266.1993264,None,269.13639182000003,269.15272992,None,[],271.1413302000001,None,271.1413302000001,None,271.1413302000001,None,b,271.1413302000001,None,None,,271.1413302000001,None,b,2.4008474000002025,0,0,0.5333333333333333,273.0525195,None,273.0525195,None,273.0525195,None,None,273.0525195,None,,,0.40084740000020247,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,1.887650177272661,2.40738395932908,275.0380551999999,None,275.0380551999999,None,275.0380551999999,None,277.45210391999996,277.4687480200001,None,[],279.4480455999999,None,279.4480455999999,None,279.4480455999999,None,z,279.4480455999999,None,None,,279.4480455999999,None,z,2.0782312999999704,1,1,0.5625,281.3695626000001,None,281.3695626000001,None,281.3695626000001,None,None,281.3695626000001,None,,,0.07823129999997036,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
