trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_7.rt,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,26.51782379999986,None,26.51782379999986,None,z,1.5224386000008963,26.699619699999857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
,,,,,,,,,,,,28.24989860000005,None,t,55.49226770000041,28.24989860000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
0,0,0,0,,,,,,,,,,,,,,,83.76678189999984,None,83.76678189999984,None,83.76678189999984,None,1,0,0,0,0.15,3.47854712582944,3.38809030570968,84.76841950000016,None,84.76841950000016,None,84.76841950000016,None,88.16630547999985,88.18330447999934,None,[],90.17619019999984,None,90.17619019999984,None,90.17619019999984,None,b,0.150243799999771,90.17619019999984,None,None,90.17619019999984,None,b,2.150243799999771,0,1,0.0,93.73308019999968,None,93.73308019999968,None,93.73308019999968,None,None,93.73308019999968,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.23248806235745,0.977134614530179,95.80740710000009,None,95.80740710000009,None,95.80740710000009,None,96.80011347999944,96.81695808000013,None,[],98.80556350000006,None,98.80556350000006,None,98.80556350000006,None,b,0.24277900000106456,98.80556350000006,None,None,98.80556350000006,None,b,2.2427790000010646,1,1,0.5,101.08355159999974,None,101.08355159999974,None,101.08355159999974,None,None,101.08355159999974,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,4.19624908154748,1.37809841776001,103.09547620000012,None,103.09547620000012,None,103.09547620000012,None,104.48347277999956,104.50027417999964,b,['b'],106.49087770000006,None,106.49087770000006,None,106.49087770000006,None,None,,106.49087770000006,None,None,106.49087770000006,None,b,1.6194463000001633,1,0,0.6666666666666666,110.73406639999939,None,110.73406639999939,None,110.73406639999939,None,None,110.73406639999939,None,1.6194463000001633,[1.6194463000001633],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,1.905730910449904,2.23439856631263,112.75152179999986,None,112.75152179999986,None,112.75152179999986,None,115.00037007999954,115.01693287999997,b,['b'],117.00600399999985,None,117.00600399999985,None,117.00600399999985,None,None,,117.00600399999985,None,None,117.00600399999985,None,b,1.64011550000032,0,0,0.5,118.94877199999974,None,118.94877199999974,None,118.94877199999974,None,None,118.94877199999974,None,1.64011550000032,[1.64011550000032],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.91771467486041,1.48342455087402,120.96383409999999,None,120.96383409999999,None,120.96383409999999,None,122.45013647999959,122.4668476799995,None,[],124.46389589999944,None,124.46389589999944,None,124.46389589999944,None,b,0.6473095000001194,124.46389589999944,None,None,124.46389589999944,None,b,2.6473095000001194,0,0,0.4,127.4153980000001,None,127.4153980000001,None,127.4153980000001,None,None,127.4153980000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,2.94912276105146,2.40738395932908,129.4305214999995,None,129.4305214999995,None,129.4305214999995,None,131.85021818000013,131.8669266799995,b,['b'],133.85658969999986,None,133.85658969999986,None,133.85658969999986,None,None,,133.85658969999986,None,None,133.85658969999986,None,b,1.7726470000006884,1,0,0.5,136.84914239999944,None,136.84914239999944,None,136.84914239999944,None,None,136.84914239999944,None,1.7726470000006884,[1.7726470000006884],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.04482772403364,2.29713937746779,138.8635322,None,138.8635322,None,138.8635322,None,141.16681338000006,141.1831821799994,z,['z'],143.17170979999992,None,143.17170979999992,None,143.17170979999992,None,None,,143.17170979999992,None,None,143.17170979999992,None,z,2.0008765000002313,0,0,0.42857142857142855,146.24892499999987,None,146.24892499999987,None,146.24892499999987,None,None,146.24892499999987,None,2.0008765000002313,[2.0008765000002313],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,1.899747326335302,1.14263865585167,148.24833799999942,None,148.24833799999942,None,148.24833799999942,None,149.40028778000004,149.41706638000022,None,[],151.4058954000002,None,151.4058954000002,None,151.4058954000002,None,z,0.04578140000012354,151.4058954000002,None,None,151.4058954000002,None,z,2.0457814000001235,1,1,0.5,153.34649939999963,None,153.34649939999963,None,153.34649939999963,None,None,153.34649939999963,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
