trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_7.rt,get_keys_8.rt,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,310.919265,None,310.919265,None,z,1.6294342999999571,311.09935229999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
,,,,,,,,,,,,312.7495798,None,t,49.38809059999994,312.7495798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
0,0,0,0,,,,,,,,,,,,,,,362.1661444000001,None,362.1661444000001,None,362.1661444000001,None,2,1,1,1,0.5,4.21669271035117,1.31360018091897,363.2167899000001,None,363.2167899000001,None,363.2167899000001,None,364.53302354999994,364.54975705000004,None,[],366.53254849999985,None,366.53254849999985,None,366.53254849999985,None,z,1.2460266999996747,366.53254849999985,None,None,366.53254849999985,None,z,3.2460266999996747,1,1,1.0,370.84393009999985,None,370.84393009999985,None,370.84393009999985,None,None,370.84393009999985,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.109698721182561,2.7570014520733,372.93492449999985,None,372.93492449999985,None,372.93492449999985,None,375.69970894999994,375.71654105000005,None,[],377.6959895,None,377.6959895,None,377.6959895,None,None,,377.6959895,None,None,377.6959895,None,[],[],0,3,0.5,378.8411581999999,None,378.8411581999999,None,378.8411581999999,None,['b'],378.8411581999999,None,[1.0634977999998227],,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,3.50182449656669,2.78012240036799,380.8948365000001,None,380.8948365000001,None,380.8948365000001,None,383.6831448500001,383.6998418500001,None,[],385.67974319999985,None,385.67974319999985,None,385.67974319999985,None,None,,385.67974319999985,None,['b'],385.67974319999985,None,[],[],0,3,0.3333333333333333,389.18637880000006,None,389.18637880000006,None,389.18637880000006,None,None,389.18637880000006,None,,[0.9702843999998549],,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,4.30975216432768,1.73294357419019,391.19895080000015,None,391.19895080000015,None,391.19895080000015,None,392.9329221500001,392.9495030500001,None,[],394.9306799000001,None,394.9306799000001,None,394.9306799000001,None,b,1.185107099999641,394.9306799000001,None,None,394.9306799000001,None,b,3.185107099999641,1,1,0.5,399.2586104000002,None,399.2586104000002,None,399.2586104000002,None,None,399.2586104000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.899747326335302,2.49579389304826,401.2818889,None,401.2818889,None,401.2818889,None,403.78341224999974,403.80005634999986,None,[],405.7820753000001,None,405.7820753000001,None,405.7820753000001,None,b,1.1592714999997042,405.7820753000001,None,None,405.7820753000001,None,b,3.1592714999997042,1,1,0.6,407.715017,None,407.715017,None,407.715017,None,None,407.715017,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,3.27810873521582,1.75396267962373,409.73772169999984,None,409.73772169999984,None,409.73772169999984,None,411.50000105000015,411.5166338499997,None,[],413.4989191999998,None,413.4989191999998,None,413.4989191999998,None,z,0.8396806999999171,413.4989191999998,None,None,413.4989191999998,None,z,2.839680699999917,0,0,0.5,416.85685890000013,None,416.85685890000013,None,416.85685890000013,None,None,416.85685890000013,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.95666246474662,2.64870493261766,418.86581509999996,None,418.86581509999996,None,418.86581509999996,None,421.51663844999973,421.5332972499999,None,[],423.5128930000001,None,423.5128930000001,None,423.5128930000001,None,z,0.9633302000002004,423.5128930000001,None,None,423.5128930000001,None,z,2.9633302000002004,1,1,0.5714285714285714,427.5198685999999,None,427.5198685999999,None,427.5198685999999,None,None,427.5198685999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.86983191325091,0.789129602716002,429.5351016999998,None,429.5351016999998,None,429.5351016999998,None,430.3332279499999,430.34996045000014,None,[],432.33273340000005,None,432.33273340000005,None,432.33273340000005,None,z,1.0295369999998911,432.33273340000005,None,None,432.33273340000005,None,z,3.029536999999891,1,1,0.625,436.2547620999999,None,436.2547620999999,None,436.2547620999999,None,None,436.2547620999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
