trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response_runs.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,95.68946009999945,None,95.68946009999945,None,z,7.154873899999984,95.88992129999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
,,,,,,,,,,,,103.07464559999971,None,t,47.892060799999854,103.07464559999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
0,0,0,0,,,,,,,,,,,,,,,150.9912061999994,None,150.9912061999994,None,150.9912061999994,None,0,1,0,1,0.35,2.0784833561945097,1.44889042899439,151.8911718999998,None,151.8911718999998,None,151.8911718999998,None,153.43536079999922,155.44074490000003,153.44130406000022,None,155.4239953999995,157.5080941999995,None,0,153.43536079999922,None,153.43536079999922,None,153.43536079999922,None,None,153.43536079999922,None,0,3,0.0,157.56873479999922,None,157.56873479999922,None,157.56873479999922,None,None,157.56873479999922,None,,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,4.26803291533611,0.977134614530179,159.54176049999933,None,159.54176049999933,None,159.54176049999933,None,160.5391166999998,162.54152859999976,160.54065425999943,162.54152859999976,162.54152859999976,None,b,0,160.5391166999998,166.80805899999996,160.5391166999998,166.80805899999996,160.5391166999998,166.80805899999996,None,160.5391166999998,166.80805899999996,0,0,0.0,166.84764790000008,None,166.84764790000008,None,166.84764790000008,None,None,166.84764790000008,None,1.5332558000000063,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,2.24205805775432,2.49579389304826,168.84115779999956,None,168.84115779999956,None,168.84115779999956,None,171.36003979999987,173.37393109999994,171.35835545999998,173.3572051000001,173.3572051000001,None,z,1,171.36003979999987,None,171.36003979999987,None,171.36003979999987,None,None,171.36003979999987,None,1,0,0.3333333333333333,175.6211161000001,None,175.6211161000001,None,175.6211161000001,None,None,175.6211161000001,None,1.1016300000001138,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.671897605000652,1.75396267962373,177.6245162999994,None,177.6245162999994,None,177.6245162999994,None,179.40780219999942,181.4081084999998,179.40830386000016,None,181.4081084999998,None,z,1,179.40780219999942,None,179.40780219999942,None,179.40780219999942,None,None,179.40780219999942,None,1,1,0.5,183.1138345999998,None,183.1138345999998,None,183.1138345999998,None,None,183.1138345999998,None,1.2336990000003425,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.899747326335302,2.7570014520733,185.10793159999957,None,185.10793159999957,None,185.10793159999957,None,187.8884994,189.89149129999987,187.8915471599994,None,189.89149129999987,None,z,1,187.8884994,None,187.8884994,None,187.8884994,None,None,187.8884994,None,1,1,0.6,191.81102920000012,None,191.81102920000012,None,191.81102920000012,None,None,191.81102920000012,None,1.4671456999994916,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.27860294189526,2.29713937746779,193.80737689999933,None,193.80737689999933,None,193.80737689999933,None,196.1631355999998,198.1745846999993,196.15824561999943,None,198.1579959999999,None,b,1,196.1631355999998,None,196.1631355999998,None,196.1631355999998,None,None,196.1631355999998,None,1,1,0.6666666666666666,200.45655159999933,None,200.45655159999933,None,200.45655159999933,None,None,200.45655159999933,None,1.443191299999853,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.8749846827473111,1.73294357419019,202.45808739999939,None,202.45808739999939,None,202.45808739999939,None,204.19236339999952,206.19144589999996,204.19081857999936,206.19144589999996,206.19144589999996,None,b,1,204.19236339999952,None,204.19236339999952,None,204.19236339999952,None,None,204.19236339999952,None,1,1,0.7142857142857143,208.0953260999995,None,208.0953260999995,None,208.0953260999995,None,None,208.0953260999995,None,1.64113129999987,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.04482772403364,2.68488128149974,210.0913501999994,None,210.0913501999994,None,210.0913501999994,None,212.80924830000004,214.8247739999997,212.80827596000017,214.80838789999962,214.80838789999962,None,z,0,212.80924830000004,None,212.80924830000004,None,212.80924830000004,None,None,212.80924830000004,None,0,0,0.625,217.88172349999968,None,217.88172349999968,None,217.88172349999968,None,None,217.88172349999968,None,2.6018966000001456,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
