trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.rt,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,24.93688580000071,None,24.93688580000071,None,z,2.323262299999442,25.12652270000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
,,,,,,,,,,,,27.476696700000502,None,t,48.75624179999977,27.476696700000502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
0,0,0,0,,,,,,,,,,,,,,,76.26015820000066,None,76.26015820000066,None,76.26015820000066,None,2,2,1,1,0.5,2.94912276105146,1.48342455087402,77.26244829999996,None,77.26244829999996,None,77.26244829999996,None,78.7601223100005,78.77654111000038,z,['z'],-0.35278440000001865,[-0.35278440000001865],80.75855970000066,None,80.75855970000066,None,80.75855970000066,None,z,1.386757999999645,80.75855970000066,None,None,80.75855970000066,None,z,-0.35278440000001865,1,1,1.0,83.77390379999997,None,83.77390379999997,None,83.77390379999997,None,None,83.77390379999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,3.88444949943153,2.29713937746779,85.84523170000011,None,85.84523170000011,None,85.84523170000011,None,88.14346801000056,88.16031071000043,None,[],,,90.14146530000016,None,90.14146530000016,None,90.14146530000016,None,z,0.5187288999995872,90.14146530000016,None,None,90.14146530000016,None,z,2.518728899999587,1,1,1.0,94.06014360000063,None,94.06014360000063,None,94.06014360000063,None,None,94.06014360000063,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.15,2.23248806235745,1.08604824075189,96.0819620000002,None,96.0819620000002,None,96.0819620000002,None,97.17724781000061,97.19373061000033,None,[],,,99.17470150000008,None,99.17470150000008,None,99.17470150000008,None,b,0.5814008999996076,99.17470150000008,None,None,99.17470150000008,None,b,2.5814008999996076,1,1,1.0,101.4430226000004,None,101.4430226000004,None,101.4430226000004,None,None,101.4430226000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,4.1766095715889495,1.08099245958022,103.45787950000067,None,103.45787950000067,None,103.45787950000067,None,104.54395571000032,104.56056601000046,None,[],,,106.54142930000035,None,106.54142930000035,None,106.54142930000035,None,None,,106.54142930000035,None,['z'],106.54142930000035,None,[],[],0,3,0.75,110.75900630000069,None,110.75900630000069,None,110.75900630000069,None,"['z', 'z']",110.75900630000069,None,[0.885794599998917],"[0.6854840999994849, 1.419409899999664]",,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.39750191607,2.3497497577282,112.77824640000017,None,112.77824640000017,None,112.77824640000017,None,115.12714120999999,115.1438079100003,None,[],,,117.12492520000069,None,117.12492520000069,None,117.12492520000069,None,b,0.1750769999998738,117.12492520000069,None,None,117.12492520000069,None,b,2.175076999999874,1,1,0.8,119.53561380000065,None,119.53561380000065,None,119.53561380000065,None,None,119.53561380000065,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,3.50182449656669,0.789129602716002,121.55815830000029,None,121.55815830000029,None,121.55815830000029,None,122.36069481000004,122.37748641000007,None,[],,,124.35880180000004,None,124.35880180000004,None,124.35880180000004,None,z,0.45836099999905855,124.35880180000004,None,None,124.35880180000004,None,z,2.4583609999990585,0,0,0.6666666666666666,127.86958260000029,None,127.86958260000029,None,127.86958260000029,None,None,127.86958260000029,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0.5,1.8749846827473111,1.14263865585167,129.89328400000068,None,129.89328400000068,None,129.89328400000068,None,131.04393621000008,131.06033350999996,z,['z'],1.3406734999989567,[1.3406734999989567],133.0370195000005,None,133.0370195000005,None,133.0370195000005,None,None,,133.0370195000005,None,None,133.0370195000005,None,z,1.3406734999989567,1,0,0.7142857142857143,134.95897839999998,None,134.95897839999998,None,134.95897839999998,None,['z'],134.95897839999998,None,,[1.1926152999994883],,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,1.905730910449904,2.7570014520733,136.97904850000032,None,136.97904850000032,None,136.97904850000032,None,139.74386120999998,139.76045741000007,None,[],,,141.73853790000067,None,141.73853790000067,None,141.73853790000067,None,z,0.343943599999875,141.73853790000067,None,None,141.73853790000067,None,z,2.343943599999875,1,1,0.75,143.64865120000013,None,143.64865120000013,None,143.64865120000013,None,None,143.64865120000013,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.758742575863891,3.26446861731854,145.6679711000006,None,145.6679711000006,None,145.6679711000006,None,148.94389741000077,148.96067101000017,z,['z'],1.232304799999838,[1.232304799999838],150.9373839,None,150.9373839,None,150.9373839,None,None,,150.9373839,None,None,150.9373839,None,z,1.232304799999838,1,1,0.7777777777777778,152.74301280000054,None,152.74301280000054,None,152.74301280000054,None,None,152.74301280000054,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.887650177272661,2.07121332922762,154.7605749000004,None,154.7605749000004,None,154.7605749000004,None,156.8439925100006,156.86047261000067,None,[],,,158.83749090000038,None,158.83749090000038,None,158.83749090000038,None,z,0.19464249999964522,158.83749090000038,None,None,158.83749090000038,None,z,2.1946424999996452,1,1,0.8,160.75723840000046,None,160.75723840000046,None,160.75723840000046,None,None,160.75723840000046,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,3.27810873521582,2.78012240036799,162.76808240000082,None,162.76808240000082,None,162.76808240000082,None,165.56111031000046,165.5775554100005,b,['b'],1.09066619999885,[1.09066619999885],167.56008960000054,None,167.56008960000054,None,167.56008960000054,None,None,,167.56008960000054,None,None,167.56008960000054,None,b,1.09066619999885,1,1,0.8181818181818182,170.8760925000006,None,170.8760925000006,None,170.8760925000006,None,None,170.8760925000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,1.556335756354144,0.977134614530179,172.88524640000014,None,172.88524640000014,None,172.88524640000014,None,173.87749451000082,173.89485411000032,b,['b'],0.8831071999993583,[0.8831071999993583],175.87731750000057,None,175.87731750000057,None,175.87731750000057,None,None,,175.87731750000057,None,None,175.87731750000057,None,b,0.8831071999993583,1,1,0.8333333333333334,177.47692630000074,None,177.47692630000074,None,177.47692630000074,None,None,177.47692630000074,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,2.11780998338946,1.55403782363402,179.46773740000026,None,179.46773740000026,None,179.46773740000026,None,181.02815051000061,181.04398191000064,None,[],,,183.0239306000003,None,183.0239306000003,None,183.0239306000003,None,z,0.18986779999977443,183.0239306000003,None,None,183.0239306000003,None,z,2.1898677999997744,1,1,0.8461538461538461,185.17599690000043,None,185.17599690000043,None,185.17599690000043,None,None,185.17599690000043,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.15,3.95666246474662,1.73294357419019,187.16736070000024,None,187.16736070000024,None,187.16736070000024,None,188.91081951000024,188.9272145100008,b,['b'],0.9978629999995974,[0.9978629999995974],190.90874340000028,None,190.90874340000028,None,190.90874340000028,None,None,,190.90874340000028,None,None,190.90874340000028,None,b,0.9978629999995974,1,1,0.8571428571428571,194.90498210000078,None,194.90498210000078,None,194.90498210000078,None,None,194.90498210000078,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.15,2.27860294189526,0.971483558655564,196.9281572,None,196.9281572,None,196.9281572,None,197.91083991000005,197.92736791000016,b,['b'],0.8645472999996855,[0.8645472999996855],199.90226020000046,None,199.90226020000046,None,199.90226020000046,None,None,,199.90226020000046,None,None,199.90226020000046,None,b,0.8645472999996855,1,1,0.8666666666666667,202.19996010000068,None,202.19996010000068,None,202.19996010000068,None,None,202.19996010000068,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.15,1.899747326335302,2.23299083390853,204.21204410000064,None,204.21204410000064,None,204.21204410000064,None,206.44482021000067,206.4608858100005,None,[],,,208.4411656000002,None,208.4411656000002,None,208.4411656000002,None,z,0.18751109999902837,208.4411656000002,None,None,208.4411656000002,None,z,2.1875110999990284,0,0,0.8125,210.37970360000054,None,210.37970360000054,None,210.37970360000054,None,None,210.37970360000054,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,4.33462955345931,2.40738395932908,212.38002600000073,None,212.38002600000073,None,212.38002600000073,None,214.79415311000002,214.8108291100002,z,['z'],0.9638528999994378,[0.9638528999994378],216.79133060000004,None,216.79133060000004,None,216.79133060000004,None,None,,216.79133060000004,None,None,216.79133060000004,None,z,0.9638528999994378,1,1,0.8235294117647058,221.1632105000008,None,221.1632105000008,None,221.1632105000008,None,None,221.1632105000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,3.47854712582944,2.68488128149974,223.17142070000045,None,223.17142070000045,None,223.17142070000045,None,225.86100921000025,225.87778201000083,z,['z'],1.6777834999993502,[1.6777834999993502],227.8540449000002,None,227.8540449000002,None,227.8540449000002,None,None,,227.8540449000002,None,None,227.8540449000002,None,z,1.6777834999993502,1,0,0.8333333333333334,231.37800870000046,None,231.37800870000046,None,231.37800870000046,None,None,231.37800870000046,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,3.58943852196035,2.12802719374523,233.38851760000034,None,233.38851760000034,None,233.38851760000034,None,235.52696391000018,235.54380910999998,b,['b'],1.0917004000002635,[1.0917004000002635],237.52120530000047,None,237.52120530000047,None,237.52120530000047,None,None,,237.52120530000047,None,None,237.52120530000047,None,b,1.0917004000002635,1,1,0.8421052631578947,241.14592800000082,None,241.14592800000082,None,241.14592800000082,None,None,241.14592800000082,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
