trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,119.2530143999993,None,119.2530143999993,None,z,2.088707400000203,119.44002480000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
,,,,,,,,,,,,121.55683119999958,None,t,56.4455721000013,121.55683119999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
0,0,0,0,,,,,,,,,,,,,,,178.02364099999977,None,178.02364099999977,None,178.02364099999977,None,2,0,1,1,0.5,3.58943852196035,2.7570014520733,179.0576999999994,None,179.0576999999994,None,179.0576999999994,None,181.8236829100004,181.84036111000006,z,['z'],-47.474233099999765,[-47.474233099999765],183.8238493000008,None,183.8238493000008,None,183.8238493000008,None,b,0.5513789000015095,183.8238493000008,None,None,183.8238493000008,None,z,-47.474233099999765,0,0,0.0,187.5112203000008,None,187.5112203000008,None,187.5112203000008,None,None,187.5112203000008,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.0784833561945097,2.23299083390853,189.60367609999957,None,189.60367609999957,None,189.60367609999957,None,191.84020620999928,191.85719091000084,None,[],,,193.83919050000077,None,193.83919050000077,None,193.83919050000077,None,b,0.5591807000000699,193.83919050000077,None,None,193.83919050000077,None,b,2.55918070000007,1,1,0.5,195.98037920000024,None,195.98037920000024,None,195.98037920000024,None,None,195.98037920000024,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,3.88444949943153,1.91520730139263,198.00850130000072,None,198.00850130000072,None,198.00850130000072,None,199.9240637100009,199.9404035099995,None,[],,,201.9219374000004,None,201.9219374000004,None,201.9219374000004,None,z,0.5140809000004083,201.9219374000004,None,None,201.9219374000004,None,z,2.5140809000004083,1,1,0.6666666666666666,205.8405610000009,None,205.8405610000009,None,205.8405610000009,None,None,205.8405610000009,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.899747326335302,2.49579389304826,207.85688929999924,None,207.85688929999924,None,207.85688929999924,None,210.3573144100008,210.3733263100001,None,[],,,212.3521884999991,None,212.3521884999991,None,212.3521884999991,None,b,0.30304310000065016,212.3521884999991,None,None,212.3521884999991,None,b,2.30304310000065,0,0,0.5,214.29110650000075,None,214.29110650000075,None,214.29110650000075,None,None,214.29110650000075,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.47854712582944,2.12802719374523,216.3069493999992,None,216.3069493999992,None,216.3069493999992,None,218.44029781000046,218.45693401000045,None,[],,,220.4449437000003,None,220.4449437000003,None,220.4449437000003,None,b,1.058623399998396,220.4449437000003,None,None,220.4449437000003,None,b,3.058623399998396,0,0,0.4,223.9571032999993,None,223.9571032999993,None,223.9571032999993,None,None,223.9571032999993,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.2199655720291709,1.75396267962373,225.97365469999932,None,225.97365469999932,None,225.97365469999932,None,227.7405166099996,227.75711871000004,None,[],,,229.73797039999954,None,229.73797039999954,None,229.73797039999954,None,b,0.4667912000004435,229.73797039999954,None,None,229.73797039999954,None,b,2.4667912000004435,0,0,0.3333333333333333,230.98936879999928,None,230.98936879999928,None,230.98936879999928,None,None,230.98936879999928,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.62250581484608,1.37809841776001,233.0075321000004,None,233.0075321000004,None,233.0075321000004,None,234.39008690999964,234.4068804100005,None,[],,,236.3867083999994,None,236.3867083999994,None,236.3867083999994,None,b,0.31512839999959397,236.3867083999994,None,None,236.3867083999994,None,b,2.315128399999594,1,1,0.42857142857142855,240.0587231999998,None,240.0587231999998,None,240.0587231999998,None,None,240.0587231999998,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.39750191607,1.2479618399002,242.07697109999935,None,242.07697109999935,None,242.07697109999935,None,243.32409680999973,243.3406427099997,b,['b'],1.7380099999991216,[1.7380099999991216],245.32281540000076,None,245.32281540000076,None,245.32281540000076,None,None,,245.32281540000076,None,None,245.32281540000076,None,b,1.7380099999991216,1,1,0.5,247.75737540000046,None,247.75737540000046,None,247.75737540000046,None,None,247.75737540000046,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,3.27810873521582,1.88377296598415,249.7858570999997,None,249.7858570999997,None,249.7858570999997,None,251.67389990999965,251.6905300100005,None,[],,,253.67430690000037,None,253.67430690000037,None,253.67430690000037,None,b,0.36429779999889433,253.67430690000037,None,None,253.67430690000037,None,b,2.3642977999988943,1,0,0.5555555555555556,256.9902736999993,None,256.9902736999993,None,256.9902736999993,None,None,256.9902736999993,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
