trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,78.55919050000011,None,78.55919050000011,None,z,16.34567330000027,78.75557500000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
,,,,,,,,,,,,95.12209040000016,None,t,40.648452700001144,95.12209040000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
0,0,0,0,,,,,,,,,,,,,,,135.788628100001,None,135.788628100001,None,135.788628100001,None,0,2,1,1,0.5,2.0784833561945097,1.08099245958022,136.68882510000003,None,136.68882510000003,None,136.68882510000003,None,137.82338049999998,139.83773210000072,137.82195974000135,139.82129180000084,139.82129180000084,None,b,1,2.811609500000486,137.82338049999998,None,137.82338049999998,None,137.82338049999998,None,None,137.82338049999998,None,1,1,1.0,141.95667590000085,None,141.95667590000085,None,141.95667590000085,None,None,141.95667590000085,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.595506577165096,1.88377296598415,143.92209709999952,None,143.92209709999952,None,143.92209709999952,None,145.81936880000103,147.82197910000104,145.82202482000105,147.82197910000104,147.82197910000104,None,z,1,2.807703299999048,145.81936880000103,None,145.81936880000103,None,145.81936880000103,None,None,145.81936880000103,None,1,1,1.0,149.44152620000023,None,149.44152620000023,None,149.44152620000023,None,None,149.44152620000023,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.109698721182561,2.10833202116216,151.43839950000074,None,151.43839950000074,None,151.43839950000074,None,153.57211690000076,155.57198880000033,153.57184222000035,155.57198880000033,155.57198880000033,None,z,1,2.2568709000006493,153.57211690000076,None,153.57211690000076,None,153.57211690000076,None,None,153.57211690000076,None,1,1,1.0,156.71049200000016,None,156.71049200000016,None,156.71049200000016,None,None,156.71049200000016,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.39750191607,1.91520730139263,158.7054232999999,None,158.7054232999999,None,158.7054232999999,None,160.6406461000006,162.65449170000102,160.6387606200002,162.63778579999962,162.63778579999962,None,b,1,1.8324283999991167,160.6406461000006,None,160.6406461000006,None,160.6406461000006,None,None,160.6406461000006,None,1,1,1.0,165.05311110000002,None,165.05311110000002,None,165.05311110000002,None,None,165.05311110000002,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,4.26803291533611,2.5736109380813,167.05558630000087,None,167.05558630000087,None,167.05558630000087,None,169.65484690000085,171.65538109999943,169.65561862000106,171.65538109999943,171.65538109999943,None,b,1,1.2657057999986137,169.65484690000085,175.9223020999998,169.65484690000085,175.9223020999998,169.65484690000085,175.9223020999998,None,169.65484690000085,175.9223020999998,1,0,1.0,175.96375240000089,None,175.96375240000089,None,175.96375240000089,None,None,175.96375240000089,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.8749846827473111,1.44889042899439,177.95522080000046,None,177.95522080000046,None,177.95522080000046,None,179.4245260000007,181.43863790000069,179.42186361999995,181.42199380000056,181.42199380000056,None,z,1,2.18544429999929,179.4245260000007,None,179.4245260000007,None,179.4245260000007,None,None,179.4245260000007,None,1,1,1.0,183.31046160000005,None,183.31046160000005,None,183.31046160000005,None,None,183.31046160000005,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.47854712582944,1.08604824075189,185.32246420000047,None,185.32246420000047,None,185.32246420000047,None,186.4391040999999,188.45469319999938,186.4387487199998,188.43778779999957,188.43778779999957,None,z,1,2.2926165999997465,186.4391040999999,None,186.4391040999999,None,186.4391040999999,None,None,186.4391040999999,None,1,1,1.0,191.94136660000004,None,191.94136660000004,None,191.94136660000004,None,None,191.94136660000004,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.2089046382315303,2.23439856631263,193.93888770000012,None,193.93888770000012,None,193.93888770000012,None,196.19071900000017,198.20569369999976,196.18819951000006,198.18888660000084,198.18888660000084,None,b,1,1.669855699999971,196.19071900000017,None,196.19071900000017,None,196.19071900000017,None,None,196.19071900000017,None,1,1,1.0,200.42769980000048,None,200.42769980000048,None,200.42769980000048,None,None,200.42769980000048,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
