trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,695.7713987000025,None,695.7713987000025,None,z,2.1401855000003707,695.9550600000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
,,,,,,,,,,,,698.1218867999996,None,t,44.75283010000203,698.1218867999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
0,0,0,0,,,,,,,,,,,,,,,742.9052703000016,None,742.9052703000016,None,742.9052703000016,None,0,1,0,1,0.35,4.1766095715889495,0.789129602716002,743.9140277000006,None,743.9140277000006,None,743.9140277000006,None,744.7051855700007,744.7218947700018,None,[],746.7048699000006,None,746.7048699000006,None,746.7048699000006,None,z,0.37296749999950407,746.7048699000006,None,None,746.7048699000006,None,z,2.372967499999504,0,0,0.0,750.9576144000021,None,750.9576144000021,None,750.9576144000021,None,None,750.9576144000021,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,1.2199655720291709,2.78012240036799,753.0249059000016,None,753.0249059000016,None,753.0249059000016,None,755.8054339700026,755.821956970001,z,['z'],757.8044363000008,None,757.8044363000008,None,757.8044363000008,None,None,,757.8044363000008,None,None,757.8044363000008,None,z,1.4919009000004735,1,0,0.5,759.0714901000028,None,759.0714901000028,None,759.0714901000028,None,None,759.0714901000028,None,1.4919009000004735,[1.4919009000004735],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,2.91771467486041,2.96222466864387,761.0916620000025,None,761.0916620000025,None,761.0916620000025,None,764.0554148700027,764.0721143700026,None,[],766.0541367000005,None,766.0541367000005,None,766.0541367000005,None,z,0.27614790000006906,766.0541367000005,None,None,766.0541367000005,None,z,2.276147900000069,1,0,0.6666666666666666,769.0053440000011,None,769.0053440000011,None,769.0053440000011,None,None,769.0053440000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.39750191607,1.2479618399002,771.0210829000025,None,771.0210829000025,None,771.0210829000025,None,772.2721456700016,772.2887732699998,None,[],774.2702348000021,None,774.2702348000021,None,774.2702348000021,None,z,0.47499210000023595,774.2702348000021,None,None,774.2702348000021,None,z,2.474992100000236,1,1,0.75,776.7048052000027,None,776.7048052000027,None,776.7048052000027,None,None,776.7048052000027,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.3725274662429303,3.27666037293199,778.7206737000015,None,778.7206737000015,None,778.7206737000015,None,782.005354970002,782.0221268700003,None,[],784.0095407000008,None,784.0095407000008,None,784.0095407000008,None,None,,784.0095407000008,None,None,784.0095407000008,None,[],[],0,3,0.6,786.4211095000028,None,786.4211095000028,None,786.4211095000028,None,None,786.4211095000028,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.0889201672230797,2.93536812882172,788.4442148000016,None,788.4442148000016,None,788.4442148000016,None,791.3890361699993,791.405334570001,None,[],793.3873561,None,793.3873561,None,793.3873561,None,b,0.17961210000066785,793.3873561,None,None,793.3873561,None,b,2.179612100000668,1,1,0.6666666666666666,795.5227341000027,None,795.5227341000027,None,795.5227341000027,None,None,795.5227341000027,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,1.758742575863891,2.23299083390853,797.5363013000024,None,797.5363013000024,None,797.5363013000024,None,799.7723299700007,799.7888496699994,z,['z'],801.7729227000018,None,801.7729227000018,None,801.7729227000018,None,None,,801.7729227000018,None,None,801.7729227000018,None,z,1.5661487999968813,0,1,0.5714285714285714,803.5706643000012,None,803.5706643000012,None,803.5706643000012,None,None,803.5706643000012,None,1.5661487999968813,[1.5661487999968813],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.04482772403364,1.73294357419019,805.5703233999993,None,805.5703233999993,None,805.5703233999993,None,807.3054537700006,807.3222940699994,None,[],809.3029425000022,None,809.3029425000022,None,809.3029425000022,None,b,0.23033940000095754,809.3029425000022,None,None,809.3029425000022,None,b,2.2303394000009575,1,1,0.625,812.3869723999996,None,812.3869723999996,None,812.3869723999996,None,None,812.3869723999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
