trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,22.91726920000019,None,22.91726920000019,None,z,1.7573990999999296,23.110052099999848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
,,,,,,,,,,,,24.893524099999922,None,t,42.94829850000042,24.893524099999922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
0,0,0,0,,,,,,,,,,,,,,,67.86004869999942,None,67.86004869999942,None,67.86004869999942,None,0,1,0,1,0.35,3.50182449656669,1.75396267962373,68.89913249999972,None,68.89913249999972,None,68.89913249999972,None,70.66015462000004,70.67669521999969,z,['z'],1.7570498999994015,[1.7570498999994015],72.66735569999946,None,72.66735569999946,None,72.66735569999946,None,None,72.66735569999946,None,None,72.66735569999946,None,z,1.7570498999994015,0,0,0.0,76.23962029999984,None,76.23962029999984,None,76.23962029999984,None,None,76.23962029999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.24205805775432,2.10833202116216,78.2924667999996,None,78.2924667999996,None,78.2924667999996,None,80.41062011999938,80.42725791999973,None,[],,,82.41566539999985,None,82.41566539999985,None,82.41566539999985,None,z,82.41566539999985,None,None,82.41566539999985,None,z,2.4363902999994025,1,1,0.5,84.69486749999942,None,84.69486749999942,None,84.69486749999942,None,None,84.69486749999942,None,0.4363902999994025,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,1.556335756354144,1.91520730139263,86.72882089999985,None,86.72882089999985,None,86.72882089999985,None,88.6440239200002,88.65998281999973,None,[],,,90.64771509999991,None,90.64771509999991,None,90.64771509999991,None,b,90.64771509999991,None,None,90.64771509999991,None,b,2.0729733999996824,0,1,0.3333333333333333,92.24279959999967,None,92.24279959999967,None,92.24279959999967,None,None,92.24279959999967,None,0.07297339999968244,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.2089046382315303,3.27666037293199,94.2630036999999,None,94.2630036999999,None,94.2630036999999,None,97.54398202000002,97.56054761999994,None,[],,,99.54901179999979,None,99.54901179999979,None,99.54901179999979,None,z,99.54901179999979,None,None,99.54901179999979,None,z,2.533393600000636,1,1,0.5,101.79399329999978,None,101.79399329999978,None,101.79399329999978,None,None,101.79399329999978,None,0.5333936000006361,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.23248806235745,3.32142038400957,103.81178319999981,None,103.81178319999981,None,103.81178319999981,None,107.14398881999941,107.16174382000017,None,[],,,109.14793089999966,None,109.14793089999966,None,109.14793089999966,None,b,109.14793089999966,None,None,109.14793089999966,None,b,2.385636599999998,0,0,0.4,111.42899989999933,None,111.42899989999933,None,111.42899989999933,None,None,111.42899989999933,None,0.385636599999998,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,1.887650177272661,1.29306073609301,113.4459826000002,None,113.4459826000002,None,113.4459826000002,None,114.7436782199994,114.76017531999977,None,[],,,116.7492642999996,None,116.7492642999996,None,116.7492642999996,None,b,116.7492642999996,None,None,116.7492642999996,None,b,2.7869087999997646,1,1,0.5,118.67918049999935,None,118.67918049999935,None,118.67918049999935,None,None,118.67918049999935,None,0.7869087999997646,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.8749846827473111,1.08604824075189,120.7040863000002,None,120.7040863000002,None,120.7040863000002,None,121.79391012000005,121.81010121999961,None,[],,,123.79757449999943,None,123.79757449999943,None,123.79757449999943,None,z,123.79757449999943,None,None,123.79757449999943,None,z,2.284749699999338,0,0,0.42857142857142855,125.7109762,None,125.7109762,None,125.7109762,None,None,125.7109762,None,0.2847496999993382,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.0784833561945097,1.2479618399002,127.73441759999969,None,127.73441759999969,None,127.73441759999969,None,128.99367441999956,129.01057121999938,None,[],,,131.00126079999973,None,131.00126079999973,None,131.00126079999973,None,b,131.00126079999973,None,None,131.00126079999973,None,b,2.691808900000069,1,1,0.5,133.13145219999933,None,133.13145219999933,None,133.13145219999933,None,None,133.13145219999933,None,0.6918089000000691,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
