trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,20.734124099999462,None,20.734124099999462,None,z,1.5270256000003428,20.938037500000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
,,,,,,,,,,,,22.489330299998983,None,t,43.56955229999585,22.489330299998983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
0,0,0,0,,,,,,,,,,,,,,,66.0894283000016,None,66.0894283000016,None,66.0894283000016,None,0,1,0,1,0.35,1.905730910449904,1.37809841776001,66.98934290000034,None,66.98934290000034,None,66.98934290000034,None,68.41997629999969,70.42272220000086,68.42281516000003,70.42272220000086,70.42272220000086,None,z,1,3.3746706999991147,68.41997629999969,None,68.41997629999969,None,68.41997629999969,None,None,68.41997629999969,None,1,1,1.0,72.3912006999999,None,72.3912006999999,None,72.3912006999999,None,None,72.3912006999999,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.8749846827473111,1.53162701008885,74.35584319999907,None,74.35584319999907,None,74.35584319999907,None,75.90389730000243,77.90624410000237,75.90595068000039,None,77.90624410000237,None,b,1,2.6806796999953804,75.90389730000243,None,75.90389730000243,None,75.90389730000243,None,None,75.90389730000243,None,1,1,1.0,79.80991519999952,None,79.80991519999952,None,79.80991519999952,None,None,79.80991519999952,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.0784833561945097,2.5736109380813,81.80617410000195,None,81.80617410000195,None,81.80617410000195,None,84.40761650000059,86.42291340000156,84.40620448000118,86.40610050000032,86.40610050000032,None,b,1,2.400179299998854,84.40761650000059,None,84.40761650000059,None,84.40761650000059,None,None,84.40761650000059,None,1,1,1.0,88.51127520000227,None,88.51127520000227,None,88.51127520000227,None,None,88.51127520000227,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.23248806235745,2.23299083390853,90.50651909999942,None,90.50651909999942,None,90.50651909999942,None,92.75471499999912,94.75590170000214,92.75639027999932,94.75590170000214,94.75590170000214,None,z,0,2.2922698999973363,92.75471499999912,None,92.75471499999912,None,92.75471499999912,None,None,92.75471499999912,None,0,0,0.75,97.00808730000062,None,97.00808730000062,None,97.00808730000062,None,None,97.00808730000062,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.326293484834196,2.50277407648956,99.00609350000013,None,99.00609350000013,None,99.00609350000013,None,101.53935139999885,103.53943040000013,101.53931848000138,103.53943040000013,103.53943040000013,None,b,1,2.421298299999762,101.53935139999885,None,101.53935139999885,None,101.53935139999885,None,None,101.53935139999885,None,1,1,0.8,104.8942977000006,None,104.8942977000006,None,104.8942977000006,None,None,104.8942977000006,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.39750191607,1.31360018091897,106.88943719999952,None,106.88943719999952,None,106.88943719999952,None,108.22376620000068,110.22295400000075,108.2228018800015,110.22295400000075,110.22295400000075,None,z,1,2.2843844999988505,108.22376620000068,None,108.22376620000068,None,108.22376620000068,None,None,108.22376620000068,None,1,1,0.8333333333333334,112.64254770000116,None,112.64254770000116,None,112.64254770000116,None,None,112.64254770000116,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.86983191325091,1.44889042899439,114.63945120000062,None,114.63945120000062,None,114.63945120000062,None,116.10701930000141,118.10653680000178,116.10629908000192,None,118.10653680000178,None,z,1,2.3340458999991824,116.10701930000141,None,116.10701930000141,None,116.10701930000141,None,None,116.10701930000141,None,1,1,0.8571428571428571,122.00744750000013,None,122.00744750000013,None,122.00744750000013,None,None,122.00744750000013,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,2.24205805775432,2.64870493261766,124.00617390000116,None,124.00617390000116,None,124.00617390000116,None,126.67037110000092,128.67281849999927,126.67279318000146,128.67281849999927,128.67281849999927,None,None,0,,126.67037110000092,None,126.67037110000092,None,126.67037110000092,None,['z'],126.67037110000092,None,0,3,0.75,130.94154490000074,None,130.94154490000074,None,130.94154490000074,None,"['z', 'z']",130.94154490000074,None,[2.2031717999998364],"[1.4891265999976895, 1.8441202999965753]",,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
