trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.rt,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,605.4759107999998,None,605.4759107999998,None,z,1.7084056999992754,605.6601981999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
,,,,,,,,,,,,607.3935543999996,None,t,54.139885600001435,607.3935543999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
0,0,0,0,,,,,,,,,,,,,,,661.5608972999999,None,661.5608972999999,None,661.5608972999999,None,0,2,1,1,0.5,2.24205805775432,1.41191114387976,662.5641314999993,None,662.5641314999993,None,662.5641314999993,None,663.9769252699998,663.9933908699995,None,[],665.9775456999996,None,665.9775456999996,None,665.9775456999996,None,None,665.9775456999996,None,None,665.9775456999996,None,[],[],0,3,0.0,668.2553647999994,None,668.2553647999994,None,668.2553647999994,None,['z'],[0.4042476999984501],668.2553647999994,None,,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.19624908154748,1.48342455087402,670.2873823000009,None,670.2873823000009,None,670.2873823000009,None,671.77689887,671.7936355699994,None,[],673.7803734999998,None,673.7803734999998,None,673.7803734999998,None,b,673.7803734999998,None,None,673.7803734999998,None,b,2.4153268999998545,0,0,0.0,678.0104420000007,None,678.0104420000007,None,678.0104420000007,None,None,,678.0104420000007,None,0.4153268999998545,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.671897605000652,2.5736109380813,680.0276596999993,None,680.0276596999993,None,680.0276596999993,None,682.6100932700001,682.6267852700012,None,[],684.6138320000009,None,684.6138320000009,None,684.6138320000009,None,b,684.6138320000009,None,None,684.6138320000009,None,b,3.3935660000006465,0,0,0.0,686.2958414999994,None,686.2958414999994,None,686.2958414999994,None,None,,686.2958414999994,None,1.3935660000006465,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.8749846827473111,0.971483558655564,688.3152625000002,None,688.3152625000002,None,688.3152625000002,None,689.2934806700005,689.31015097,None,[],691.2928229999998,None,691.2928229999998,None,691.2928229999998,None,b,691.2928229999998,None,None,691.2928229999998,None,b,2.64278270000068,1,1,0.25,693.2080251999996,None,693.2080251999996,None,693.2080251999996,None,None,,693.2080251999996,None,0.64278270000068,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,2.91771467486041,1.08604824075189,695.2212701999997,None,695.2212701999997,None,695.2212701999997,None,696.3095312699998,696.3258763700005,None,[],698.3110828999997,None,698.3110828999997,None,698.3110828999997,None,b,698.3110828999997,None,None,698.3110828999997,None,b,2.6498586000016076,1,0,0.4,701.2783156999994,None,701.2783156999994,None,701.2783156999994,None,None,,701.2783156999994,None,0.6498586000016076,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.543156518078604,2.64870493261766,703.294444000001,None,703.294444000001,None,703.294444000001,None,705.94362207,705.9606358700012,None,[],707.9490504000005,None,707.9490504000005,None,707.9490504000005,None,None,707.9490504000005,None,None,707.9490504000005,None,[],[],0,3,0.3333333333333333,709.5228893999993,None,709.5228893999993,None,709.5228893999993,None,None,,709.5228893999993,None,,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,4.26803291533611,1.14263865585167,711.542703000001,None,711.542703000001,None,711.542703000001,None,712.6935213700008,712.7100464700006,None,[],714.6955039999993,None,714.6955039999993,None,714.6955039999993,None,b,714.6955039999993,None,None,714.6955039999993,None,b,3.430650999998761,0,0,0.2857142857142857,719.0045991999996,None,719.0045991999996,None,719.0045991999996,None,None,,719.0045991999996,None,1.430650999998761,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.0784833561945097,2.10833202116216,721.0236318000007,None,721.0236318000007,None,721.0236318000007,None,723.1432547699997,723.1599778700011,None,[],725.1428305000009,None,725.1428305000009,None,725.1428305000009,None,b,725.1428305000009,None,None,725.1428305000009,None,b,2.8813649999992776,1,1,0.375,727.2320815000003,None,727.2320815000003,None,727.2320815000003,None,None,,727.2320815000003,None,0.8813649999992776,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
