trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,395.61533730000065,None,395.61533730000065,None,b,1.163032600000406,395.79984200000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
,,,,,,,,,,,,396.9831701000003,None,t,58.7761857000005,396.9831701000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
0,0,0,0,,,,,,,,,,,,,,,455.78335310000057,None,455.78335310000057,None,455.78335310000057,None,1,0,0,1,0.15,1.326293484834196,2.12802719374523,456.8036351999999,None,456.8036351999999,None,456.8036351999999,None,458.9332199900006,458.94991159000045,z,['z'],1.353712799999812,[1.353712799999812],460.9415611000004,None,460.9415611000004,None,460.9415611000004,None,None,460.9415611000004,None,None,460.9415611000004,None,z,1.353712799999812,1,1,1.0,462.36467100000027,None,462.36467100000027,None,462.36467100000027,None,None,462.36467100000027,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.2199655720291709,0.971483558655564,464.4517824000004,None,464.4517824000004,None,464.4517824000004,None,465.4330810900007,465.44978449000035,b,['b'],1.7216528000008111,[1.7216528000008111],467.44040420000056,None,467.44040420000056,None,467.44040420000056,None,None,467.44040420000056,None,None,467.44040420000056,None,b,1.7216528000008111,1,1,1.0,468.7001332,None,468.7001332,None,468.7001332,None,None,468.7001332,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.6105816849230599,2.64870493261766,470.73312030000034,None,470.73312030000034,None,470.73312030000034,None,473.38328019000045,473.3999895900003,None,[],,,475.3893457000004,None,475.3893457000004,None,475.3893457000004,None,z,475.3893457000004,None,None,475.3893457000004,None,z,2.485653800000364,0,0,0.6666666666666666,477.0514982000004,None,477.0514982000004,None,477.0514982000004,None,None,477.0514982000004,None,0.48565380000036384,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,2.11780998338946,1.08099245958022,479.06677730000047,None,479.06677730000047,None,479.06677730000047,None,480.1499730900002,480.1665971899999,None,[],,,482.1560392000001,None,482.1560392000001,None,482.1560392000001,None,z,482.1560392000001,None,None,482.1560392000001,None,z,2.1534005000003162,1,1,0.75,484.3182637,None,484.3182637,None,484.3182637,None,None,484.3182637,None,0.15340050000031624,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.24205805775432,2.50277407648956,486.3320936,None,486.3320936,None,486.3320936,None,488.85003229000057,488.86682008999986,None,[],,,490.8633805999998,None,490.8633805999998,None,490.8633805999998,None,b,490.8633805999998,None,None,490.8633805999998,None,b,2.1005753000008553,0,0,0.6,493.15147250000064,None,493.15147250000064,None,493.15147250000064,None,None,493.15147250000064,None,0.10057530000085535,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.8749846827473111,3.27418780206312,495.1718587000005,None,495.1718587000005,None,495.1718587000005,None,498.45024729000005,498.46678909000065,None,[],,,500.45663370000057,None,500.45663370000057,None,500.45663370000057,None,b,500.45663370000057,None,None,500.45663370000057,None,b,2.6728107000008094,1,1,0.6666666666666666,502.37028009999995,None,502.37028009999995,None,502.37028009999995,None,None,502.37028009999995,None,0.6728107000008094,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.758742575863891,1.75396267962373,504.39222340000015,None,504.39222340000015,None,504.39222340000015,None,506.1501035900007,506.16669149000035,z,['z'],1.388328700000784,[1.388328700000784],508.1564861000006,None,508.1564861000006,None,508.1564861000006,None,None,508.1564861000006,None,None,508.1564861000006,None,z,1.388328700000784,0,0,0.5714285714285714,509.95191539999996,None,509.95191539999996,None,509.95191539999996,None,None,509.95191539999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,1.887650177272661,2.7570014520733,511.9672592000006,None,511.9672592000006,None,511.9672592000006,None,514.7335620900001,514.7501435900001,None,[],,,516.7381134000007,None,516.7381134000007,None,516.7381134000007,None,b,516.7381134000007,None,None,516.7381134000007,None,b,2.280489800000396,0,0,0.5,518.6668534,None,518.6668534,None,518.6668534,None,None,518.6668534,None,0.2804898000003959,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
