trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],audio set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,33.64602730000024,None,33.64602730000024,None,b,1.630463399999826,33.84566589999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
,,,,,,,,,,,,35.495557499999904,None,t,48.23237139999992,35.495557499999904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
0,0,0,0,,,,,,,,,,,,,,,83.74560900000006,None,83.74560900000006,None,83.74560900000006,None,0,2,1,1,0.5,4.26803291533611,2.5736109380813,84.66712159999997,None,84.66712159999997,None,84.66712159999997,None,87.35476990000006,89.36213480000015,87.36200472000029,89.36213480000015,89.34558340000012,None,z,1,1.8569852000000537,87.35476990000006,None,87.35476990000006,None,87.35476990000006,None,None,87.35476990000006,None,1,1,1.0,93.6724779000001,None,93.6724779000001,None,93.6724779000001,None,None,93.6724779000001,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.50182449656669,0.977134614530179,95.6455178000001,None,95.6455178000001,None,95.6455178000001,None,96.68283699999984,98.69466030000012,96.67880866000023,98.6780632,98.6780632,None,z,0,2.2420124999998734,96.68283699999984,None,96.68283699999984,None,96.68283699999984,None,None,96.68283699999984,None,0,0,0.5,102.23388740000019,None,102.23388740000019,None,102.23388740000019,None,None,102.23388740000019,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.27810873521582,3.38809030570968,104.21227950000002,None,104.21227950000002,None,104.21227950000002,None,107.63294059999998,109.64579060000005,107.64561157000013,None,109.62956579999991,None,b,1,1.273764300000039,107.63294059999998,None,107.63294059999998,None,107.63294059999998,None,None,107.63294059999998,None,1,1,0.6666666666666666,112.93065720000004,None,112.93065720000004,None,112.93065720000004,None,None,112.93065720000004,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.11780998338946,2.40738395932908,114.92899549999993,None,114.92899549999993,None,114.92899549999993,None,117.3745598999999,119.37810249999984,117.37834507000012,119.37810249999984,119.36138549999987,121.47954570000002,z,1,1.5859599999998863,117.3745598999999,None,117.3745598999999,None,117.3745598999999,None,None,117.3745598999999,None,1,1,0.75,121.51758860000018,None,121.51758860000018,None,121.51758860000018,None,None,121.51758860000018,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.887650177272661,1.2479618399002,123.51216920000024,None,123.51216920000024,None,123.51216920000024,None,124.77701500000012,126.77806400000009,124.77895798,126.77806400000009,126.77806400000009,None,b,0,2.931655800000044,124.77701500000012,None,124.77701500000012,None,124.77701500000012,None,None,124.77701500000012,None,0,0,0.6,128.69592300000022,None,128.69592300000022,None,128.69592300000022,None,None,128.69592300000022,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.35,1.905730910449904,2.7570014520733,130.69548680000025,None,130.69548680000025,None,130.69548680000025,None,133.47052480000002,135.4790754999999,133.47907048000013,None,135.4624770999999,None,z,0,2.270480999999563,133.47052480000002,None,133.47052480000002,None,133.47052480000002,None,None,133.47052480000002,None,0,1,0.5,137.38234509999984,None,137.38234509999984,None,137.38234509999984,None,None,137.38234509999984,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.47854712582944,1.31360018091897,139.39562609999984,None,139.39562609999984,None,139.39562609999984,None,140.7262079000002,142.72900609999988,140.72893057999988,142.72900609999988,142.72900609999988,None,z,0,1.261191300000064,140.7262079000002,None,140.7262079000002,None,140.7262079000002,None,None,140.7262079000002,None,0,0,0.42857142857142855,146.2308025000002,None,146.2308025000002,None,146.2308025000002,None,None,146.2308025000002,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.0889201672230797,2.78012240036799,148.22883300000012,None,148.22883300000012,None,148.22883300000012,None,151.02730960000008,153.02899930000012,151.0291798799998,153.02899930000012,153.02899930000012,None,b,0,2.5874549000000115,151.02730960000008,None,151.02730960000008,None,151.02730960000008,None,None,151.02730960000008,None,0,0,0.375,155.13045220000004,None,155.13045220000004,None,155.13045220000004,None,None,155.13045220000004,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,4.1766095715889495,2.3497497577282,157.1455876,None,157.1455876,None,157.1455876,None,159.50917740000023,161.51238620000004,159.51224877999982,161.51238620000004,161.51238620000004,None,z,1,1.4683218999998644,159.50917740000023,None,159.50917740000023,None,159.50917740000023,None,None,159.50917740000023,None,1,0,0.4444444444444444,165.7118762,None,165.7118762,None,165.7118762,None,None,165.7118762,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
