trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,26.635560200000327,None,26.635560200000327,None,b,2.3118862000001172,26.821579999999813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
,,,,,,,,,,,,29.154891700000007,None,t,56.08131559999947,29.154891700000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
0,0,0,0,,,,,,,,,,,,,,,85.2550242999996,None,85.2550242999996,None,85.2550242999996,None,0,0,0,1,0.35,3.62250581484608,2.5736109380813,86.28033609999966,None,86.28033609999966,None,86.28033609999966,None,88.85527730999965,88.87202410999961,None,[],90.86371859999963,None,90.86371859999963,None,90.86371859999963,None,b,0.3567180999998527,90.86371859999963,None,None,90.86371859999963,None,b,2.3567180999998527,1,1,1.0,94.55168309999954,None,94.55168309999954,None,94.55168309999954,None,None,94.55168309999954,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.47854712582944,3.26446861731854,96.66568170000028,None,96.66568170000028,None,96.66568170000028,None,99.93844761,99.95494820999974,z,['z'],101.94426479999947,None,101.94426479999947,None,101.94426479999947,None,None,,101.94426479999947,None,None,101.94426479999947,None,z,1.7454694999996718,1,1,1.0,105.45228580000003,None,105.45228580000003,None,105.45228580000003,None,None,105.45228580000003,None,1.7454694999996718,[1.7454694999996718],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.23248806235745,2.78012240036799,107.49627849999979,None,107.49627849999979,None,107.49627849999979,None,110.28865520999952,110.3049368099997,None,[],112.29424409999956,None,112.29424409999956,None,112.29424409999956,None,z,0.751853900000242,112.29424409999956,None,None,112.29424409999956,None,z,2.751853900000242,1,1,1.0,114.57430680000016,None,114.57430680000016,None,114.57430680000016,None,None,114.57430680000016,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.0889201672230797,1.75396267962373,116.59338419999949,None,116.59338419999949,None,116.59338419999949,None,118.35502691000019,118.3718680099997,z,['z'],120.3618464000001,None,120.3618464000001,None,120.3618464000001,None,None,,120.3618464000001,None,None,120.3618464000001,None,z,1.3943365999994057,1,1,1.0,122.48354500000005,None,122.48354500000005,None,122.48354500000005,None,None,122.48354500000005,None,1.3943365999994057,[1.3943365999994057],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.91771467486041,2.23439856631263,124.5088595999996,None,124.5088595999996,None,124.5088595999996,None,126.75494360999946,126.77153860999951,z,['z'],128.76930999999968,None,128.76930999999968,None,128.76930999999968,None,None,,128.76930999999968,None,None,128.76930999999968,None,z,1.425656400000662,1,1,1.0,131.7221411999999,None,131.7221411999999,None,131.7221411999999,None,None,131.7221411999999,None,1.425656400000662,[1.425656400000662],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.39750191607,1.44889042899439,133.74122699999953,None,133.74122699999953,None,133.74122699999953,None,135.20499841,135.22189660999956,b,['b'],137.21002979999957,None,137.21002979999957,None,137.21002979999957,None,None,,137.21002979999957,None,None,137.21002979999957,None,b,1.8618993000000046,1,1,1.0,139.65165439999964,None,139.65165439999964,None,139.65165439999964,None,None,139.65165439999964,None,1.8618993000000046,[1.8618993000000046],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,1.2199655720291709,0.971483558655564,141.67563960000007,None,141.67563960000007,None,141.67563960000007,None,142.65534221000016,142.67185241000024,b,['b'],144.66050499999983,None,144.66050499999983,None,144.66050499999983,None,None,,144.66050499999983,None,None,144.66050499999983,None,b,1.8244191000003411,1,1,1.0,145.92064219999975,None,145.92064219999975,None,145.92064219999975,None,None,145.92064219999975,None,1.8244191000003411,[1.8244191000003411],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,4.33462955345931,2.64870493261766,147.94023910000033,None,147.94023910000033,None,147.94023910000033,None,150.58912030999963,150.60515111000004,b,['b'],152.59296339999946,None,152.59296339999946,None,152.59296339999946,None,None,,152.59296339999946,None,None,152.59296339999946,None,b,1.0974548000003779,1,0,1.0,156.9720738999995,None,156.9720738999995,None,156.9720738999995,None,None,156.9720738999995,None,1.0974548000003779,[1.0974548000003779],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
