trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],audio set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,31.185674399999698,None,31.185674399999698,None,b,3.330811100000574,31.37284279999949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
,,,,,,,,,,,,34.72303909999937,None,t,36.215446000000156,34.72303909999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
0,0,0,0,,,,,,,,,,,,,,,70.95642290000069,None,70.95642290000069,None,70.95642290000069,None,0,2,1,0,0.5,2.67601812978374,1.31360018091897,71.85648939999919,None,71.85648939999919,None,71.85648939999919,None,73.32735540000067,75.33955620000052,73.32305160000033,75.32283380000081,75.32283380000081,None,b,1,1.4289934000007634,73.32735540000067,None,73.32735540000067,None,73.32735540000067,None,None,73.32735540000067,None,1,0,1.0,78.05354199999965,None,78.05354199999965,None,78.05354199999965,None,None,78.05354199999965,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.109698721182561,2.96222466864387,80.02268849999928,None,80.02268849999928,None,80.02268849999928,None,83.08452419999958,85.08938370000033,83.0896092499992,85.08938370000033,85.07282010000017,86.18941199999972,b,0,1.3249799000004714,83.08452419999958,None,83.08452419999958,None,83.08452419999958,None,None,83.08452419999958,None,0,0,0.5,86.2223367000006,None,86.2223367000006,None,86.2223367000006,None,None,86.2223367000006,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,1.887650177272661,2.50277407648956,88.22270700000081,None,88.22270700000081,None,88.22270700000081,None,90.79569199999969,92.80633069999931,90.7896805999997,92.79003929999999,92.79003929999999,None,b,0,0.9607141999986197,90.79569199999969,None,90.79569199999969,None,90.79569199999969,None,None,90.79569199999969,None,0,0,0.3333333333333333,94.70994830000018,None,94.70994830000018,None,94.70994830000018,None,None,94.70994830000018,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.50182449656669,2.23439856631263,96.70618889999969,None,96.70618889999969,None,96.70618889999969,None,98.98693370000001,100.98995649999961,98.98967750000047,100.98995649999961,100.97338599999966,None,b,1,1.470963200001279,98.98693370000001,None,98.98693370000001,None,98.98693370000001,None,None,98.98693370000001,None,1,1,0.5,104.5055398000004,None,104.5055398000004,None,104.5055398000004,None,None,104.5055398000004,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.94912276105146,2.5736109380813,106.50611079999908,None,106.50611079999908,None,106.50611079999908,None,109.10792439999932,111.12290439999924,109.10616239999982,111.10617889999958,111.10617889999958,None,z,0,1.0772869999982504,109.10792439999932,None,109.10792439999932,None,109.10792439999932,None,None,109.10792439999932,None,0,0,0.4,114.07806250000067,None,114.07806250000067,None,114.07806250000067,None,None,114.07806250000067,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,3.86983191325091,2.07121332922762,116.0726524999991,None,116.0726524999991,None,116.0726524999991,None,118.17471529999966,120.19007600000077,118.17297340000042,120.17289680000067,120.17289680000067,None,b,0,1.532238400001006,118.17471529999966,None,118.17471529999966,None,118.17471529999966,None,None,118.17471529999966,None,0,0,0.3333333333333333,124.07055740000033,None,124.07055740000033,None,124.07055740000033,None,None,124.07055740000033,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,3.62250581484608,1.84422310959985,126.07278419999966,None,126.07278419999966,None,126.07278419999966,None,127.94059609999931,129.93993799999953,127.9400652999997,129.93993799999953,129.93993799999953,None,z,1,1.6093182999993587,127.94059609999931,None,127.94059609999931,None,127.94059609999931,None,None,127.94059609999931,None,1,1,0.42857142857142855,133.59536619999926,None,133.59536619999926,None,133.59536619999926,None,None,133.59536619999926,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,4.21669271035117,2.93536812882172,135.5899327999996,None,135.5899327999996,None,135.5899327999996,None,138.5587187000001,140.57322679999925,138.55672099999936,140.5568070999998,140.5568070999998,144.77344420000009,b,1,2.268959299999551,138.5587187000001,None,138.5587187000001,None,138.5587187000001,None,None,138.5587187000001,None,1,1,0.5,144.81288069999937,None,144.81288069999937,None,144.81288069999937,None,None,144.81288069999937,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.47854712582944,1.41191114387976,146.8065669000007,None,146.8065669000007,None,146.8065669000007,None,148.24264579999908,150.2564371999997,148.2397822000006,150.23973420000038,150.23973420000038,None,b,1,1.5041279999986727,148.24264579999908,None,148.24264579999908,None,148.24264579999908,None,None,148.24264579999908,None,1,1,0.5555555555555556,153.74525089999952,None,153.74525089999952,None,153.74525089999952,None,None,153.74525089999952,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,1.595506577165096,0.789129602716002,155.7397173999998,None,155.7397173999998,None,155.7397173999998,None,156.55813999999918,158.57335559999956,156.55677069999945,158.55665860000045,158.55665860000045,None,z,1,3.192668699999558,156.55813999999918,None,156.55813999999918,None,156.55813999999918,None,None,156.55813999999918,None,1,0,0.6,160.17530260000058,None,160.17530260000058,None,160.17530260000058,None,None,160.17530260000058,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.27810873521582,2.12802719374523,162.17282680000062,None,162.17282680000062,None,162.17282680000062,None,164.3214183,166.32327760000044,164.32344520000004,166.32327760000044,166.32327760000044,None,b,1,0.9470751999997447,164.3214183,None,164.3214183,None,164.3214183,None,None,164.3214183,None,1,1,0.6363636363636364,169.62637279999944,None,169.62637279999944,None,169.62637279999944,None,None,169.62637279999944,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.556335756354144,1.48342455087402,171.6232416999992,None,171.6232416999992,None,171.6232416999992,None,173.12141979999979,175.12313859999995,173.1229145000001,175.12313859999995,175.12313859999995,None,b,1,2.644124299999021,173.12141979999979,None,173.12141979999979,None,173.12141979999979,None,None,173.12141979999979,None,1,1,0.6666666666666666,176.71176869999908,None,176.71176869999908,None,176.71176869999908,None,None,176.71176869999908,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,4.1766095715889495,1.73294357419019,178.70589570000084,None,178.70589570000084,None,178.70589570000084,None,180.4534996000002,182.45683230000031,180.45663640000055,182.45683230000031,182.45683230000031,None,z,1,1.1762799999996787,180.4534996000002,None,180.4534996000002,None,180.4534996000002,None,None,180.4534996000002,None,1,1,0.6923076923076923,186.66231759999937,None,186.66231759999937,None,186.66231759999937,None,None,186.66231759999937,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,2.74209998091573,2.68488128149974,188.65673839999909,None,188.65673839999909,None,188.65673839999909,None,191.3760201999994,193.39038400000027,191.37319830000013,193.3732887999995,193.3732887999995,None,z,1,1.0192477000000508,191.3760201999994,None,191.3760201999994,None,191.3760201999994,None,None,191.3760201999994,None,1,1,0.7142857142857143,196.1452348999992,None,196.1452348999992,None,196.1452348999992,None,None,196.1452348999992,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
