trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,82.07229489999918,None,82.07229489999918,None,b,4.125626900000498,82.25750340000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
,,,,,,,,,,,,86.40752520000024,None,t,40.39870309999969,86.40752520000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
0,0,0,0,,,,,,,,,,,,,,,126.82429319999937,None,126.82429319999937,None,126.82429319999937,None,0,2,0,1,0.35,2.39750191607,3.26446861731854,127.8396775000001,None,127.8396775000001,None,127.8396775000001,None,131.10771544999935,131.1243566499992,b,['b'],1.5033726999990904,[1.5033726999990904],133.11260860000039,None,133.11260860000039,None,133.11260860000039,None,None,133.11260860000039,None,None,133.11260860000039,None,b,1.5033726999990904,0,0,0.0,135.57184450000022,None,135.57184450000022,None,135.57184450000022,None,None,135.57184450000022,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,4.1766095715889495,1.75396267962373,137.66939029999958,None,137.66939029999958,None,137.66939029999958,None,139.42416044999973,139.44103105000013,b,['b'],1.7805573000005097,[1.7805573000005097],141.42906349999976,None,141.42906349999976,None,141.42906349999976,None,None,141.42906349999976,None,None,141.42906349999976,None,b,1.7805573000005097,1,0,0.5,145.61393920000046,None,145.61393920000046,None,145.61393920000046,None,None,145.61393920000046,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,4.26803291533611,2.96222466864387,147.64799590000075,None,147.64799590000075,None,147.64799590000075,None,150.6234719500002,150.64025424999946,None,[],,,152.62186309999925,None,152.62186309999925,None,152.62186309999925,None,b,152.62186309999925,None,None,152.62186309999925,None,b,2.7438562999996066,1,1,0.6666666666666666,156.9445407000003,None,156.9445407000003,None,156.9445407000003,None,None,156.9445407000003,None,0.7438562999996066,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.95666246474662,1.73294357419019,158.96741440000005,None,158.96741440000005,None,158.96741440000005,None,160.70764464999903,160.72441625000047,None,[],,,162.71206849999908,None,162.71206849999908,None,162.71206849999908,None,b,162.71206849999908,None,None,162.71206849999908,None,b,2.6633693000003404,1,1,0.75,166.70873670000037,None,166.70873670000037,None,166.70873670000037,None,None,166.70873670000037,None,0.6633693000003404,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.58943852196035,1.88377296598415,168.70183890000044,None,168.70183890000044,None,168.70183890000044,None,170.59109974999902,170.607632749999,None,[],,,172.5952099999995,None,172.5952099999995,None,172.5952099999995,None,b,172.5952099999995,None,None,172.5952099999995,None,b,2.657311499999196,1,1,0.8,176.2002061000003,None,176.2002061000003,None,176.2002061000003,None,None,176.2002061000003,None,0.6573114999991958,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,1.8749846827473111,2.29713937746779,178.23215700000037,None,178.23215700000037,None,178.23215700000037,None,180.54110424999945,180.55758994999943,z,['z'],1.542955200000506,[1.542955200000506],182.54626710000048,None,182.54626710000048,None,182.54626710000048,None,None,182.54626710000048,None,None,182.54626710000048,None,z,1.542955200000506,1,1,0.8333333333333334,184.45575260000078,None,184.45575260000078,None,184.45575260000078,None,None,184.45575260000078,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,2.0784833561945097,2.40738395932908,186.47554049999962,None,186.47554049999962,None,186.47554049999962,None,188.8911670499996,188.9078557499992,None,[],,,190.89644059999955,None,190.89644059999955,None,190.89644059999955,None,z,190.89644059999955,None,None,190.89644059999955,None,z,2.900964500000555,1,0,0.8571428571428571,193.0089609000006,None,193.0089609000006,None,193.0089609000006,None,None,193.0089609000006,None,0.9009645000005548,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.94912276105146,1.08099245958022,195.0272929999992,None,195.0272929999992,None,195.0272929999992,None,196.10776464999927,196.12420544999932,None,[],,,198.1136482999991,None,198.1136482999991,None,198.1136482999991,None,z,198.1136482999991,None,None,198.1136482999991,None,z,2.989384600001358,1,1,0.875,201.11049319999984,None,201.11049319999984,None,201.11049319999984,None,None,201.11049319999984,None,0.9893846000013582,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
