trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.rt,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,19.142436199999793,None,19.142436199999793,None,z,1.0909930000016175,19.325400000001537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
,,,,,,,,,,,,20.442086499999277,None,t,49.318211599998904,20.442086499999277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
0,0,0,0,,,,,,,,,,,,,,,69.79193909999958,None,69.79193909999958,None,69.79193909999958,None,2,1,1,1,0.5,3.86983191325091,2.3497497577282,70.79170530000192,None,70.79170530000192,None,70.79170530000192,None,73.14271848000062,73.15896598000036,z,['z'],1.627754000001005,[1.627754000001005],75.14959369999997,None,75.14959369999997,None,75.14959369999997,None,None,75.14959369999997,None,None,75.14959369999997,None,z,1.627754000001005,1,1,1.0,79.09086419999949,None,79.09086419999949,None,79.09086419999949,None,None,79.09086419999949,None,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.6105816849230599,2.23439856631263,81.15969889999906,None,81.15969889999906,None,81.15969889999906,None,83.40922838000115,83.42619697999835,b,['b'],1.9004788000020199,[1.9004788000020199],85.41565890000129,None,85.41565890000129,None,85.41565890000129,None,None,85.41565890000129,None,None,85.41565890000129,None,b,1.9004788000020199,0,0,0.5,87.06145299999844,None,87.06145299999844,None,87.06145299999844,None,None,87.06145299999844,None,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,1.899747326335302,2.12802719374523,89.07403590000104,None,89.07403590000104,None,89.07403590000104,None,91.20901778000116,91.22570037999976,None,[],,,93.21427920000133,None,93.21427920000133,None,93.21427920000133,None,z,93.21427920000133,None,None,93.21427920000133,None,z,2.591553300000669,0,0,0.3333333333333333,95.15756600000168,None,95.15756600000168,None,95.15756600000168,None,None,95.15756600000168,None,0.591553300000669,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,3.27810873521582,1.41191114387976,97.17267830000128,None,97.17267830000128,None,97.17267830000128,None,98.59220858000045,98.60870168000038,None,[],,,100.5982742999986,None,100.5982742999986,None,100.5982742999986,None,z,100.5982742999986,None,None,100.5982742999986,None,z,2.2675514000002295,0,1,0.25,103.90765760000068,None,103.90765760000068,None,103.90765760000068,None,None,103.90765760000068,None,0.2675514000002295,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,2.67601812978374,2.93536812882172,105.92403919999924,None,105.92403919999924,None,105.92403919999924,None,108.85880598000149,108.87520878000142,b,['b'],1.4806084000010742,[1.4806084000010742],110.86787719999847,None,110.86787719999847,None,110.86787719999847,None,None,110.86787719999847,None,None,110.86787719999847,None,b,1.4806084000010742,1,0,0.4,113.59477479999987,None,113.59477479999987,None,113.59477479999987,None,None,113.59477479999987,None,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,2.2089046382315303,2.64870493261766,115.60775429999921,None,115.60775429999921,None,115.60775429999921,None,118.25912538000121,118.27565378000072,None,[],,,120.26496899999984,None,120.26496899999984,None,120.26496899999984,None,z,120.26496899999984,None,None,120.26496899999984,None,z,2.627506499997253,0,0,0.3333333333333333,122.5070569999989,None,122.5070569999989,None,122.5070569999989,None,None,122.5070569999989,None,0.6275064999972528,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.50182449656669,2.49579389304826,124.52483610000127,None,124.52483610000127,None,124.52483610000127,None,127.02614928000112,127.04240828000111,None,[],,,129.03124319999915,None,129.03124319999915,None,129.03124319999915,None,z,129.03124319999915,None,None,129.03124319999915,None,z,2.146056600002339,1,1,0.42857142857142855,132.57877050000025,None,132.57877050000025,None,132.57877050000025,None,None,132.57877050000025,None,0.1460566000023391,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,4.19624908154748,0.977134614530179,134.5962225000003,None,134.5962225000003,None,134.5962225000003,None,135.5766807799984,135.59233488000172,None,[],,,137.58302099999855,None,137.58302099999855,None,137.58302099999855,None,b,137.58302099999855,None,None,137.58302099999855,None,b,2.2883674999975483,0,0,0.375,141.827492299999,None,141.827492299999,None,141.827492299999,None,None,141.827492299999,None,0.2883674999975483,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
