trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,27.907327599999917,None,27.907327599999917,None,z,2.6549629000001005,28.094627699999364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
,,,,,,,,,,,,30.777491399999235,None,t,29.653810600000725,30.777491399999235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
0,0,0,0,,,,,,,,,,,,,,,60.462038499999835,None,60.462038499999835,None,60.462038499999835,None,0,2,1,1,0.5,0.595506577165096,1.91520730139263,61.36136589999933,None,61.36136589999933,None,61.36136589999933,None,63.377733199999966,65.44547809999949,63.37893408000018,None,65.42855079999936,66.42902259999937,66.42902259999937,67.02850479999961,z,0,2.3466914000000543,63.377733199999966,None,63.377733199999966,None,63.377733199999966,None,None,63.377733199999966,66.97788649999984,0,0,0.0,67.09486969999944,None,67.09486969999944,None,67.09486969999944,None,None,67.09486969999944,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,0.899747326335302,2.40738395932908,69.14434849999998,None,69.14434849999998,None,69.14434849999998,None,71.61601599999995,73.69584630000008,71.61256105999983,None,73.67893949999961,74.67874709999978,74.67874709999978,75.57916169999953,z,1,1.3187785999998596,71.61601599999995,None,71.61601599999995,None,71.61601599999995,None,None,71.61601599999995,75.52935069999967,1,1,0.5,75.6216173999992,None,75.6216173999992,None,75.6216173999992,None,None,75.6216173999992,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,0.219965572029171,2.50277407648956,77.69543939999949,None,77.69543939999949,None,77.69543939999949,None,80.26030629999968,82.32874439999978,80.26211685999952,None,82.31106289999934,83.3121846999993,83.3121846999993,None,z,1,2.5365122000002884,80.26030629999968,None,80.26030629999968,None,80.26030629999968,None,None,80.26030629999968,83.49581940000007,1,1,0.6666666666666666,83.56485219999922,None,83.56485219999922,None,83.56485219999922,None,None,83.56485219999922,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.04482772403364,1.41191114387976,85.64571559999968,None,85.64571559999968,None,85.64571559999968,None,87.06532729999981,89.14551849999953,87.07777347999928,None,89.1120033999996,90.11188519999996,90.11188519999996,92.16115869999976,z,0,1.4290710000004765,87.06532729999981,None,87.06532729999981,None,87.06532729999981,None,None,87.06532729999981,92.11143249999986,0,0,0.5,92.18788700000005,None,92.18788700000005,None,92.18788700000005,None,None,92.18788700000005,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.62250581484608,1.53162701008885,94.27881499999967,None,94.27881499999967,None,94.27881499999967,None,95.82984119999946,97.8955176999998,95.82923067999928,None,97.8955176999998,98.89526059999935,98.89526059999935,None,b,1,2.4962177000006704,95.82984119999946,None,95.82984119999946,None,95.82984119999946,None,None,95.82984119999946,101.46227929999986,1,1,0.6,101.54710219999924,None,101.54710219999924,None,101.54710219999924,None,None,101.54710219999924,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.24205805775432,1.37809841776001,103.62913639999988,None,103.62913639999988,None,103.62913639999988,None,105.01727129999927,107.09570149999945,105.02816257999967,None,107.0787191999998,108.07879279999997,108.07879279999997,None,z,1,1.4804193000009036,105.01727129999927,None,105.01727129999927,None,105.01727129999927,None,None,105.01727129999927,109.26250600000003,1,1,0.6666666666666666,109.34476659999928,None,109.34476659999928,None,109.34476659999928,None,None,109.34476659999928,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,1.94912276105146,0.789129602716002,111.42919819999952,None,111.42919819999952,None,111.42919819999952,None,112.24871899999926,114.32899219999945,112.24582527999956,None,114.31239449999975,115.31133109999973,115.31133109999973,117.2625040999992,b,0,1.4909519000002547,112.24871899999926,None,112.24871899999926,None,112.24871899999926,None,None,112.24871899999926,117.21220819999962,0,0,0.5714285714285714,117.30460709999988,None,117.30460709999988,None,117.30460709999988,None,None,117.30460709999988,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.19624908154748,2.5736109380813,119.37890650000008,None,119.37890650000008,None,119.37890650000008,None,121.98180739999952,124.06228209999972,121.97897277999965,None,124.04581699999926,125.04550440000003,125.04550440000003,None,b,1,3.0727089000001797,121.98180739999952,None,121.98180739999952,None,121.98180739999952,None,None,121.98180739999952,128.17795359999946,1,1,0.625,128.25017380000008,None,128.25017380000008,None,128.25017380000008,None,None,128.25017380000008,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
