trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,36.47813320000023,None,36.47813320000023,None,space,5.636170300000231,36.65561890000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
,,,,,,,,,,,,42.32223159999921,None,t,55.24742630000037,42.32223159999921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
0,0,0,0,,,,,,,,,,,,,,,97.5897475999991,None,97.5897475999991,None,97.5897475999991,None,0,0,1,1,0.5,4.19624908154748,2.07121332922762,98.58691379999982,None,98.58691379999982,None,98.58691379999982,None,100.67280267000005,b,['b'],2.0746448999998393,[2.0746448999998393],103.09497910000027,None,103.09497910000027,None,103.09497910000027,None,None,103.09497910000027,None,None,103.09497910000027,None,b,2.0746448999998393,1,1,1.0,107.33874359999936,None,107.33874359999936,None,107.33874359999936,None,None,107.33874359999936,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,3.47854712582944,2.68488128149974,109.46992659999887,None,109.46992659999887,None,109.46992659999887,None,112.15499836999861,None,[],,,114.202188199999,None,114.202188199999,None,114.202188199999,None,z,114.202188199999,None,None,114.202188199999,None,z,2.358970600000248,1,1,1.0,117.69180919999962,None,117.69180919999962,None,117.69180919999962,None,None,117.69180919999962,None,0.35897060000024794,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,3.50182449656669,2.12802719374523,119.80039939999915,None,119.80039939999915,None,119.80039939999915,None,121.9392277699988,None,[],,,123.99500689999877,None,123.99500689999877,None,123.99500689999877,None,z,123.99500689999877,None,None,123.99500689999877,None,z,2.3041972999999416,1,1,1.0,127.51253529999849,None,127.51253529999849,None,127.51253529999849,None,None,127.51253529999849,None,0.3041972999999416,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.04482772403364,1.91520730139263,129.62554660000023,None,129.62554660000023,None,129.62554660000023,None,131.5567219699986,None,[],,,133.61119179999878,None,133.61119179999878,None,133.61119179999878,None,z,133.61119179999878,None,None,133.61119179999878,None,z,2.4755570000015723,0,0,0.75,136.6887568000002,None,136.6887568000002,None,136.6887568000002,None,None,136.6887568000002,None,0.4755570000015723,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.24205805775432,0.971483558655564,138.76918609999848,None,138.76918609999848,None,138.76918609999848,None,139.75597946999898,None,[],,,141.8143549999986,None,141.8143549999986,None,141.8143549999986,None,z,141.8143549999986,None,None,141.8143549999986,None,z,3.1720019999993383,0,0,0.6,144.08869719999893,None,144.08869719999893,None,144.08869719999893,None,None,144.08869719999893,None,1.1720019999993383,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,3.95666246474662,0.789129602716002,146.1719065999987,None,146.1719065999987,None,146.1719065999987,None,146.9723919699989,None,[],,,149.02970839999944,None,149.02970839999944,None,149.02970839999944,None,b,149.02970839999944,None,None,149.02970839999944,None,b,3.1333823000004486,0,0,0.5,153.01732379999885,None,153.01732379999885,None,153.01732379999885,None,None,153.01732379999885,None,1.1333823000004486,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,3.27810873521582,2.10833202116216,155.10271029999967,None,155.10271029999967,None,155.10271029999967,None,157.22268416999924,None,[],,,159.2797671999997,None,159.2797671999997,None,159.2797671999997,None,b,159.2797671999997,None,None,159.2797671999997,None,b,3.294275899999775,0,1,0.42857142857142855,162.60770140000022,None,162.60770140000022,None,162.60770140000022,None,None,162.60770140000022,None,1.294275899999775,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.67601812978374,2.50277407648956,164.67806670000027,None,164.67806670000027,None,164.67806670000027,None,167.18945566999884,None,[],,,169.24740629999906,None,169.24740629999906,None,169.24740629999906,None,z,169.24740629999906,None,None,169.24740629999906,None,z,2.0193376000006538,0,0,0.375,171.95720859999892,None,171.95720859999892,None,171.95720859999892,None,None,171.95720859999892,None,0.019337600000653765,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
