trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,41.47256879999986,None,41.47256879999986,None,space,7.265466299999389,41.65022880000106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
,,,,,,,,,,,,48.93371649999972,None,t,49.14613969999846,48.93371649999972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
0,0,0,0,,,,,,,,,,,,,,,98.10052240000005,None,98.10052240000005,None,98.10052240000005,None,2,0,1,1,0.5,2.74209998091573,2.10833202116216,99.12890780000089,None,99.12890780000089,None,99.12890780000089,None,101.24929313999891,None,[],103.50056060000134,None,103.50056060000134,None,103.50056060000134,None,z,0.2216517999986536,103.50056060000134,None,None,103.50056060000134,None,z,2.2216517999986536,1,1,1.0,106.28296039999987,None,106.28296039999987,None,106.28296039999987,None,None,106.28296039999987,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.887650177272661,1.84422310959985,108.4397280000012,None,108.4397280000012,None,108.4397280000012,None,110.28369493999853,None,[],112.33984269999928,None,112.33984269999928,None,112.33984269999928,None,None,,112.33984269999928,None,None,112.33984269999928,None,[],[],0,3,0.5,114.26783530000102,None,114.26783530000102,None,114.26783530000102,None,None,114.26783530000102,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,3.58943852196035,1.48342455087402,116.33044560000053,None,116.33044560000053,None,116.33044560000053,None,117.81646623999913,None,[],119.87064420000024,None,119.87064420000024,None,119.87064420000024,None,b,0.46470790000239504,119.87064420000024,None,None,119.87064420000024,None,b,2.464707900002395,1,1,0.6666666666666666,123.49847880000016,None,123.49847880000016,None,123.49847880000016,None,None,123.49847880000016,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,4.21669271035117,2.68488128149974,125.58070750000115,None,125.58070750000115,None,125.58070750000115,None,128.2671954400008,None,[],130.3219723000002,None,130.3219723000002,None,130.3219723000002,None,b,0.35042819999944186,130.3219723000002,None,None,130.3219723000002,None,b,2.350428199999442,1,1,0.75,134.55351230000088,None,134.55351230000088,None,134.55351230000088,None,None,134.55351230000088,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.326293484834196,2.23299083390853,136.64666579999903,None,136.64666579999903,None,136.64666579999903,None,138.8835388400017,None,[],140.93972159999976,None,140.93972159999976,None,140.93972159999976,None,b,0.42570599999817205,140.93972159999976,None,None,140.93972159999976,None,b,2.425705999998172,1,1,0.8,142.2989286000011,None,142.2989286000011,None,142.2989286000011,None,None,142.2989286000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.23248806235745,1.41191114387976,144.36170340000172,None,144.36170340000172,None,144.36170340000172,None,145.78383344000176,None,[],147.8388163999989,None,147.8388163999989,None,147.8388163999989,None,z,0.28106190000107745,147.8388163999989,None,None,147.8388163999989,None,z,2.2810619000010774,0,0,0.6666666666666666,150.1217581000019,None,150.1217581000019,None,150.1217581000019,None,None,150.1217581000019,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.62250581484608,1.08604824075189,152.24859769999966,None,152.24859769999966,None,152.24859769999966,None,153.33394833999918,None,[],155.3865623999991,None,155.3865623999991,None,155.3865623999991,None,z,0.2180396000003384,155.3865623999991,None,None,155.3865623999991,None,z,2.2180396000003384,1,1,0.7142857142857143,159.06155560000116,None,159.06155560000116,None,159.06155560000116,None,None,159.06155560000116,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,3.04482772403364,1.31360018091897,161.12205220000033,None,161.12205220000033,None,161.12205220000033,None,162.4496491400001,None,[],164.49827169999844,None,164.49827169999844,None,164.49827169999844,None,z,0.3005861999990884,164.49827169999844,None,None,164.49827169999844,None,z,2.3005861999990884,1,0,0.75,167.55753399999958,None,167.55753399999958,None,167.55753399999958,None,None,167.55753399999958,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
