trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,42.31273990000045,None,42.31273990000045,None,z,0.9016762999999628,42.490076000000045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
,,,,,,,,,,,,43.42407280000043,None,t,52.68178729999818,43.42407280000043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
0,0,0,0,,,,,,,,,,,,,,,96.1237215000001,None,96.1237215000001,None,96.1237215000001,None,0,2,0,1,0.35,1.543156518078604,1.08099245958022,97.12340220000078,None,97.12340220000078,None,97.12340220000078,None,98.2069511800004,None,[],100.58836620000147,None,100.58836620000147,None,100.58836620000147,None,b,0.22175829999832786,100.58836620000147,None,None,100.58836620000147,None,b,2.221758299998328,0,0,0.0,102.20101310000064,None,102.20101310000064,None,102.20101310000064,None,None,102.20101310000064,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,1.905730910449904,2.3497497577282,104.31190200000128,None,104.31190200000128,None,104.31190200000128,None,106.67363737999986,None,[],108.73051380000106,None,108.73051380000106,None,108.73051380000106,None,b,0.15743359999942186,108.73051380000106,None,None,108.73051380000106,None,b,2.157433599999422,1,0,0.5,110.67295300000114,None,110.67295300000114,None,110.67295300000114,None,None,110.67295300000114,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.671897605000652,1.44889042899439,112.75527770000008,None,112.75527770000008,None,112.75527770000008,None,114.20690927999968,b,['b'],116.26605080000081,None,116.26605080000081,None,116.26605080000081,None,None,,116.26605080000081,None,None,116.26605080000081,None,b,0.7902535999983229,1,1,0.6666666666666666,117.9769350000006,None,117.9769350000006,None,117.9769350000006,None,None,117.9769350000006,None,0.7902535999983229,[0.7902535999983229],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,4.19624908154748,1.37809841776001,120.05480870000065,None,120.05480870000065,None,120.05480870000065,None,121.44035848000058,z,['z'],123.49596010000096,None,123.49596010000096,None,123.49596010000096,None,None,,123.49596010000096,None,None,123.49596010000096,None,z,1.333219599999211,0,0,0.5,127.74285170000076,None,127.74285170000076,None,127.74285170000076,None,None,127.74285170000076,None,1.333219599999211,[1.333219599999211],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.2089046382315303,2.7570014520733,129.82220560000133,None,129.82220560000133,None,129.82220560000133,None,132.5893081800008,b,['b'],134.63934700000027,None,134.63934700000027,None,134.63934700000027,None,None,,134.63934700000027,None,None,134.63934700000027,None,b,1.4780108999984805,1,1,0.6,136.89308490000076,None,136.89308490000076,None,136.89308490000076,None,None,136.89308490000076,None,1.4780108999984805,[1.4780108999984805],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,1.595506577165096,2.5736109380813,138.97647980000147,None,138.97647980000147,None,138.97647980000147,None,141.55716068000075,None,[],143.61536870000054,None,143.61536870000054,None,143.61536870000054,None,b,0.23898059999919496,143.61536870000054,None,None,143.61536870000054,None,b,2.238980599999195,0,0,0.5,145.22945510000136,None,145.22945510000136,None,145.22945510000136,None,None,145.22945510000136,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,4.26803291533611,1.2479618399002,147.33909920000042,None,147.33909920000042,None,147.33909920000042,None,148.59053708000138,z,['z'],150.64945530000114,None,150.64945530000114,None,150.64945530000114,None,None,,150.64945530000114,None,None,150.64945530000114,None,z,1.15274429999954,1,1,0.5714285714285714,154.9594992000002,None,154.9594992000002,None,154.9594992000002,None,None,154.9594992000002,None,1.15274429999954,[1.15274429999954],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.21669271035117,1.91520730139263,157.03913190000094,None,157.03913190000094,None,157.03913190000094,None,158.95728748000002,z,['z'],161.0190849999999,None,161.0190849999999,None,161.0190849999999,None,None,,161.0190849999999,None,None,161.0190849999999,None,z,1.2110801999988325,1,1,0.625,165.27427510000052,None,165.27427510000052,None,165.27427510000052,None,None,165.27427510000052,None,1.2110801999988325,[1.2110801999988325],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
