trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,30.316225499998836,None,30.316225499998836,None,b,1.570510400000785,30.51619589999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
,,,,,,,,,,,,32.11780640000143,None,t,55.71396480000112,32.11780640000143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
0,0,0,0,,,,,,,,,,,,,,,87.85126799999853,None,87.85126799999853,None,87.85126799999853,None,1,2,0,1,0.15,3.26803291533611,1.88377296598415,88.75134640000033,None,88.75134640000033,None,88.75134640000033,None,90.68117640000128,92.75140349999856,90.6848224399997,None,92.73486250000133,93.73478519999844,93.73478519999844,None,z,0,2.3069633999984944,90.68117640000128,None,90.68117640000128,None,90.68117640000128,None,None,90.68117640000128,96.95150320000175,0,0,0.0,97.05407380000179,None,97.05407380000179,None,97.05407380000179,None,None,97.05407380000179,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.20890463823153,1.75396267962373,99.0343853000013,None,99.0343853000013,None,99.0343853000013,None,100.81490180000037,102.88482590000058,100.81775741999883,None,102.86825070000123,103.86827859999903,103.86827859999903,105.08445930000016,z,1,2.2581735999992816,100.81490180000037,None,100.81490180000037,None,100.81490180000037,None,None,100.81490180000037,105.0341112999995,1,1,0.5,105.1260403999986,None,105.1260403999986,None,105.1260403999986,None,None,105.1260403999986,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,0.905730910449904,2.96222466864387,107.11774040000091,None,107.11774040000091,None,107.11774040000091,None,110.10200529999929,112.16807210000115,110.1012234199996,None,112.16807210000115,113.16807590000099,113.16807590000099,None,z,1,1.7603643000002194,110.10200529999929,None,110.10200529999929,None,110.10200529999929,None,None,110.10200529999929,114.01741720000064,1,1,0.6666666666666666,114.10149680000177,None,114.10149680000177,None,114.10149680000177,None,None,114.10149680000177,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.15,0.887650177272661,2.3497497577282,116.1009324000006,None,116.1009324000006,None,116.1009324000006,None,118.46947450000152,120.55053580000094,118.46817222000101,None,120.53352040000027,121.5349653000012,121.5349653000012,None,b,1,1.7425992999997106,118.46947450000152,None,118.46947450000152,None,118.46947450000152,None,None,118.46947450000152,122.36804240000129,1,0,0.75,122.45389129999967,None,122.45389129999967,None,122.45389129999967,None,None,122.45389129999967,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,2.58943852196035,0.971483558655564,124.45139850000123,None,124.45139850000123,None,124.45139850000123,None,125.44577099999879,127.51805230000173,125.45102882000066,None,127.50178560000131,128.50167470000088,128.50167470000088,None,b,1,1.9545924000012747,125.44577099999879,None,125.44577099999879,None,125.44577099999879,None,None,125.44577099999879,131.03443770000013,1,0,0.8,131.12268129999939,None,131.12268129999939,None,131.12268129999939,None,None,131.12268129999939,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,0.61058168492306,3.26446861731854,133.11773430000176,None,133.11773430000176,None,133.11773430000176,None,136.40137920000052,138.4679326000005,136.4013726199999,None,138.4679326000005,139.46791450000092,139.46791450000092,None,z,1,2.350365000002057,136.40137920000052,None,136.40137920000052,None,136.40137920000052,None,None,136.40137920000052,140.01777159999983,1,1,0.8333333333333334,140.10570350000125,None,140.10570350000125,None,140.10570350000125,None,None,140.10570350000125,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.91771467486041,2.40738395932908,142.1011494000013,None,142.1011494000013,None,142.1011494000013,None,144.53602749999845,146.60154319999856,144.53485161999998,None,146.60154319999856,147.60170690000086,147.60170690000086,None,z,1,1.7458578000005218,144.53602749999845,None,144.53602749999845,None,144.53602749999845,None,None,144.53602749999845,149.46795869999914,1,1,0.8571428571428571,149.55047660000128,None,149.55047660000128,None,149.55047660000128,None,None,149.55047660000128,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.27860294189526,2.12802719374523,151.55133479999859,None,151.55133479999859,None,151.55133479999859,None,153.69663769999897,155.76833429999897,153.70153342000123,None,155.7513325,156.75143630000093,156.75143630000093,158.03427569999985,None,0,,153.69663769999897,None,153.69663769999897,None,153.69663769999897,None,['b'],153.69663769999897,157.98453520000112,0,3,0.75,158.07035739999992,None,158.07035739999992,None,158.07035739999992,None,None,158.07035739999992,None,[1.2561850999991293],,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
